{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.990517    -0.00244531    0.000652733
-4.889  -4.716       5     0   200       0.975728   -0.000341883    0.000523381
-4.716  -4.538       5     0   200       0.972677     0.00100267    0.000444803
-4.538  -4.363       5     0   200       0.968634     0.00223877    0.000374719
-4.363  -4.191       5     0   200        0.95892     0.00356032    0.000289778
-4.191  -4.013       5     0   200        0.96642     0.00368684    0.000280038
-4.013  -3.839       5     0   200       0.962676     0.00368984    0.000268226
-3.839  -3.664       5     0   200       0.958432     0.00291672    0.000288199
-3.664  -3.489       5     0   200        1.00015    -0.00919693     0.00116478
-3.489  -3.314       5     0   200        1.04303     -0.0227064     0.00220953
-3.314  -3.139       5     0   200        1.07552     -0.0329988     0.00301858
-3.139  -2.964       5     0   200        1.10579     -0.0426565      0.0037724
-2.964  -2.853       5     0   200        1.13241     -0.0505314      0.0043967
-2.853   -2.65       5     0   200        1.16312     -0.0588597     0.00507341
-2.65    -2.5       5     0   200        1.18846     -0.0662924     0.00572958
-2.5  -2.322       5     0   200        1.21709     -0.0699634     0.00617285
-2.322  -2.172       5     0   200        1.21412     -0.0640368     0.00593278
-2.172  -2.043       5     0   200        1.14699     -0.0440723     0.00453855
-2.043   -1.93       5     0   200        1.06692     -0.0196619     0.00273324
-1.93   -1.83       5     0   200        1.04075     -0.0104012     0.00200534
-1.83   -1.74       5     0   200        1.02031     -0.0042854     0.00152942
-1.74  -1.653       5     0   200        1.00456    0.000171249     0.00118933
-1.653  -1.566       5     0   200       0.989098     0.00436608    0.000885986
-1.566  -1.479       5     0   200       0.981999     0.00673912    0.000700796
-1.479  -1.392       5     0   200        0.97227     0.00921063    0.000520484
-1.392  -1.305       5     0   200       0.965368      0.0109533    0.000384818
-1.305  -1.218       5     0   200       0.958501      0.0126986     0.00025501
-1.218  -1.131       5     0   200       0.953881      0.0139435    0.000158568
-1.131  -1.044       5     0   200       0.950289      0.0150732    7.49273e-05
-1.044  -0.957       5     0   200       0.948912      0.0158737    1.33586e-05
-0.957  -0.879       5     0   200       0.947891      0.0167498   -4.64456e-05
-0.879  -0.783       5     0   200       0.948033      0.0175789   -0.000102002
-0.783  -0.696       5     0   200       0.948897      0.0183283   -0.000151795
-0.696  -0.609       5     0   200       0.950701      0.0188508    -0.00018156
-0.609  -0.522       5     0   200       0.950837        0.01964    -0.00022253
-0.522  -0.435       5     0   200        0.95118      0.0202456   -0.000252326
-0.435  -0.348       5     0   200        0.95289      0.0205942   -0.000268674
-0.348  -0.261       5     0   200       0.954774      0.0204136   -0.000256038
-0.261  -0.174       5     0   200       0.956741      0.0199994   -0.000230726
-0.174  -0.087       5     0   200       0.958194      0.0195851    -0.00020545
-0.087       0       5     0   200       0.957411      0.0194462   -0.000194382
0   0.087       5     0   200       0.955097       0.019574   -0.000199191
0.087   0.174       5     0   200       0.951989      0.0196639   -0.000199561
0.174   0.261       5     0   200       0.947528      0.0198006   -0.000198536
0.261   0.348       5     0   200        0.94225      0.0201542   -0.000212571
0.348   0.435       5     0   200       0.937845      0.0203444   -0.000222508
0.435   0.522       5     0   200       0.934162      0.0199977   -0.000201809
0.522   0.609       5     0   200       0.932181      0.0192125   -0.000158795
0.609   0.696       5     0   200       0.929534      0.0187531   -0.000132621
0.696   0.783       5     0   200       0.928708      0.0179074   -8.55943e-05
0.783   0.879       5     0   200       0.930353      0.0168715   -2.73505e-05
0.879   0.957       5     0   200       0.930391      0.0164794   -5.20605e-06
0.957   1.044       5     0   200       0.932385      0.0158987    2.91994e-05
1.044   1.131       5     0   200       0.935527      0.0153226    6.56145e-05
1.131   1.218       5     0   200       0.938428      0.0148515    0.000103121
1.218   1.305       5     0   200       0.943523      0.0139885    0.000169854
1.305   1.392       5     0   200       0.951285      0.0125897    0.000272959
1.392   1.479       5     0   200       0.957207      0.0116565    0.000358722
1.479   1.566       5     0   200       0.967936     0.00982027    0.000510072
1.566   1.653       5     0   200        0.97975     0.00760495    0.000703794
1.653    1.74       5     0   200       0.998315     0.00393107    0.000993113
1.74    1.83       5     0   200        1.01776   -0.000613622     0.00135077
1.83    1.93       5     0   200        1.03289    -0.00538913     0.00176411
1.93   2.043       5     0   200        1.06595     -0.0152362     0.00256025
2.043   2.172       5     0   200        1.17035     -0.0434298     0.00458299
2.172   2.322       5     0   200        1.24067     -0.0641472     0.00600754
2.322     2.5       5     0   200        1.25235     -0.0729355     0.00640209
2.5    2.65       5     0   200        1.22832     -0.0706502     0.00603208
2.65   2.853       5     0   200        1.19988     -0.0635857     0.00538071
2.853   2.964       5     0   200        1.16754     -0.0559029     0.00472596
2.964   3.139       5     0   200        1.13825      -0.048356      0.0041052
3.139   3.314       5     0   200        1.10351     -0.0389061     0.00334019
3.314   3.489       5     0   200        1.07063     -0.0286014     0.00252067
3.489   3.664       5     0   200        1.01737     -0.0137147     0.00139579
3.664   3.839       5     0   200       0.980526    -0.00243705    0.000587763
3.839   4.013       5     0   200        0.98552    -0.00154039    0.000555657
4.013   4.191       5     0   200       0.987615    -0.00147409    0.000556808
4.191   4.363       5     0   200       0.985496    -0.00222855    0.000600858
4.363   4.538       5     0   200       0.995612    -0.00350552    0.000678836
4.538   4.716       5     0   200        1.00058    -0.00469556    0.000747538
4.716   4.889       5     0   200        1.00413    -0.00588079    0.000820624
4.889   5.191       5     0   200        1.01354    -0.00790863    0.000937474
