{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.990517    -0.00244531    0.000652733
-4.889  -4.716       5     0   200       0.975728   -0.000341883    0.000523381
-4.716  -4.538       5     0   200       0.972678     0.00100264    0.000444806
-4.538  -4.363       5     0   200       0.968635     0.00223869    0.000374723
-4.363  -4.191       5     0   200        0.95892     0.00356027     0.00028978
-4.191  -4.013       5     0   200       0.966421     0.00368676    0.000280042
-4.013  -3.839       5     0   200       0.962676     0.00368977    0.000268229
-3.839  -3.664       5     0   200       0.958432     0.00291665    0.000288202
-3.664  -3.489       5     0   200        1.00015    -0.00919696     0.00116479
-3.489  -3.314       5     0   200        1.04301     -0.0227047     0.00220943
-3.314  -3.139       5     0   200        1.07497      -0.032821     0.00301421
-3.139  -2.964       5     0   200        1.10595     -0.0421175     0.00375117
-2.964  -2.853       5     0   200        1.12841     -0.0482644     0.00426228
-2.853   -2.65       5     0   200        1.14593     -0.0526262     0.00466645
-2.65    -2.5       5     0   200        1.14923     -0.0537702     0.00486655
-2.5  -2.322       5     0   200        1.15092     -0.0510168     0.00480123
-2.322  -2.172       5     0   200        1.13125     -0.0424201     0.00429018
-2.172  -2.043       5     0   200        1.07996     -0.0278272     0.00325354
-2.043   -1.93       5     0   200         1.0294     -0.0130061     0.00214953
-1.93   -1.83       5     0   200         1.0125    -0.00763698     0.00172911
-1.83   -1.74       5     0   200        1.00009     -0.0043371     0.00147377
-1.74  -1.653       5     0   200       0.988838    -0.00162387     0.00127448
-1.653  -1.566       5     0   200       0.977663    0.000935124     0.00109657
-1.566  -1.479       5     0   200       0.970837     0.00255574    0.000982184
-1.479  -1.392       5     0   200       0.963547     0.00410728    0.000878156
-1.392  -1.305       5     0   200       0.958617     0.00512361    0.000808469
-1.305  -1.218       5     0   200       0.954327     0.00606692    0.000745722
-1.218  -1.131       5     0   200       0.951671     0.00670729    0.000702699
-1.131  -1.044       5     0   200       0.949608     0.00727694    0.000665972
-1.044  -0.957       5     0   200       0.948202     0.00771735    0.000638137
-0.957  -0.879       5     0   200       0.945971     0.00836113    0.000601413
-0.879  -0.783       5     0   200        0.94519     0.00872744    0.000579138
-0.783  -0.696       5     0   200       0.944791     0.00901364    0.000559094
-0.696  -0.609       5     0   200       0.944729     0.00925349     0.00054398
-0.609  -0.522       5     0   200       0.944201     0.00961405    0.000521573
-0.522  -0.435       5     0   200        0.94455     0.00976531      0.0005113
-0.435  -0.348       5     0   200        0.94585     0.00981355    0.000505604
-0.348  -0.261       5     0   200       0.946726     0.00983005    0.000499819
-0.261  -0.174       5     0   200       0.948142     0.00968375    0.000502365
-0.174  -0.087       5     0   200        0.94958     0.00949958    0.000508336
-0.087       0       5     0   200        0.95049     0.00932894    0.000514929
0   0.087       5     0   200       0.950665     0.00934796    0.000509409
0.087   0.174       5     0   200       0.950393     0.00939738    0.000502912
0.174   0.261       5     0   200       0.949612     0.00942859    0.000499091
0.261   0.348       5     0   200       0.948829     0.00943622    0.000495472
0.348   0.435       5     0   200       0.948327     0.00930735    0.000497802
0.435   0.522       5     0   200       0.947573     0.00909129    0.000506256
0.522   0.609       5     0   200       0.947787     0.00865691    0.000524824
0.609   0.696       5     0   200       0.947036     0.00847752    0.000531639
0.696   0.783       5     0   200       0.946876     0.00817305    0.000546462
0.783   0.879       5     0   200       0.948393      0.0076437    0.000575303
0.879   0.957       5     0   200        0.94942     0.00730943    0.000592263
0.957   1.044       5     0   200       0.950679      0.0069693    0.000611842
1.044   1.131       5     0   200       0.952474     0.00658239    0.000635105
1.131   1.218       5     0   200       0.953611     0.00631451    0.000655733
1.218   1.305       5     0   200       0.955395     0.00593484    0.000686283
1.305   1.392       5     0   200       0.958731     0.00522938    0.000736536
1.392   1.479       5     0   200        0.96192     0.00450799    0.000791447
1.479   1.566       5     0   200       0.966283      0.0034951      0.0008688
1.566   1.653       5     0   200       0.970389     0.00224746    0.000965756
1.653    1.74       5     0   200       0.975512    0.000550519     0.00109413
1.74    1.83       5     0   200        0.97983    -0.00126758     0.00124007
1.83    1.93       5     0   200       0.984175    -0.00336572     0.00142992
1.93   2.043       5     0   200       0.999906    -0.00834577     0.00184235
2.043   2.172       5     0   200        1.06048     -0.0245061     0.00301762
2.172   2.322       5     0   200        1.11058     -0.0387418     0.00401812
2.322     2.5       5     0   200        1.13484     -0.0487311     0.00460841
2.5    2.65       5     0   200        1.14035     -0.0528733     0.00476422
2.65   2.853       5     0   200        1.14168     -0.0529917     0.00464257
2.853   2.964       5     0   200        1.13086     -0.0501375      0.0043331
2.964   3.139       5     0   200        1.11595      -0.045324     0.00390572
3.139   3.314       5     0   200        1.09638     -0.0380002     0.00328501
3.314   3.489       5     0   200        1.07061     -0.0285986     0.00252053
3.489   3.664       5     0   200        1.01737     -0.0137146     0.00139578
3.664   3.839       5     0   200       0.980525    -0.00243698     0.00058776
3.839   4.013       5     0   200       0.985519    -0.00154036    0.000555647
4.013   4.191       5     0   200       0.987614    -0.00147393    0.000556801
4.191   4.363       5     0   200       0.985496    -0.00222861    0.000600853
4.363   4.538       5     0   200       0.995612    -0.00350552    0.000678836
4.538   4.716       5     0   200        1.00058    -0.00469556    0.000747538
4.716   4.889       5     0   200        1.00413    -0.00588079    0.000820624
4.889   5.191       5     0   200        1.01354    -0.00790863    0.000937474
