{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9183 0.3646 0.0
-3.8390 -3.4890 5 10 6500 0.9744 0.5028 0.0
-3.4890 -3.1390 5 10 6500 1.0270 0.3616 0.0
-3.1390 -2.9640 5 10 6500 0.9975 0.1671 0.0
-2.9640 -2.8530 5 10 6500 0.9001 -0.1077 0.0
-2.8530 -2.6500 5 10 6500 0.9463 -0.0353 0.0
-2.6500 -2.5000 5 10 6500 0.9662 0.2504 0.0
-2.5000 -2.3220 5 10 6500 0.9473 0.1255 0.0
-2.3220 -2.1720 5 10 6500 0.9477 0.2511 0.0
-2.1720 -1.9300 5 10 6500 0.9419 0.0746 0.0
-1.9300 -1.6530 5 10 6500 0.9498 0.0896 0.0
-1.6530 -1.4790 5 10 6500 0.9502 0.1003 0.0
-1.4790 -1.3050 5 10 6500 0.9682 0.1115 0.0
-1.3050 -1.0440 5 10 6500 0.9771 0.1118 0.0
-1.0440 -0.7830 5 10 6500 0.9800 0.1284 0.0
-0.7830 -0.5220 5 10 6500 0.9817 0.1326 0.0
-0.5220 -0.2610 5 10 6500 0.9809 0.0717 0.0
-0.2610 -0.0000 5 10 6500 0.9769 0.0640 0.0
0.0000 0.2610 5 10 6500 0.9769 0.0640 0.0
0.2610 0.5220 5 10 6500 0.9809 0.0717 0.0
0.5220 0.7830 5 10 6500 0.9817 0.1326 0.0
0.7830 1.0440 5 10 6500 0.9800 0.1284 0.0
1.0440 1.3050 5 10 6500 0.9771 0.1118 0.0
1.3050 1.4790 5 10 6500 0.9682 0.1115 0.0
1.4790 1.6530 5 10 6500 0.9502 0.1003 0.0
1.6530 1.9300 5 10 6500 0.9498 0.0896 0.0
1.9300 2.1720 5 10 6500 0.9419 0.0746 0.0
2.1720 2.3220 5 10 6500 0.9477 0.2511 0.0
2.3220 2.5000 5 10 6500 0.9473 0.1255 0.0
2.5000 2.6500 5 10 6500 0.9662 0.2504 0.0
2.6500 2.8530 5 10 6500 0.9463 -0.0353 0.0
2.8530 2.9640 5 10 6500 0.9001 -0.1077 0.0
2.9640 3.1390 5 10 6500 0.9975 0.1671 0.0
3.1390 3.4890 5 10 6500 1.0270 0.3616 0.0
3.4890 3.8390 5 10 6500 0.9744 0.5028 0.0
3.8390 5.1910 5 10 6500 0.9183 0.3646 0.0
