{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8945 0.1404 0.0
-3.8390 -3.4890 5 10 6500 0.9816 0.4823 0.0
-3.4890 -3.1390 5 10 6500 1.0034 0.1857 0.0
-3.1390 -2.9640 5 10 6500 0.9836 -0.0596 0.0
-2.9640 -2.8530 5 10 6500 0.9198 0.1258 0.0
-2.8530 -2.6500 5 10 6500 0.9435 -0.0789 0.0
-2.6500 -2.5000 5 10 6500 0.9582 0.1221 0.0
-2.5000 -2.3220 5 10 6500 0.9585 0.1486 0.0
-2.3220 -2.1720 5 10 6500 0.9438 0.0010 0.0
-2.1720 -1.9300 5 10 6500 0.9496 -0.0459 0.0
-1.9300 -1.6530 5 10 6500 0.9613 0.0474 0.0
-1.6530 -1.4790 5 10 6500 0.9648 0.0139 0.0
-1.4790 -1.3050 5 10 6500 0.9795 0.0085 0.0
-1.3050 -1.0440 5 10 6500 0.9818 0.0566 0.0
-1.0440 -0.7830 5 10 6500 0.9850 0.0712 0.0
-0.7830 -0.5220 5 10 6500 0.9860 0.0654 0.0
-0.5220 -0.2610 5 10 6500 0.9829 0.0625 0.0
-0.2610 -0.0000 5 10 6500 0.9817 0.0389 0.0
0.0000 0.2610 5 10 6500 0.9817 0.0389 0.0
0.2610 0.5220 5 10 6500 0.9829 0.0625 0.0
0.5220 0.7830 5 10 6500 0.9860 0.0654 0.0
0.7830 1.0440 5 10 6500 0.9850 0.0712 0.0
1.0440 1.3050 5 10 6500 0.9818 0.0566 0.0
1.3050 1.4790 5 10 6500 0.9795 0.0085 0.0
1.4790 1.6530 5 10 6500 0.9648 0.0139 0.0
1.6530 1.9300 5 10 6500 0.9613 0.0474 0.0
1.9300 2.1720 5 10 6500 0.9496 -0.0459 0.0
2.1720 2.3220 5 10 6500 0.9438 0.0010 0.0
2.3220 2.5000 5 10 6500 0.9585 0.1486 0.0
2.5000 2.6500 5 10 6500 0.9582 0.1221 0.0
2.6500 2.8530 5 10 6500 0.9435 -0.0789 0.0
2.8530 2.9640 5 10 6500 0.9198 0.1258 0.0
2.9640 3.1390 5 10 6500 0.9836 -0.0596 0.0
3.1390 3.4890 5 10 6500 1.0034 0.1857 0.0
3.4890 3.8390 5 10 6500 0.9816 0.4823 0.0
3.8390 5.1910 5 10 6500 0.8945 0.1404 0.0
