{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8572 -0.0558 0.0
-3.8390 -3.4890 5 10 6500 0.9659 0.3869 0.0
-3.4890 -3.1390 5 10 6500 1.0228 0.2295 0.0
-3.1390 -2.9640 5 10 6500 1.0135 0.1267 0.0
-2.9640 -2.8530 5 10 6500 0.9277 -0.0334 0.0
-2.8530 -2.6500 5 10 6500 0.9451 -0.2595 0.0
-2.6500 -2.5000 5 10 6500 0.9711 0.0340 0.0
-2.5000 -2.3220 5 10 6500 0.9703 0.1917 0.0
-2.3220 -2.1720 5 10 6500 0.9513 0.0369 0.0
-2.1720 -1.9300 5 10 6500 0.9615 0.0872 0.0
-1.9300 -1.6530 5 10 6500 0.9608 0.0007 0.0
-1.6530 -1.4790 5 10 6500 0.9590 0.0145 0.0
-1.4790 -1.3050 5 10 6500 0.9809 0.0666 0.0
-1.3050 -1.0440 5 10 6500 0.9780 0.1060 0.0
-1.0440 -0.7830 5 10 6500 0.9786 0.0340 0.0
-0.7830 -0.5220 5 10 6500 0.9800 0.0649 0.0
-0.5220 -0.2610 5 10 6500 0.9786 0.0402 0.0
-0.2610 -0.0000 5 10 6500 0.9795 0.0397 0.0
0.0000 0.2610 5 10 6500 0.9795 0.0397 0.0
0.2610 0.5220 5 10 6500 0.9786 0.0402 0.0
0.5220 0.7830 5 10 6500 0.9800 0.0649 0.0
0.7830 1.0440 5 10 6500 0.9786 0.0340 0.0
1.0440 1.3050 5 10 6500 0.9780 0.1060 0.0
1.3050 1.4790 5 10 6500 0.9809 0.0666 0.0
1.4790 1.6530 5 10 6500 0.9590 0.0145 0.0
1.6530 1.9300 5 10 6500 0.9608 0.0007 0.0
1.9300 2.1720 5 10 6500 0.9615 0.0872 0.0
2.1720 2.3220 5 10 6500 0.9513 0.0369 0.0
2.3220 2.5000 5 10 6500 0.9703 0.1917 0.0
2.5000 2.6500 5 10 6500 0.9711 0.0340 0.0
2.6500 2.8530 5 10 6500 0.9451 -0.2595 0.0
2.8530 2.9640 5 10 6500 0.9277 -0.0334 0.0
2.9640 3.1390 5 10 6500 1.0135 0.1267 0.0
3.1390 3.4890 5 10 6500 1.0228 0.2295 0.0
3.4890 3.8390 5 10 6500 0.9659 0.3869 0.0
3.8390 5.1910 5 10 6500 0.8572 -0.0558 0.0
