{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9635 0.9569 0.0
-3.8390 -3.4890 5 10 6500 0.9569 0.4217 0.0
-3.4890 -3.1390 5 10 6500 0.9943 0.0427 0.0
-3.1390 -2.9640 5 10 6500 0.9866 -0.1277 0.0
-2.9640 -2.8530 5 10 6500 0.9265 -0.0934 0.0
-2.8530 -2.6500 5 10 6500 0.9688 -0.0480 0.0
-2.6500 -2.5000 5 10 6500 0.9700 0.1079 0.0
-2.5000 -2.3220 5 10 6500 0.9567 0.1783 0.0
-2.3220 -2.1720 5 10 6500 0.9425 0.0155 0.0
-2.1720 -1.9300 5 10 6500 0.9571 0.0781 0.0
-1.9300 -1.6530 5 10 6500 0.9697 0.1814 0.0
-1.6530 -1.4790 5 10 6500 0.9616 0.0894 0.0
-1.4790 -1.3050 5 10 6500 0.9727 0.0536 0.0
-1.3050 -1.0440 5 10 6500 0.9731 0.0868 0.0
-1.0440 -0.7830 5 10 6500 0.9801 0.0868 0.0
-0.7830 -0.5220 5 10 6500 0.9807 0.0742 0.0
-0.5220 -0.2610 5 10 6500 0.9790 0.0133 0.0
-0.2610 -0.0000 5 10 6500 0.9767 0.0295 0.0
0.0000 0.2610 5 10 6500 0.9767 0.0295 0.0
0.2610 0.5220 5 10 6500 0.9790 0.0133 0.0
0.5220 0.7830 5 10 6500 0.9807 0.0742 0.0
0.7830 1.0440 5 10 6500 0.9801 0.0868 0.0
1.0440 1.3050 5 10 6500 0.9731 0.0868 0.0
1.3050 1.4790 5 10 6500 0.9727 0.0536 0.0
1.4790 1.6530 5 10 6500 0.9616 0.0894 0.0
1.6530 1.9300 5 10 6500 0.9697 0.1814 0.0
1.9300 2.1720 5 10 6500 0.9571 0.0781 0.0
2.1720 2.3220 5 10 6500 0.9425 0.0155 0.0
2.3220 2.5000 5 10 6500 0.9567 0.1783 0.0
2.5000 2.6500 5 10 6500 0.9700 0.1079 0.0
2.6500 2.8530 5 10 6500 0.9688 -0.0480 0.0
2.8530 2.9640 5 10 6500 0.9265 -0.0934 0.0
2.9640 3.1390 5 10 6500 0.9866 -0.1277 0.0
3.1390 3.4890 5 10 6500 0.9943 0.0427 0.0
3.4890 3.8390 5 10 6500 0.9569 0.4217 0.0
3.8390 5.1910 5 10 6500 0.9635 0.9569 0.0
