{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0756 1.9005 0.0
-3.8390 -3.4890 5 10 6500 0.9912 0.7494 0.0
-3.4890 -3.1390 5 10 6500 1.0051 0.2414 0.0
-3.1390 -2.9640 5 10 6500 1.0215 0.3359 0.0
-2.9640 -2.8530 5 10 6500 0.9245 -0.5095 0.0
-2.8530 -2.6500 5 10 6500 0.9842 -0.1999 0.0
-2.6500 -2.5000 5 10 6500 0.9673 0.0156 0.0
-2.5000 -2.3220 5 10 6500 0.9529 0.1873 0.0
-2.3220 -2.1720 5 10 6500 0.9434 0.2167 0.0
-2.1720 -1.9300 5 10 6500 0.9525 0.2169 0.0
-1.9300 -1.6530 5 10 6500 0.9576 0.1704 0.0
-1.6530 -1.4790 5 10 6500 0.9505 0.0902 0.0
-1.4790 -1.3050 5 10 6500 0.9614 0.1448 0.0
-1.3050 -1.0440 5 10 6500 0.9606 0.1075 0.0
-1.0440 -0.7830 5 10 6500 0.9699 0.1276 0.0
-0.7830 -0.5220 5 10 6500 0.9676 0.0701 0.0
-0.5220 -0.2610 5 10 6500 0.9694 0.0460 0.0
-0.2610 -0.0000 5 10 6500 0.9681 0.0352 0.0
0.0000 0.2610 5 10 6500 0.9681 0.0352 0.0
0.2610 0.5220 5 10 6500 0.9694 0.0460 0.0
0.5220 0.7830 5 10 6500 0.9676 0.0701 0.0
0.7830 1.0440 5 10 6500 0.9699 0.1276 0.0
1.0440 1.3050 5 10 6500 0.9606 0.1075 0.0
1.3050 1.4790 5 10 6500 0.9614 0.1448 0.0
1.4790 1.6530 5 10 6500 0.9505 0.0902 0.0
1.6530 1.9300 5 10 6500 0.9576 0.1704 0.0
1.9300 2.1720 5 10 6500 0.9525 0.2169 0.0
2.1720 2.3220 5 10 6500 0.9434 0.2167 0.0
2.3220 2.5000 5 10 6500 0.9529 0.1873 0.0
2.5000 2.6500 5 10 6500 0.9673 0.0156 0.0
2.6500 2.8530 5 10 6500 0.9842 -0.1999 0.0
2.8530 2.9640 5 10 6500 0.9245 -0.5095 0.0
2.9640 3.1390 5 10 6500 1.0215 0.3359 0.0
3.1390 3.4890 5 10 6500 1.0051 0.2414 0.0
3.4890 3.8390 5 10 6500 0.9912 0.7494 0.0
3.8390 5.1910 5 10 6500 1.0756 1.9005 0.0
