{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.05777    -0.00985143    0.000212048
-4.889  -4.716       5     0   200        1.04151     -0.0101765    0.000217709
-4.716  -4.538       5     0   200        1.03664     -0.0103544    0.000222111
-4.538  -4.363       5     0   200        1.03596      -0.010123    0.000213359
-4.363  -4.191       5     0   200        1.04952    -0.00971893    0.000198232
-4.191  -4.013       5     0   200        1.06291    -0.00889191    0.000168325
-4.013  -3.839       5     0   200         1.0678    -0.00764333    0.000120623
-3.839  -3.664       5     0   200        1.08021    -0.00650328    7.48852e-05
-3.664  -3.489       5     0   200        1.08478     -0.0055078    3.44478e-05
-3.489  -3.314       5     0   200        1.07943    -0.00465308   -2.66556e-06
-3.314  -3.139       5     0   200        1.09625       -0.00459   -3.88369e-05
-3.139  -2.964       5     0   200        1.12773    -0.00640332   -6.95622e-05
-2.964  -2.853       5     0   200        1.14949    -0.00576457   -0.000163584
-2.853   -2.65       5     0   200        1.18239    -0.00263139   -0.000327112
-2.65    -2.5       5     0   200        1.19719     0.00209179   -0.000468289
-2.5  -2.322       5     0   200        1.17255     0.00712539   -0.000424209
-2.322  -2.172       5     0   200        1.16743     0.00529308    -8.0671e-06
-2.172  -2.043       5     0   200        1.20233    -0.00729228    0.000473811
-2.043   -1.93       5     0   200        1.22473     -0.0162407    0.000747457
-1.93   -1.83       5     0   200        1.23141     -0.0216023    0.000871745
-1.83   -1.74       5     0   200        1.22316      -0.023942    0.000907342
-1.74  -1.653       5     0   200        1.20957     -0.0239063    0.000891155
-1.653  -1.566       5     0   200        1.18648     -0.0226396     0.00085062
-1.566  -1.479       5     0   200        1.16446     -0.0207488    0.000806464
-1.479  -1.392       5     0   200        1.14714       -0.01847    0.000770545
-1.392  -1.305       5     0   200        1.12885     -0.0152389    0.000716838
-1.305  -1.218       5     0   200        1.11335     -0.0116889    0.000656133
-1.218  -1.131       5     0   200        1.10608    -0.00906503    0.000624262
-1.131  -1.044       5     0   200        1.10667    -0.00779183    0.000626274
-1.044  -0.957       5     0   200        1.11444    -0.00760196    0.000653239
-0.957  -0.879       5     0   200        1.12359    -0.00798694    0.000685635
-0.879  -0.783       5     0   200        1.14063    -0.00841723    0.000715586
-0.783  -0.696       5     0   200        1.15446    -0.00907875    0.000751604
-0.696  -0.609       5     0   200        1.16421    -0.00939674    0.000770548
-0.609  -0.522       5     0   200        1.17191    -0.00919607    0.000769407
-0.522  -0.435       5     0   200        1.17766     -0.0087241    0.000765713
-0.435  -0.348       5     0   200        1.18234    -0.00787936    0.000745601
-0.348  -0.261       5     0   200        1.18864    -0.00746515    0.000730337
-0.261  -0.174       5     0   200        1.19614    -0.00780154    0.000731568
-0.174  -0.087       5     0   200        1.20367    -0.00863829    0.000742178
-0.087       0       5     0   200        1.21274     -0.0100818    0.000773563
0   0.087       5     0   200        1.22469      -0.012439    0.000839039
0.087   0.174       5     0   200        1.23557     -0.0151484     0.00091928
0.174   0.261       5     0   200        1.24475     -0.0178857     0.00100685
0.261   0.348       5     0   200        1.24558     -0.0196704     0.00106414
0.348   0.435       5     0   200        1.23754     -0.0203111     0.00108267
0.435   0.522       5     0   200        1.22904     -0.0207405     0.00109653
0.522   0.609       5     0   200        1.21854     -0.0206844     0.00108941
0.609   0.696       5     0   200        1.20513     -0.0200268     0.00106266
0.696   0.783       5     0   200        1.18638     -0.0183395     0.00100154
0.783   0.879       5     0   200        1.15736     -0.0153142    0.000893801
0.879   0.957       5     0   200        1.12835     -0.0126816    0.000800765
0.957   1.044       5     0   200         1.1091     -0.0101538    0.000698616
1.044   1.131       5     0   200        1.09532    -0.00866654    0.000618193
1.131   1.218       5     0   200         1.0863    -0.00798345    0.000555082
1.218   1.305       5     0   200        1.08145    -0.00811556    0.000509632
1.305   1.392       5     0   200        1.08788     -0.0100507    0.000532693
1.392   1.479       5     0   200        1.10019       -0.01255    0.000575902
1.479   1.566       5     0   200        1.11802     -0.0151274    0.000626144
1.566   1.653       5     0   200        1.13925      -0.017193    0.000669811
1.653    1.74       5     0   200        1.15533     -0.0177755     0.00067221
1.74    1.83       5     0   200         1.1653     -0.0174184    0.000659431
1.83    1.93       5     0   200          1.174     -0.0141789    0.000568213
1.93   2.043       5     0   200        1.18035    -0.00866779    0.000407626
2.043   2.172       5     0   200        1.19115    -0.00140892    0.000151026
2.172   2.322       5     0   200        1.17146     0.00985715   -0.000303713
2.322     2.5       5     0   200        1.23937     0.00479426   -0.000449224
2.5    2.65       5     0   200        1.29172     -0.0044493   -0.000353888
2.65   2.853       5     0   200        1.25304    -0.00973699   -0.000166797
2.853   2.964       5     0   200        1.19596      -0.011326   -2.68278e-05
2.964   3.139       5     0   200        1.15791     -0.0107913    4.03363e-05
3.139   3.314       5     0   200        1.09681    -0.00669649     1.1436e-05
3.314   3.489       5     0   200        1.07889    -0.00669061    6.41575e-05
3.489   3.664       5     0   200        1.08057    -0.00741385    9.59475e-05
3.664   3.839       5     0   200        1.07767    -0.00863397    0.000144418
3.839   4.013       5     0   200        1.07157    -0.00994732    0.000196989
4.013   4.191       5     0   200        1.07157     -0.0110389    0.000238413
4.191   4.363       5     0   200        1.06483     -0.0119268    0.000270006
4.363   4.538       5     0   200         1.0482     -0.0120268     0.00027262
4.538   4.716       5     0   200        1.03587     -0.0116235    0.000255309
4.716   4.889       5     0   200        1.02336     -0.0110746    0.000232716
4.889   5.191       5     0   200        1.01561    -0.00961446    0.000181385
