{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200         1.0438     -0.0101234    0.000216429
-4.889  -4.716       5     0   200        1.04323    -0.00998698    0.000210758
-4.716  -4.538       5     0   200         1.0495    -0.00980844    0.000203337
-4.538  -4.363       5     0   200         1.0537    -0.00932181    0.000184719
-4.363  -4.191       5     0   200        1.05514    -0.00871047    0.000160646
-4.191  -4.013       5     0   200        1.06376    -0.00809551    0.000135855
-4.013  -3.839       5     0   200        1.06822    -0.00738356    0.000107557
-3.839  -3.664       5     0   200        1.07193    -0.00660028    7.57252e-05
-3.664  -3.489       5     0   200         1.0847     -0.0062711    4.16815e-05
-3.489  -3.314       5     0   200        1.10256    -0.00643047     8.6131e-06
-3.314  -3.139       5     0   200        1.11843    -0.00609088   -3.32899e-05
-3.139  -2.964       5     0   200        1.14503    -0.00739842   -2.40322e-05
-2.964  -2.853       5     0   200        1.17091    -0.00909272   -4.31034e-07
-2.853   -2.65       5     0   200        1.19583     -0.0108325    2.55962e-05
-2.65    -2.5       5     0   200        1.21304     -0.0126826    5.34048e-05
-2.5  -2.322       5     0   200        1.23047     -0.0147189    9.43411e-05
-2.322  -2.172       5     0   200        1.23776     -0.0167311    0.000150764
-2.172  -2.043       5     0   200        1.23352     -0.0183766    0.000221876
-2.043   -1.93       5     0   200        1.22258     -0.0189507    0.000278055
-1.93   -1.83       5     0   200        1.21213      -0.019181    0.000317865
-1.83   -1.74       5     0   200         1.2046     -0.0195871    0.000350752
-1.74  -1.653       5     0   200        1.19646      -0.019536    0.000365997
-1.653  -1.566       5     0   200        1.18641     -0.0189445    0.000363141
-1.566  -1.479       5     0   200        1.17824     -0.0184664    0.000363743
-1.479  -1.392       5     0   200        1.17243     -0.0181389    0.000369373
-1.392  -1.305       5     0   200        1.16931     -0.0180259    0.000379564
-1.305  -1.218       5     0   200        1.16848     -0.0180613    0.000392508
-1.218  -1.131       5     0   200        1.16936     -0.0181381     0.00040522
-1.131  -1.044       5     0   200        1.17191     -0.0182821    0.000421247
-1.044  -0.957       5     0   200        1.17486     -0.0183448     0.00043377
-0.957  -0.879       5     0   200         1.1779     -0.0183522    0.000442634
-0.879  -0.783       5     0   200        1.18219       -0.01848    0.000454862
-0.783  -0.696       5     0   200        1.18764     -0.0188007    0.000473073
-0.696  -0.609       5     0   200        1.19227     -0.0190764    0.000487927
-0.609  -0.522       5     0   200        1.19512      -0.019184    0.000494432
-0.522  -0.435       5     0   200        1.19791     -0.0192342     0.00049623
-0.435  -0.348       5     0   200        1.20121     -0.0193628    0.000501069
-0.348  -0.261       5     0   200         1.2035     -0.0194951    0.000508033
-0.261  -0.174       5     0   200        1.20475     -0.0195617    0.000514193
-0.174  -0.087       5     0   200        1.20527     -0.0195922    0.000520218
-0.087       0       5     0   200        1.20479     -0.0195352    0.000523411
0   0.087       5     0   200        1.20372     -0.0194292    0.000524826
0.087   0.174       5     0   200        1.20172     -0.0192543    0.000523771
0.174   0.261       5     0   200        1.19822     -0.0189586    0.000518572
0.261   0.348       5     0   200        1.19364      -0.018597    0.000512067
0.348   0.435       5     0   200        1.18781     -0.0181478    0.000502918
0.435   0.522       5     0   200        1.18039      -0.017596    0.000491245
0.522   0.609       5     0   200         1.1728     -0.0170101    0.000478197
0.609   0.696       5     0   200        1.16542     -0.0164084    0.000460321
0.696   0.783       5     0   200        1.15784     -0.0158292    0.000438052
0.783   0.879       5     0   200        1.15108     -0.0153208    0.000413869
0.879   0.957       5     0   200        1.14646     -0.0150766    0.000395909
0.957   1.044       5     0   200         1.1439     -0.0151064    0.000385422
1.044   1.131       5     0   200        1.14205     -0.0151855    0.000373189
1.131   1.218       5     0   200         1.1398     -0.0150597    0.000352025
1.218   1.305       5     0   200        1.13737     -0.0147607    0.000324153
1.305   1.392       5     0   200        1.13662      -0.014555    0.000297044
1.392   1.479       5     0   200        1.13795     -0.0144836    0.000272301
1.479   1.566       5     0   200        1.14145      -0.014566    0.000250801
1.566   1.653       5     0   200        1.14617     -0.0148667    0.000237902
1.653    1.74       5     0   200        1.15234     -0.0153924    0.000233232
1.74    1.83       5     0   200        1.15612     -0.0153668    0.000210512
1.83    1.93       5     0   200        1.15911     -0.0148834     0.00016977
1.93   2.043       5     0   200        1.17366     -0.0153112    0.000146713
2.043   2.172       5     0   200        1.19405     -0.0159128    0.000120338
2.172   2.322       5     0   200        1.20712     -0.0155358    7.64746e-05
2.322     2.5       5     0   200         1.2062     -0.0146513    5.15397e-05
2.5    2.65       5     0   200        1.19485     -0.0133224    3.68924e-05
2.65   2.853       5     0   200        1.18274     -0.0120967    3.70889e-05
2.853   2.964       5     0   200        1.16586     -0.0112034    4.72808e-05
2.964   3.139       5     0   200         1.1469     -0.0101482    4.96825e-05
3.139   3.314       5     0   200        1.12654    -0.00906855    4.89177e-05
3.314   3.489       5     0   200        1.11448    -0.00949421    9.58195e-05
3.489   3.664       5     0   200        1.08812    -0.00858837     0.00010887
3.664   3.839       5     0   200        1.07499    -0.00872908    0.000145308
3.839   4.013       5     0   200        1.07228    -0.00941714    0.000173472
4.013   4.191       5     0   200        1.06703     -0.0100453    0.000197876
4.191   4.363       5     0   200        1.05947     -0.0106577    0.000221972
4.363   4.538       5     0   200        1.05706     -0.0110768    0.000237888
4.538   4.716       5     0   200        1.05312     -0.0115119    0.000253223
4.716   4.889       5     0   200        1.04576     -0.0117277    0.000261214
4.889   5.191       5     0   200        1.03364     -0.0114489    0.000248517
