{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        2.41177      -0.239912      0.0101867
-4.889  -4.716       5     0   200        2.36128      -0.234761     0.00996117
-4.716  -4.538       5     0   200        2.33376      -0.231666     0.00982469
-4.538  -4.363       5     0   200        2.32197      -0.230502     0.00977105
-4.363  -4.191       5     0   200        2.34398      -0.232733     0.00986318
-4.191  -4.013       5     0   200        2.36589      -0.234668     0.00994134
-4.013  -3.839       5     0   200        2.37458      -0.235479     0.00996988
-3.839  -3.664       5     0   200        2.40175        -0.2388      0.0101066
-3.664  -3.489       5     0   200        2.39924      -0.238883      0.0101163
-3.489  -3.314       5     0   200        2.37117      -0.236391      0.0100201
-3.314  -3.139       5     0   200         2.4438       -0.24925      0.0106627
-3.139  -2.964       5     0   200         2.9624      -0.335691      0.0146021
-2.964  -2.853       5     0   200        3.33932      -0.395353      0.0173451
-2.853   -2.65       5     0   200        3.72021      -0.448471      0.0197829
-2.65    -2.5       5     0   200        3.84912      -0.457853      0.0202354
-2.5  -2.322       5     0   200         3.3688      -0.370891      0.0162577
-2.322  -2.172       5     0   200        2.80489      -0.277357      0.0120441
-2.172  -2.043       5     0   200        2.73136      -0.271212      0.0117394
-2.043   -1.93       5     0   200        2.65969      -0.264285      0.0114324
-1.93   -1.83       5     0   200        2.62193      -0.261392      0.0112896
-1.83   -1.74       5     0   200        2.62157      -0.263711      0.0113699
-1.74  -1.653       5     0   200        2.65065      -0.269873      0.0116252
-1.653  -1.566       5     0   200        2.66626      -0.273602      0.0117745
-1.566  -1.479       5     0   200        2.69101      -0.278425      0.0119724
-1.479  -1.392       5     0   200        2.70906      -0.281298      0.0120799
-1.392  -1.305       5     0   200        2.71719      -0.282169      0.0120994
-1.305  -1.218       5     0   200        2.72466      -0.282787      0.0121111
-1.218  -1.131       5     0   200        2.72437      -0.281939      0.0120607
-1.131  -1.044       5     0   200        2.72084       -0.28076      0.0120015
-1.044  -0.957       5     0   200        2.71135      -0.278728      0.0119062
-0.957  -0.879       5     0   200        2.71293      -0.278814      0.0119054
-0.879  -0.783       5     0   200        2.73594      -0.282157      0.0120523
-0.783  -0.696       5     0   200        2.74729      -0.283812      0.0121303
-0.696  -0.609       5     0   200        2.76551      -0.286855      0.0122743
-0.609  -0.522       5     0   200        2.78191        -0.2893      0.0123854
-0.522  -0.435       5     0   200         2.7819       -0.28881      0.0123628
-0.435  -0.348       5     0   200        2.78407      -0.288674       0.012351
-0.348  -0.261       5     0   200        2.78144      -0.287813      0.0123086
-0.261  -0.174       5     0   200        2.77874      -0.287171      0.0122787
-0.174  -0.087       5     0   200        2.76916      -0.285294      0.0121885
-0.087       0       5     0   200        2.75634       -0.28296      0.0120795
0   0.087       5     0   200        2.74402      -0.280878       0.011984
0.087   0.174       5     0   200        2.73592      -0.279733      0.0119328
0.174   0.261       5     0   200        2.73023      -0.279182      0.0119156
0.261   0.348       5     0   200        2.72313      -0.278424      0.0118914
0.348   0.435       5     0   200        2.70868      -0.276373      0.0118083
0.435   0.522       5     0   200        2.69765      -0.274766      0.0117342
0.522   0.609       5     0   200        2.67765      -0.271857      0.0116061
0.609   0.696       5     0   200        2.65745      -0.269132      0.0114901
0.696   0.783       5     0   200         2.6382      -0.266663       0.011389
0.783   0.879       5     0   200         2.6165      -0.263983      0.0112852
0.879   0.957       5     0   200        2.57896      -0.258697      0.0110697
0.957   1.044       5     0   200        2.56408       -0.25667      0.0109929
1.044   1.131       5     0   200        2.56729      -0.257843      0.0110516
1.131   1.218       5     0   200        2.55948       -0.25698      0.0110218
1.218   1.305       5     0   200        2.55521      -0.256554      0.0110124
1.305   1.392       5     0   200        2.54838       -0.25533      0.0109621
1.392   1.479       5     0   200        2.54329      -0.254399      0.0109293
1.479   1.566       5     0   200        2.53342      -0.252183       0.010834
1.566   1.653       5     0   200        2.53373      -0.251371      0.0108027
1.653    1.74       5     0   200        2.54459       -0.25219      0.0108461
1.74    1.83       5     0   200        2.54846       -0.25211      0.0108585
1.83    1.93       5     0   200        2.57693      -0.255534      0.0110329
1.93   2.043       5     0   200        2.63379      -0.263971       0.011429
2.043   2.172       5     0   200        2.70614      -0.275725      0.0119803
2.172   2.322       5     0   200         2.7122      -0.275874      0.0120534
2.322     2.5       5     0   200        3.25329      -0.364547      0.0160209
2.5    2.65       5     0   200        3.76511      -0.451226       0.019903
2.65   2.853       5     0   200        3.76387      -0.458622      0.0201489
2.853   2.964       5     0   200        3.49389      -0.420185      0.0183152
2.964   3.139       5     0   200        3.12265      -0.361672      0.0156377
3.139   3.314       5     0   200        2.52884      -0.265104      0.0113116
3.314   3.489       5     0   200        2.45069      -0.250688      0.0106151
3.489   3.664       5     0   200        2.45849      -0.250384      0.0106015
3.664   3.839       5     0   200        2.47082      -0.252364      0.0106908
3.839   4.013       5     0   200        2.48193      -0.254947      0.0108086
4.013   4.191       5     0   200        2.49621       -0.25694      0.0108968
4.191   4.363       5     0   200         2.4843      -0.255623      0.0108389
4.363   4.538       5     0   200        2.45903      -0.253262      0.0107434
4.538   4.716       5     0   200        2.44305      -0.251492      0.0106758
4.716   4.889       5     0   200        2.41716       -0.24824      0.0105414
4.889   5.191       5     0   200        2.43646      -0.251147      0.0106852
