{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        2.41177      -0.239912      0.0101867
-4.889  -4.716       5     0   200        2.36128      -0.234761     0.00996117
-4.716  -4.538       5     0   200        2.33376      -0.231666     0.00982469
-4.538  -4.363       5     0   200        2.32197      -0.230502     0.00977105
-4.363  -4.191       5     0   200        2.34398      -0.232733     0.00986318
-4.191  -4.013       5     0   200        2.36589      -0.234668     0.00994134
-4.013  -3.839       5     0   200        2.37458      -0.235479     0.00996988
-3.839  -3.664       5     0   200        2.40175        -0.2388      0.0101066
-3.664  -3.489       5     0   200        2.39924      -0.238883      0.0101163
-3.489  -3.314       5     0   200        2.37117      -0.236391      0.0100201
-3.314  -3.139       5     0   200        2.44381      -0.249251      0.0106627
-3.139  -2.964       5     0   200        2.96241      -0.335694      0.0146023
-2.964  -2.853       5     0   200        3.33501      -0.394921      0.0173377
-2.853   -2.65       5     0   200        3.70245      -0.447959      0.0198553
-2.65    -2.5       5     0   200        3.86728      -0.464867      0.0208417
-2.5  -2.322       5     0   200        3.27508      -0.355561      0.0160967
-2.322  -2.172       5     0   200        2.25272      -0.178876     0.00836748
-2.172  -2.043       5     0   200        2.11655      -0.160758     0.00745498
-2.043   -1.93       5     0   200        2.04208      -0.151947     0.00693883
-1.93   -1.83       5     0   200        2.00059       -0.14822     0.00664716
-1.83   -1.74       5     0   200        2.01652      -0.154124     0.00679988
-1.74  -1.653       5     0   200        2.06965      -0.165338     0.00722457
-1.653  -1.566       5     0   200        2.09996      -0.172988     0.00750436
-1.566  -1.479       5     0   200        2.14774      -0.182994     0.00790774
-1.479  -1.392       5     0   200        2.18826      -0.190466     0.00820808
-1.392  -1.305       5     0   200        2.19797      -0.192004      0.0082572
-1.305  -1.218       5     0   200        2.20941      -0.193452     0.00830989
-1.218  -1.131       5     0   200        2.21035      -0.192393     0.00825376
-1.131  -1.044       5     0   200        2.20589      -0.190256     0.00815643
-1.044  -0.957       5     0   200        2.19316      -0.186528      0.0079819
-0.957  -0.879       5     0   200        2.20989       -0.18828     0.00805019
-0.879  -0.783       5     0   200        2.26564      -0.195743      0.0083753
-0.783  -0.696       5     0   200        2.28744      -0.197999     0.00846854
-0.696  -0.609       5     0   200        2.30984      -0.200835     0.00859564
-0.609  -0.522       5     0   200        2.33552      -0.203759     0.00871659
-0.522  -0.435       5     0   200        2.34574      -0.204179     0.00873086
-0.435  -0.348       5     0   200        2.36633      -0.206469     0.00882827
-0.348  -0.261       5     0   200        2.37323      -0.206541     0.00882856
-0.261  -0.174       5     0   200        2.36768      -0.204922     0.00876033
-0.174  -0.087       5     0   200        2.35543      -0.202215     0.00863653
-0.087       0       5     0   200        2.34759      -0.200464     0.00855443
0   0.087       5     0   200        2.35952      -0.202661     0.00864889
0.087   0.174       5     0   200        2.36423      -0.204123     0.00871251
0.174   0.261       5     0   200        2.37173      -0.206683      0.0088365
0.261   0.348       5     0   200        2.36154      -0.206357     0.00882932
0.348   0.435       5     0   200        2.35058      -0.206338     0.00883779
0.435   0.522       5     0   200        2.34564      -0.207183     0.00887335
0.522   0.609       5     0   200        2.32359       -0.20528     0.00879182
0.609   0.696       5     0   200        2.28747       -0.20095     0.00860532
0.696   0.783       5     0   200        2.25081      -0.196379     0.00841274
0.783   0.879       5     0   200        2.20626       -0.19071     0.00817851
0.879   0.957       5     0   200        2.15192      -0.183608     0.00787797
0.957   1.044       5     0   200        2.12351      -0.179049     0.00767849
1.044   1.131       5     0   200         2.1379      -0.182066     0.00781348
1.131   1.218       5     0   200        2.12101      -0.179823     0.00772418
1.218   1.305       5     0   200         2.1039      -0.177754     0.00765036
1.305   1.392       5     0   200        2.06273      -0.171041     0.00736657
1.392   1.479       5     0   200        2.01721       -0.16352     0.00705861
1.479   1.566       5     0   200        1.96725      -0.154398     0.00667759
1.566   1.653       5     0   200        1.92014      -0.144687     0.00627935
1.653    1.74       5     0   200        1.87218      -0.134323      0.0058707
1.74    1.83       5     0   200        1.81752      -0.123465     0.00545967
1.83    1.93       5     0   200        1.80688      -0.117254     0.00526204
1.93   2.043       5     0   200        1.89476      -0.125951     0.00571659
2.043   2.172       5     0   200        2.09387      -0.152033      0.0069276
2.172   2.322       5     0   200        2.22027       -0.16728     0.00767406
2.322     2.5       5     0   200        3.34223      -0.355617      0.0158652
2.5    2.65       5     0   200        4.01109      -0.477503      0.0211315
2.65   2.853       5     0   200        3.87208      -0.471316      0.0206977
2.853   2.964       5     0   200         3.5143        -0.4227        0.01842
2.964   3.139       5     0   200        3.12266      -0.361674      0.0156378
3.139   3.314       5     0   200        2.52884      -0.265104      0.0113116
3.314   3.489       5     0   200        2.45069      -0.250688      0.0106151
3.489   3.664       5     0   200        2.45849      -0.250384      0.0106015
3.664   3.839       5     0   200        2.47082      -0.252364      0.0106908
3.839   4.013       5     0   200        2.48193      -0.254947      0.0108086
4.013   4.191       5     0   200        2.49621       -0.25694      0.0108968
4.191   4.363       5     0   200         2.4843      -0.255623      0.0108389
4.363   4.538       5     0   200        2.45903      -0.253262      0.0107434
4.538   4.716       5     0   200        2.44305      -0.251492      0.0106758
4.716   4.889       5     0   200        2.41716       -0.24824      0.0105414
4.889   5.191       5     0   200        2.43646      -0.251147      0.0106852
