{ 1 JetEta 1 JetPt ([0]+[1]*log(x))*1./(([2]+[3]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227))))) Correction L2Relative }
-3 -2.853 6 95 300 1.43162 -0.109586  9.73942e-01 1.15907e-01
-2.853 -2.65 6 95 300 1.24044 -0.0649929 9.73942e-01 1.15907e-01
-2.65 -2.5 6 95 300 1.15222 -0.0315173 9.73942e-01 1.15907e-01
-2.5 -2.322 6 95 300 1.07413 -0.0106089 9.73942e-01 1.15907e-01
-2.322 -2.172 6 95 300 1.06259 -0.00687443 9.73942e-01 1.15907e-01
-2.172 -1.93 6 95 300 1.06106 -0.0075446 9.73942e-01 1.15907e-01
-1.93 -1.653 6 95 300 1.05019 -0.00677346 9.73942e-01 1.15907e-01
-1.653 -1.305 6 95 300 1.04376 -0.00733434 9.73942e-01 1.15907e-01
-1.305 -1.044 6 95 300 0.996834 0.00102463 9.73942e-01 1.15907e-01
-1.044 -0.783 6 95 300 0.984032 0.00320551 9.73942e-01 1.15907e-01
-0.783 -0.522 6 95 300 0.995335 0.000924271 9.73942e-01 1.15907e-01
-0.522 -0.261 6 95 300 0.998712 0.000282974 9.73942e-01 1.15907e-01
-0.261 -0 6 95 300 1.00873 -0.00149318 9.73942e-01 1.15907e-01
0 0.261 6 95 300 1.00873 -0.00149318 9.73942e-01 1.15907e-01
0.261 0.522 6 95 300 0.998712 0.000282974 9.73942e-01 1.15907e-01
0.522 0.783 6 95 300 0.995335 0.000924271 9.73942e-01 1.15907e-01
0.783 1.044 6 95 300 0.984032 0.00320551 9.73942e-01 1.15907e-01
1.044 1.305 6 95 300 0.996834 0.00102463 9.73942e-01 1.15907e-01
1.305 1.653 6 95 300 1.04376 -0.00733434 9.73942e-01 1.15907e-01
1.653 1.93 6 95 300 1.05019 -0.00677346 9.73942e-01 1.15907e-01
1.93 2.172 6 95 300 1.06106 -0.0075446 9.73942e-01 1.15907e-01
2.172 2.322 6 95 300 1.06259 -0.00687443 9.73942e-01 1.15907e-01
2.322 2.5 6 95 300 1.07413 -0.0106089 9.73942e-01 1.15907e-01
2.5 2.65 6 95 300 1.15222 -0.0315173 9.73942e-01 1.15907e-01
2.65 2.853 6 95 300 1.24044 -0.0649929 9.73942e-01 1.15907e-01
2.853 3 6 95 300 1.43162 -0.109586 9.73942e-01 1.15907e-01
