{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200       0.964565     -0.0958259     0.00724677
-4.9  -4.8   5   0   200        0.89904     -0.0821297     0.00683946
-4.8  -4.7   5   0   200       0.834509     -0.0662747      0.0062688
-4.7  -4.6   5   0   200       0.687634     -0.0347848     0.00516308
-4.6  -4.5   5   0   200       0.683636     -0.0337161     0.00512087
-4.5  -4.4   5   0   200       0.662573     -0.0292793     0.00495389
-4.4  -4.3   5   0   200       0.648505     -0.0272662     0.00489383
-4.3  -4.2   5   0   200       0.657287     -0.0255815     0.00489537
-4.2  -4.1   5   0   200       0.675385     -0.0294664     0.00509026
-4.1    -4   5   0   200       0.693174     -0.0313909     0.00519473
  -4  -3.9   5   0   200       0.724906     -0.0365999     0.00543883
-3.9  -3.8   5   0   200       0.753429     -0.0410167     0.00565685
-3.8  -3.7   5   0   200       0.795873     -0.0474728     0.00597693
-3.7  -3.6   5   0   200       0.813505     -0.0518111     0.00615405
-3.6  -3.5   5   0   200        0.83462     -0.0546387     0.00620849
-3.5  -3.4   5   0   200        0.81646     -0.0536989     0.00611802
-3.4  -3.3   5   0   200       0.793914     -0.0506138     0.00595947
-3.3  -3.2   5   0   200       0.654364     -0.0216545     0.00481542
-3.2  -3.1   5   0   200       0.619006    -0.00918923     0.00425575
-3.1    -3   5   0   200       0.592729    0.000550344      0.0038288
  -3  -2.9   5   0   200       0.549856      0.0114079      0.0033755
-2.9  -2.8   5   0   200       0.503739      0.0253376     0.00292404
-2.8  -2.7   5   0   200       0.490355      0.0297094     0.00280175
-2.7  -2.6   5   0   200       0.506087      0.0318093     0.00283539
-2.6  -2.5   5   0   200       0.600665      0.0161914     0.00347351
-2.5  -2.4   5   0   200       0.687109   -0.000342162     0.00425978
-2.4  -2.3   5   0   200       0.729367    -0.00854382     0.00483148
-2.3  -2.2   5   0   200       0.805372     -0.0215247     0.00543905
-2.2  -2.1   5   0   200       0.897601      -0.038167     0.00621036
-2.1    -2   5   0   200       0.958317     -0.0488956       0.006711
  -2  -1.9   5   0   200        1.02078     -0.0618636     0.00731198
-1.9  -1.8   5   0   200        1.04367      -0.066751     0.00753857
-1.8  -1.7   5   0   200         1.0796     -0.0743247     0.00787251
-1.7  -1.6   5   0   200        1.12153     -0.0825257     0.00826473
-1.6  -1.5   5   0   200        1.14424     -0.0868255     0.00844552
-1.5  -1.4   5   0   200         1.1717     -0.0921459      0.0086939
-1.4  -1.3   5   0   200        1.18695     -0.0947887     0.00883909
-1.3  -1.2   5   0   200        1.20031     -0.0971666     0.00898273
-1.2  -1.1   5   0   200        1.20696     -0.0980729      0.0090672
-1.1    -1   5   0   200        1.21985      -0.100204      0.0091815
  -1  -0.9   5   0   200        1.22948      -0.101998     0.00928436
-0.9  -0.8   5   0   200        1.23274      -0.101488     0.00929743
-0.8  -0.7   5   0   200        1.24364      -0.102786     0.00938985
-0.7  -0.6   5   0   200        1.25107      -0.103489     0.00941984
-0.6  -0.5   5   0   200        1.25881      -0.104308     0.00947226
-0.5  -0.4   5   0   200        1.25917      -0.103774     0.00944645
-0.4  -0.3   5   0   200        1.27056      -0.105952     0.00955563
-0.3  -0.2   5   0   200        1.26264      -0.104296     0.00949414
-0.2  -0.1   5   0   200        1.27032      -0.105969     0.00956129
-0.1     0   5   0   200        1.27817      -0.107675     0.00962032
  -0   0.1   5   0   200        1.28033      -0.108216     0.00966091
 0.1   0.2   5   0   200        1.28563      -0.109482     0.00972488
 0.2   0.3   5   0   200        1.28591      -0.109852     0.00976737
 0.3   0.4   5   0   200        1.28805      -0.109943     0.00974279
 0.4   0.5   5   0   200        1.29242      -0.110869     0.00978297
 0.5   0.6   5   0   200        1.29366      -0.111261     0.00979916
 0.6   0.7   5   0   200        1.28048      -0.108989     0.00970485
 0.7   0.8   5   0   200        1.27047      -0.107073     0.00958755
 0.8   0.9   5   0   200        1.26419      -0.106232     0.00952361
 0.9     1   5   0   200        1.25228      -0.104572     0.00943945
   1   1.1   5   0   200        1.24532      -0.103205     0.00937981
 1.1   1.2   5   0   200        1.24342      -0.103026     0.00934858
 1.2   1.3   5   0   200        1.23001       -0.10049     0.00922286
 1.3   1.4   5   0   200         1.2175     -0.0979813     0.00909371
 1.4   1.5   5   0   200        1.21296     -0.0973856     0.00907057
 1.5   1.6   5   0   200        1.18214     -0.0908914     0.00877399
 1.6   1.7   5   0   200        1.14139     -0.0824847     0.00839645
 1.7   1.8   5   0   200        1.09712     -0.0737794     0.00800506
 1.8   1.9   5   0   200        1.05673      -0.065175     0.00762854
 1.9     2   5   0   200        1.02403     -0.0586066     0.00731637
   2   2.1   5   0   200       0.983109     -0.0507829     0.00694732
 2.1   2.2   5   0   200       0.934463     -0.0415878     0.00652473
 2.2   2.3   5   0   200       0.861851     -0.0286023     0.00592929
 2.3   2.4   5   0   200       0.802414     -0.0185801     0.00544211
 2.4   2.5   5   0   200       0.740374    -0.00661432     0.00473185
 2.5   2.6   5   0   200        0.69151     0.00410159     0.00407957
 2.6   2.7   5   0   200       0.630792      0.0150235     0.00358223
 2.7   2.8   5   0   200       0.609039      0.0128053     0.00352044
 2.8   2.9   5   0   200       0.610149     0.00947131     0.00355343
 2.9     3   5   0   200       0.649764    -0.00494309     0.00400529
   3   3.1   5   0   200       0.695913     -0.0181946     0.00450627
 3.1   3.2   5   0   200       0.725567      -0.028778     0.00494906
 3.2   3.3   5   0   200       0.736673     -0.0388137     0.00542991
 3.3   3.4   5   0   200       0.833571     -0.0609781     0.00636992
 3.4   3.5   5   0   200       0.862045     -0.0651857     0.00659341
 3.5   3.6   5   0   200       0.877212      -0.065488     0.00662772
 3.6   3.7   5   0   200       0.896678     -0.0696702     0.00685992
 3.7   3.8   5   0   200       0.904645     -0.0704729      0.0068787
 3.8   3.9   5   0   200       0.914443     -0.0734264      0.0069842
 3.9     4   5   0   200       0.920943     -0.0752108     0.00702493
   4   4.1   5   0   200       0.930888     -0.0777214     0.00710505
 4.1   4.2   5   0   200       0.944213     -0.0807328     0.00721167
 4.2   4.3   5   0   200       0.947502     -0.0806269     0.00713895
 4.3   4.4   5   0   200       0.955411     -0.0845566     0.00729873
 4.4   4.5   5   0   200       0.958289     -0.0851482     0.00727044
 4.5   4.6   5   0   200       0.978604     -0.0900068     0.00743798
 4.6   4.7   5   0   200         0.9864     -0.0916477     0.00751617
 4.7   4.8   5   0   200        1.12415      -0.122072     0.00851154
 4.8   4.9   5   0   200        1.20183      -0.140274     0.00917993
 4.9     5   5   0   200        1.26369      -0.153989     0.00953089
