{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200       0.964565     -0.0958259     0.00724677
-4.9  -4.8   5   0   200        0.89904     -0.0821297     0.00683946
-4.8  -4.7   5   0   200       0.834509     -0.0662747      0.0062688
-4.7  -4.6   5   0   200       0.687634     -0.0347848     0.00516308
-4.6  -4.5   5   0   200       0.683636     -0.0337161     0.00512087
-4.5  -4.4   5   0   200       0.662573     -0.0292793     0.00495389
-4.4  -4.3   5   0   200       0.648505     -0.0272662     0.00489383
-4.3  -4.2   5   0   200       0.657287     -0.0255815     0.00489537
-4.2  -4.1   5   0   200       0.675385     -0.0294664     0.00509026
-4.1    -4   5   0   200       0.693174     -0.0313909     0.00519473
  -4  -3.9   5   0   200       0.724906     -0.0365999     0.00543883
-3.9  -3.8   5   0   200       0.753429     -0.0410167     0.00565685
-3.8  -3.7   5   0   200       0.795873     -0.0474728     0.00597693
-3.7  -3.6   5   0   200       0.813505     -0.0518111     0.00615405
-3.6  -3.5   5   0   200        0.83462     -0.0546387     0.00620849
-3.5  -3.4   5   0   200        0.81646     -0.0536989     0.00611802
-3.4  -3.3   5   0   200       0.793914     -0.0506138     0.00595947
-3.3  -3.2   5   0   200       0.654364     -0.0216545     0.00481542
-3.2  -3.1   5   0   200       0.619006    -0.00918923     0.00425575
-3.1    -3   5   0   200       0.592729    0.000550344      0.0038288
  -3  -2.9   5   0   200       0.550145      0.0113728     0.00337778
-2.9  -2.8   5   0   200        0.50099      0.0259812     0.00290056
-2.8  -2.7   5   0   200        0.47212      0.0330974     0.00265779
-2.7  -2.6   5   0   200       0.458439      0.0401869     0.00246717
-2.6  -2.5   5   0   200       0.513072      0.0311339     0.00279306
-2.5  -2.4   5   0   200       0.524624      0.0268985     0.00300616
-2.4  -2.3   5   0   200       0.455211      0.0378644      0.0027475
-2.3  -2.2   5   0   200       0.451718      0.0390335     0.00272916
-2.2  -2.1   5   0   200       0.497133      0.0304571     0.00307835
-2.1    -2   5   0   200       0.532142      0.0238256     0.00335635
  -2  -1.9   5   0   200       0.588274      0.0114107     0.00388275
-1.9  -1.8   5   0   200       0.624171     0.00371314     0.00424287
-1.8  -1.7   5   0   200       0.702032     -0.0118409     0.00491681
-1.7  -1.6   5   0   200       0.783732     -0.0272647      0.0056347
-1.6  -1.5   5   0   200       0.838012     -0.0376154     0.00610229
-1.5  -1.4   5   0   200       0.879795     -0.0448981     0.00645257
-1.4  -1.3   5   0   200       0.915441     -0.0513479     0.00680424
-1.3  -1.2   5   0   200       0.928566     -0.0533164     0.00695294
-1.2  -1.1   5   0   200       0.931528     -0.0531052     0.00700475
-1.1    -1   5   0   200       0.946025     -0.0556957     0.00716158
  -1  -0.9   5   0   200       0.955718     -0.0580869     0.00731841
-0.9  -0.8   5   0   200       0.972728     -0.0599986     0.00745038
-0.8  -0.7   5   0   200       0.990391     -0.0624964     0.00758361
-0.7  -0.6   5   0   200        1.00387     -0.0645305     0.00767398
-0.6  -0.5   5   0   200        1.02143     -0.0672396     0.00781712
-0.5  -0.4   5   0   200         1.0142     -0.0648861     0.00771348
-0.4  -0.3   5   0   200        1.02724     -0.0669588     0.00780549
-0.3  -0.2   5   0   200        1.01638     -0.0645077     0.00772574
-0.2  -0.1   5   0   200        1.02566     -0.0664697     0.00781829
-0.1     0   5   0   200        1.02667     -0.0665901     0.00778863
  -0   0.1   5   0   200        1.03197     -0.0678389     0.00785336
 0.1   0.2   5   0   200        1.04921      -0.071651     0.00801431
 0.2   0.3   5   0   200         1.0516     -0.0723917     0.00803558
 0.3   0.4   5   0   200        1.06313     -0.0749251     0.00810773
 0.4   0.5   5   0   200         1.0721     -0.0771936     0.00820178
 0.5   0.6   5   0   200        1.08033     -0.0793158     0.00827861
 0.6   0.7   5   0   200        1.06742     -0.0774344     0.00821368
 0.7   0.8   5   0   200        1.04675     -0.0736959     0.00803212
 0.8   0.9   5   0   200        1.02113     -0.0692894     0.00778213
 0.9     1   5   0   200       0.987043      -0.063997     0.00750464
   1   1.1   5   0   200       0.963673     -0.0592266     0.00726924
 1.1   1.2   5   0   200       0.952389     -0.0568715     0.00712546
 1.2   1.3   5   0   200       0.937377     -0.0539571      0.0069934
 1.3   1.4   5   0   200       0.919992     -0.0504634      0.0068042
 1.4   1.5   5   0   200       0.897938     -0.0461014     0.00658665
 1.5   1.6   5   0   200       0.854188     -0.0372836     0.00619608
 1.6   1.7   5   0   200       0.790982     -0.0246598     0.00565145
 1.7   1.8   5   0   200       0.702789    -0.00783502     0.00489829
 1.8   1.9   5   0   200       0.612844     0.00948421     0.00414474
 1.9     2   5   0   200       0.552298      0.0205882     0.00362475
   2   2.1   5   0   200       0.489715      0.0322706     0.00311337
 2.1   2.2   5   0   200       0.440426      0.0416688     0.00274637
 2.2   2.3   5   0   200       0.397777      0.0497588     0.00242318
 2.3   2.4   5   0   200       0.411915      0.0469715     0.00251165
 2.4   2.5   5   0   200       0.476982      0.0372004     0.00277774
 2.5   2.6   5   0   200       0.533244      0.0303835     0.00292312
 2.6   2.7   5   0   200       0.532936      0.0313263      0.0028786
 2.7   2.8   5   0   200       0.567135      0.0196003      0.0032206
 2.8   2.9   5   0   200       0.597967       0.011429     0.00346976
 2.9     3   5   0   200       0.649156    -0.00484328     0.00400081
   3   3.1   5   0   200       0.695913     -0.0181946     0.00450627
 3.1   3.2   5   0   200       0.725567      -0.028778     0.00494906
 3.2   3.3   5   0   200       0.736673     -0.0388137     0.00542991
 3.3   3.4   5   0   200       0.833571     -0.0609781     0.00636992
 3.4   3.5   5   0   200       0.862045     -0.0651857     0.00659341
 3.5   3.6   5   0   200       0.877212      -0.065488     0.00662772
 3.6   3.7   5   0   200       0.896678     -0.0696702     0.00685992
 3.7   3.8   5   0   200       0.904645     -0.0704729      0.0068787
 3.8   3.9   5   0   200       0.914443     -0.0734264      0.0069842
 3.9     4   5   0   200       0.920943     -0.0752108     0.00702493
   4   4.1   5   0   200       0.930888     -0.0777214     0.00710505
 4.1   4.2   5   0   200       0.944213     -0.0807328     0.00721167
 4.2   4.3   5   0   200       0.947502     -0.0806269     0.00713895
 4.3   4.4   5   0   200       0.955411     -0.0845566     0.00729873
 4.4   4.5   5   0   200       0.958289     -0.0851482     0.00727044
 4.5   4.6   5   0   200       0.978604     -0.0900068     0.00743798
 4.6   4.7   5   0   200         0.9864     -0.0916477     0.00751617
 4.7   4.8   5   0   200        1.12415      -0.122072     0.00851154
 4.8   4.9   5   0   200        1.20183      -0.140274     0.00917993
 4.9     5   5   0   200        1.26369      -0.153989     0.00953089
