{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200       0.679696    -0.00978549    0.000382281
-4.9  -4.8   5   0   200       0.671996    -0.00860457    0.000482107
-4.8  -4.7   5   0   200       0.668291    -0.00535683     0.00037156
-4.7  -4.6   5   0   200       0.658138    -0.00311788    0.000449657
-4.6  -4.5   5   0   200       0.661166    -0.00417057    0.000560652
-4.5  -4.4   5   0   200       0.654135    -0.00226475    0.000445716
-4.4  -4.3   5   0   200       0.647863    -0.00191752    0.000445103
-4.3  -4.2   5   0   200       0.671106    -0.00323799    0.000550208
-4.2  -4.1   5   0   200        0.68848      -0.008273    0.000916022
-4.1    -4   5   0   200       0.704091      -0.010296     0.00106765
  -4  -3.9   5   0   200        0.70438    -0.00795191    0.000896082
-3.9  -3.8   5   0   200       0.719525    -0.00994528     0.00103742
-3.8  -3.7   5   0   200       0.734853     -0.0107854     0.00112045
-3.7  -3.6   5   0   200       0.729947     -0.0102189      0.0010736
-3.6  -3.5   5   0   200       0.727745    -0.00857092    0.000993523
-3.5  -3.4   5   0   200         0.7116    -0.00821861    0.000950892
-3.4  -3.3   5   0   200       0.699852    -0.00752284     0.00090304
-3.3  -3.2   5   0   200        0.67878    -0.00236167    0.000661558
-3.2  -3.1   5   0   200       0.676846     0.00143688    0.000630732
-3.1    -3   5   0   200       0.677573     0.00452752    0.000585023
  -3  -2.9   5   0   200       0.653671      0.0125299    0.000144286
-2.9  -2.8   5   0   200       0.653581       0.017063    6.00428e-05
-2.8  -2.7   5   0   200       0.649129      0.0203037   -8.38489e-05
-2.7  -2.6   5   0   200        0.63725       0.030202   -0.000565547
-2.6  -2.5   5   0   200       0.646998      0.0324799   -0.000672034
-2.5  -2.4   5   0   200       0.647499      0.0372647     -0.0010974
-2.4  -2.3   5   0   200       0.629603      0.0459257    -0.00166432
-2.3  -2.2   5   0   200       0.642161      0.0473399    -0.00177454
-2.2  -2.1   5   0   200       0.653767      0.0491829    -0.00195867
-2.1    -2   5   0   200       0.665516       0.049364    -0.00199513
  -2  -1.9   5   0   200       0.681996       0.045413    -0.00171883
-1.9  -1.8   5   0   200       0.692182        0.04298    -0.00160352
-1.8  -1.7   5   0   200       0.724684      0.0335615   -0.000958173
-1.7  -1.6   5   0   200       0.772186      0.0209793   -0.000102477
-1.6  -1.5   5   0   200        0.78032      0.0200425   -0.000124977
-1.5  -1.4   5   0   200       0.791919      0.0184064   -9.90938e-05
-1.4  -1.3   5   0   200        0.81121      0.0138195     0.00021938
-1.3  -1.2   5   0   200       0.802096      0.0179781   -0.000107239
-1.2  -1.1   5   0   200       0.816621      0.0146374    0.000141045
-1.1    -1   5   0   200       0.818057      0.0155519    6.17884e-05
  -1  -0.9   5   0   200       0.807907      0.0193363   -0.000206985
-0.9  -0.8   5   0   200        0.82504      0.0157426    8.43523e-05
-0.8  -0.7   5   0   200       0.829766      0.0162755     3.5618e-05
-0.7  -0.6   5   0   200       0.835905      0.0158139     4.3894e-05
-0.6  -0.5   5   0   200       0.845313      0.0148719    6.38354e-05
-0.5  -0.4   5   0   200       0.845464      0.0158918   -2.60642e-05
-0.4  -0.3   5   0   200       0.820225      0.0239667   -0.000596095
-0.3  -0.2   5   0   200       0.812746      0.0262373   -0.000755137
-0.2  -0.1   5   0   200       0.811815      0.0265006   -0.000775666
-0.1     0   5   0   200       0.807918      0.0277563   -0.000879147
  -0   0.1   5   0   200       0.791501       0.032624    -0.00121564
 0.1   0.2   5   0   200       0.797545      0.0302631    -0.00101067
 0.2   0.3   5   0   200       0.789576      0.0324635    -0.00115509
 0.3   0.4   5   0   200       0.785911      0.0338018    -0.00126148
 0.4   0.5   5   0   200       0.782971      0.0344821    -0.00128961
 0.5   0.6   5   0   200       0.781097      0.0343153    -0.00124138
 0.6   0.7   5   0   200       0.784116      0.0327207    -0.00113253
 0.7   0.8   5   0   200       0.789321      0.0305741    -0.00099346
 0.8   0.9   5   0   200       0.798157       0.026568   -0.000671229
 0.9     1   5   0   200       0.787089      0.0291362   -0.000892453
   1   1.1   5   0   200         0.7829       0.030667    -0.00103596
 1.1   1.2   5   0   200       0.777471      0.0321315    -0.00116479
 1.2   1.3   5   0   200       0.784217      0.0301748    -0.00107813
 1.3   1.4   5   0   200       0.782794      0.0301016    -0.00106552
 1.4   1.5   5   0   200       0.777506      0.0315382    -0.00117246
 1.5   1.6   5   0   200       0.767649      0.0340712     -0.0013194
 1.6   1.7   5   0   200       0.761808      0.0341776     -0.0012326
 1.7   1.8   5   0   200       0.743016      0.0377986    -0.00140766
 1.8   1.9   5   0   200       0.718608      0.0443281    -0.00180444
 1.9     2   5   0   200        0.71032      0.0455504    -0.00183285
   2   2.1   5   0   200       0.690355       0.049578    -0.00206926
 2.1   2.2   5   0   200       0.696514       0.046127    -0.00183223
