{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
  -5  -4.9   5   0   200       0.679696    -0.00978549    0.000382281
-4.9  -4.8   5   0   200       0.671996    -0.00860457    0.000482107
-4.8  -4.7   5   0   200       0.668291    -0.00535683     0.00037156
-4.7  -4.6   5   0   200       0.658138    -0.00311788    0.000449657
-4.6  -4.5   5   0   200       0.661166    -0.00417057    0.000560652
-4.5  -4.4   5   0   200       0.654135    -0.00226475    0.000445716
-4.4  -4.3   5   0   200       0.647863    -0.00191752    0.000445103
-4.3  -4.2   5   0   200       0.671106    -0.00323799    0.000550208
-4.2  -4.1   5   0   200        0.68848      -0.008273    0.000916022
-4.1    -4   5   0   200       0.704091      -0.010296     0.00106765
  -4  -3.9   5   0   200        0.70438    -0.00795191    0.000896082
-3.9  -3.8   5   0   200       0.719525    -0.00994528     0.00103742
-3.8  -3.7   5   0   200       0.734853     -0.0107854     0.00112045
-3.7  -3.6   5   0   200       0.729947     -0.0102189      0.0010736
-3.6  -3.5   5   0   200       0.727745    -0.00857092    0.000993523
-3.5  -3.4   5   0   200         0.7116    -0.00821861    0.000950892
-3.4  -3.3   5   0   200       0.699852    -0.00752284     0.00090304
-3.3  -3.2   5   0   200        0.67878    -0.00236167    0.000661558
-3.2  -3.1   5   0   200       0.676846     0.00143688    0.000630732
-3.1    -3   5   0   200       0.677573     0.00452752    0.000585023
  -3  -2.9   5   0   200       0.653441      0.0126432    0.000136909
-2.9  -2.8   5   0   200       0.651479       0.017808     1.1766e-05
-2.8  -2.7   5   0   200       0.644466      0.0208525    -9.9387e-05
-2.7  -2.6   5   0   200       0.631793      0.0288267   -0.000409814
-2.6  -2.5   5   0   200       0.634012      0.0301263   -0.000415861
-2.5  -2.4   5   0   200       0.625146      0.0323243   -0.000635029
-2.4  -2.3   5   0   200       0.588786      0.0395627    -0.00101406
-2.3  -2.2   5   0   200       0.587157      0.0407229    -0.00102805
-2.2  -2.1   5   0   200       0.580998      0.0443227    -0.00130986
-2.1    -2   5   0   200       0.583923      0.0446133    -0.00133504
  -2  -1.9   5   0   200        0.57569      0.0467834    -0.00152416
-1.9  -1.8   5   0   200       0.571871      0.0487708    -0.00174141
-1.8  -1.7   5   0   200        0.60963      0.0388986    -0.00107758
-1.7  -1.6   5   0   200       0.663603       0.026913    -0.00033983
-1.6  -1.5   5   0   200       0.682238      0.0239791   -0.000233708
-1.5  -1.4   5   0   200       0.696234      0.0232674   -0.000296585
-1.4  -1.3   5   0   200       0.714187       0.020535    -0.00012766
-1.3  -1.2   5   0   200       0.717226      0.0214742   -0.000211286
-1.2  -1.1   5   0   200        0.74307      0.0151475    0.000258799
-1.1    -1   5   0   200       0.729461      0.0202402    -8.7698e-05
  -1  -0.9   5   0   200       0.716673      0.0240878   -0.000334913
-0.9  -0.8   5   0   200        0.72809      0.0229298   -0.000203533
-0.8  -0.7   5   0   200       0.734455      0.0233924   -0.000269059
-0.7  -0.6   5   0   200        0.72594      0.0271459    -0.00054718
-0.6  -0.5   5   0   200       0.735878      0.0267084   -0.000583287
-0.5  -0.4   5   0   200       0.716562      0.0340846    -0.00115013
-0.4  -0.3   5   0   200       0.709467      0.0364878    -0.00126303
-0.3  -0.2   5   0   200       0.703333      0.0388197    -0.00142955
-0.2  -0.1   5   0   200        0.69581      0.0413428    -0.00162083
-0.1     0   5   0   200       0.691429      0.0425476    -0.00171264
  -0   0.1   5   0   200       0.694364      0.0413862    -0.00160641
 0.1   0.2   5   0   200       0.694864      0.0405194    -0.00150389
 0.2   0.3   5   0   200       0.690513      0.0408431    -0.00148205
 0.3   0.4   5   0   200       0.687144      0.0416917     -0.0015787
 0.4   0.5   5   0   200       0.678737       0.043737    -0.00172537
 0.5   0.6   5   0   200       0.675129      0.0438021    -0.00170644
 0.6   0.7   5   0   200       0.673741      0.0428491    -0.00161682
 0.7   0.8   5   0   200       0.675825      0.0412192    -0.00150764
 0.8   0.9   5   0   200       0.686971      0.0350479    -0.00100884
 0.9     1   5   0   200       0.665674      0.0387601     -0.0013078
   1   1.1   5   0   200       0.651834       0.043375     -0.0017174
 1.1   1.2   5   0   200       0.656423      0.0419243    -0.00163941
 1.2   1.3   5   0   200       0.671345      0.0380515    -0.00143092
 1.3   1.4   5   0   200       0.669371      0.0381054    -0.00144017
 1.4   1.5   5   0   200       0.668841      0.0382788    -0.00148285
 1.5   1.6   5   0   200       0.674053      0.0354668     -0.0012107
 1.6   1.7   5   0   200       0.669134      0.0344469   -0.000997886
 1.7   1.8   5   0   200       0.643157       0.038279    -0.00115955
 1.8   1.9   5   0   200       0.615601      0.0430215    -0.00139699
 1.9     2   5   0   200       0.621211      0.0380546   -0.000986896
   2   2.1   5   0   200       0.606255      0.0405322    -0.00117122
 2.1   2.2   5   0   200       0.602032      0.0409478    -0.00122826
