{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
  -5.1910  -3.8390   5 10 6500  0.8999 -0.0510 0.0
  -3.8390  -3.4890   5 10 6500  0.9470  0.0197 0.0 
  -3.4890  -3.1390   5 10 6500  0.9852  0.0810 0.0 
  -3.1390  -2.9640   5 10 6500  0.9547 -0.0161 0.0 
  -2.9640  -2.8530   5 10 6500  0.8677 -0.1806 0.0 
  -2.8530  -2.6500   5 10 6500  0.9110 -0.1445 0.0 
  -2.6500  -2.5000   5 10 6500  0.9640  0.0191 0.0 
  -2.5000  -2.3220   5 10 6500  0.9835  0.0706 0.0 
  -2.3220  -2.1720   5 10 6500  0.9809 -0.0031 0.0 
  -2.1720  -1.9300   5 10 6500  0.9903  0.0032 0.0 
  -1.9300  -1.6530   5 10 6500  0.9899  0.0930 0.0 
  -1.6530  -1.4790   5 10 6500  0.9903  0.1007 0.0 
  -1.4790  -1.3050   5 10 6500  0.9815  0.0568 0.0 
  -1.3050  -1.0440   5 10 6500  0.9754  0.0089 0.0 
  -1.0440  -0.7830   5 10 6500  0.9803  0.0224 0.0 
  -0.7830  -0.5220   5 10 6500  0.9851  0.0216 0.0 
  -0.5220  -0.2610   5 10 6500  0.9910  0.0233 0.0 
  -0.2610  -0.0000   5 10 6500  0.9964  0.0427 0.0 
  0.0000   0.2610  5 10 6500  0.9964  0.0427 0.0 
  0.2610   0.5220  5 10 6500  0.9910  0.0233 0.0 
  0.5220   0.7830  5 10 6500  0.9851  0.0216 0.0 
  0.7830   1.0440  5 10 6500  0.9803  0.0224 0.0 
  1.0440   1.3050  5 10 6500  0.9754  0.0089 0.0 
  1.3050   1.4790  5 10 6500  0.9815  0.0568 0.0 
  1.4790   1.6530  5 10 6500  0.9903  0.1007 0.0 
  1.6530   1.9300  5 10 6500  0.9899  0.0930 0.0 
  1.9300   2.1720  5 10 6500  0.9903  0.0032 0.0 
  2.1720   2.3220  5 10 6500  0.9809 -0.0031 0.0 
  2.3220   2.5000  5 10 6500  0.9835  0.0706 0.0 
  2.5000   2.6500  5 10 6500  0.9640  0.0191 0.0 
  2.6500   2.8530  5 10 6500  0.9110 -0.1445 0.0 
  2.8530   2.9640  5 10 6500  0.8677 -0.1806 0.0 
  2.9640   3.1390  5 10 6500  0.9547 -0.0161 0.0 
  3.1390   3.4890  5 10 6500  0.9852  0.0810 0.0 
  3.4890   3.8390  5 10 6500  0.9470  0.0197 0.0 
  3.8390   5.1910  5 10 6500  0.8999 -0.0510 0.0   
