{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.18965     -0.0322462      0.0013582
-4.889  -4.716       5     0   200        1.18334     -0.0325128      0.0013534
-4.716  -4.538       5     0   200        1.18593     -0.0333193     0.00138268
-4.538  -4.363       5     0   200         1.1893     -0.0346658     0.00144773
-4.363  -4.191       5     0   200        1.20162     -0.0356555      0.0015025
-4.191  -4.013       5     0   200        1.20431     -0.0345728     0.00146447
-4.013  -3.839       5     0   200        1.19295     -0.0320035     0.00135293
-3.839  -3.664       5     0   200        1.19308     -0.0303509     0.00128209
-3.664  -3.489       5     0   200        1.18907     -0.0295913     0.00125857
-3.489  -3.314       5     0   200        1.17797     -0.0293022     0.00125664
-3.314  -3.139       5     0   200        1.20012      -0.031319     0.00134655
-3.139  -2.964       5     0   200        1.20627     -0.0291549     0.00117771
-2.964  -2.853       5     0   200        1.20542     -0.0246948    0.000931006
-2.853   -2.65       5     0   200        1.22456     -0.0187488    0.000569792
-2.65    -2.5       5     0   200        1.21368    -0.00971719    2.45643e-06
-2.5  -2.322       5     0   200        1.17781    -0.00229693   -0.000445873
-2.322  -2.172       5     0   200        1.16268    -0.00264646   -0.000456327
-2.172  -2.043       5     0   200        1.13292    -0.00231282   -0.000508407
-2.043   -1.93       5     0   200         1.1204    -0.00508723   -0.000355507
-1.93   -1.83       5     0   200        1.12119    -0.00930467   -0.000140042
-1.83   -1.74       5     0   200         1.1182     -0.0121905    7.41502e-06
-1.74  -1.653       5     0   200        1.12399     -0.0149515    0.000153188
-1.653  -1.566       5     0   200        1.13187     -0.0175497    0.000299816
-1.566  -1.479       5     0   200        1.13243      -0.018085    0.000355868
-1.479  -1.392       5     0   200        1.13523     -0.0187655    0.000423547
-1.392  -1.305       5     0   200        1.14359     -0.0202488    0.000532627
-1.305  -1.218       5     0   200         1.1392     -0.0187713    0.000496432
-1.218  -1.131       5     0   200         1.1388      -0.018249    0.000500295
-1.131  -1.044       5     0   200        1.13752     -0.0180174    0.000511136
-1.044  -0.957       5     0   200        1.13837     -0.0184858    0.000544734
-0.957  -0.879       5     0   200        1.14038     -0.0198247    0.000604201
-0.879  -0.783       5     0   200        1.15489      -0.022277    0.000704902
-0.783  -0.696       5     0   200        1.17681     -0.0262458    0.000878406
-0.696  -0.609       5     0   200        1.18905       -0.02834    0.000971394
-0.609  -0.522       5     0   200        1.19704     -0.0296542     0.00102911
-0.522  -0.435       5     0   200        1.20858     -0.0315048     0.00111444
-0.435  -0.348       5     0   200        1.22035     -0.0332014     0.00118865
-0.348  -0.261       5     0   200        1.22812     -0.0343416     0.00123894
-0.261  -0.174       5     0   200        1.22488     -0.0336089      0.0012089
-0.174  -0.087       5     0   200        1.21741     -0.0321897     0.00115085
-0.087       0       5     0   200        1.21195     -0.0312441     0.00111564
0   0.087       5     0   200         1.2016     -0.0294407     0.00104111
0.087   0.174       5     0   200        1.18898     -0.0271091    0.000937889
0.174   0.261       5     0   200        1.17622     -0.0248976     0.00084642
0.261   0.348       5     0   200        1.16289     -0.0226903    0.000758147
0.348   0.435       5     0   200        1.14267     -0.0193004    0.000614291
0.435   0.522       5     0   200        1.13798     -0.0187477    0.000596323
0.522   0.609       5     0   200        1.13689     -0.0190316     0.00061319
0.609   0.696       5     0   200         1.1315     -0.0185716    0.000598803
0.696   0.783       5     0   200        1.12521     -0.0180711     0.00058704
0.783   0.879       5     0   200        1.12616     -0.0189726    0.000644832
0.879   0.957       5     0   200        1.13118     -0.0204088    0.000723211
0.957   1.044       5     0   200        1.13622     -0.0203984    0.000725249
1.044   1.131       5     0   200        1.13392     -0.0198263     0.00068727
1.131   1.218       5     0   200        1.12855     -0.0187573    0.000612567
1.218   1.305       5     0   200        1.11835     -0.0168664     0.00048875
1.305   1.392       5     0   200        1.11103     -0.0154418    0.000380601
1.392   1.479       5     0   200        1.10483     -0.0139622    0.000263792
1.479   1.566       5     0   200        1.10628     -0.0135101    0.000192062
1.566   1.653       5     0   200        1.10322     -0.0120428    7.83422e-05
1.653    1.74       5     0   200        1.09961        -0.0107    -1.8539e-05
1.74    1.83       5     0   200        1.09974     -0.0104838   -5.70571e-05
1.83    1.93       5     0   200        1.10963     -0.0101966   -9.08189e-05
1.93   2.043       5     0   200        1.11253    -0.00905577   -0.000162353
2.043   2.172       5     0   200        1.11289    -0.00828823   -0.000214975
2.172   2.322       5     0   200        1.10482    -0.00677398   -0.000221248
2.322     2.5       5     0   200        1.14314     -0.0103046   -4.11072e-05
2.5    2.65       5     0   200        1.21204      -0.016904    0.000287313
2.65   2.853       5     0   200        1.23392     -0.0234899    0.000706305
2.853   2.964       5     0   200        1.21446     -0.0259304    0.000889801
2.964   3.139       5     0   200        1.18907     -0.0260706    0.000945515
3.139   3.314       5     0   200        1.13488     -0.0223025    0.000886115
3.314   3.489       5     0   200        1.11515      -0.020323    0.000809621
3.489   3.664       5     0   200         1.1229     -0.0199703     0.00077912
3.664   3.839       5     0   200        1.13117     -0.0210806    0.000819038
3.839   4.013       5     0   200          1.141     -0.0234666    0.000920431
4.013   4.191       5     0   200        1.16524      -0.027414     0.00109559
4.191   4.363       5     0   200        1.17674     -0.0301246     0.00120937
4.363   4.538       5     0   200        1.17415     -0.0313547     0.00125903
4.538   4.716       5     0   200        1.17364     -0.0317978     0.00127572
4.716   4.889       5     0   200        1.16426     -0.0309272     0.00123218
4.889   5.191       5     0   200        1.16888     -0.0309664     0.00124758
