{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.18965     -0.0322462      0.0013582
-4.889  -4.716       5     0   200        1.18334     -0.0325128      0.0013534
-4.716  -4.538       5     0   200        1.18593     -0.0333193     0.00138268
-4.538  -4.363       5     0   200         1.1893     -0.0346658     0.00144773
-4.363  -4.191       5     0   200        1.20162     -0.0356555      0.0015025
-4.191  -4.013       5     0   200        1.20431     -0.0345728     0.00146447
-4.013  -3.839       5     0   200        1.19295     -0.0320035     0.00135293
-3.839  -3.664       5     0   200        1.19308     -0.0303509     0.00128209
-3.664  -3.489       5     0   200        1.18907     -0.0295913     0.00125857
-3.489  -3.314       5     0   200        1.17797     -0.0293022     0.00125664
-3.314  -3.139       5     0   200        1.20012     -0.0313191     0.00134656
-3.139  -2.964       5     0   200        1.20628     -0.0291556     0.00117774
-2.964  -2.853       5     0   200        1.20546     -0.0247856     0.00093916
-2.853   -2.65       5     0   200        1.21737     -0.0190092     0.00067111
-2.65    -2.5       5     0   200         1.1965    -0.00983333    0.000308762
-2.5  -2.322       5     0   200        1.15566   -0.000621314    2.69695e-05
-2.322  -2.172       5     0   200        1.15753    -0.00177669    0.000296124
-2.172  -2.043       5     0   200        1.15364    -0.00484452    0.000338556
-2.043   -1.93       5     0   200        1.16843     -0.0114693    0.000528342
-1.93   -1.83       5     0   200        1.17874     -0.0178344    0.000708629
-1.83   -1.74       5     0   200         1.1719     -0.0218236    0.000821627
-1.74  -1.653       5     0   200        1.17693     -0.0258733     0.00101246
-1.653  -1.566       5     0   200        1.18039     -0.0289442     0.00117986
-1.566  -1.479       5     0   200        1.17561     -0.0293856     0.00124373
-1.479  -1.392       5     0   200        1.17577     -0.0304424     0.00136329
-1.392  -1.305       5     0   200        1.17889     -0.0315859     0.00151708
-1.305  -1.218       5     0   200        1.17415     -0.0299851     0.00154396
-1.218  -1.131       5     0   200        1.17397     -0.0291826     0.00159948
-1.131  -1.044       5     0   200        1.18099     -0.0301969     0.00171474
-1.044  -0.957       5     0   200        1.19364      -0.032595     0.00186518
-0.957  -0.879       5     0   200        1.20107     -0.0355387     0.00201406
-0.879  -0.783       5     0   200        1.23331     -0.0404965      0.0022465
-0.783  -0.696       5     0   200        1.27024     -0.0467187     0.00253478
-0.696  -0.609       5     0   200        1.29203     -0.0499304     0.00268321
-0.609  -0.522       5     0   200        1.30958     -0.0522815      0.0027929
-0.522  -0.435       5     0   200         1.3262     -0.0543185     0.00290352
-0.435  -0.348       5     0   200        1.34411     -0.0562805     0.00300967
-0.348  -0.261       5     0   200        1.34521     -0.0554649     0.00297878
-0.261  -0.174       5     0   200          1.329     -0.0517604     0.00280401
-0.174  -0.087       5     0   200        1.31274     -0.0482109     0.00261476
-0.087       0       5     0   200        1.30084     -0.0459861     0.00247907
0   0.087       5     0   200        1.28817     -0.0440041     0.00234705
0.087   0.174       5     0   200        1.27087     -0.0413537     0.00217601
0.174   0.261       5     0   200         1.2557     -0.0395877     0.00205907
0.261   0.348       5     0   200        1.24459     -0.0388127     0.00200093
0.348   0.435       5     0   200        1.21748     -0.0353077     0.00182737
0.435   0.522       5     0   200        1.20922     -0.0350387     0.00180717
0.522   0.609       5     0   200        1.20795     -0.0361318     0.00185788
0.609   0.696       5     0   200        1.19859     -0.0354963      0.0018419
0.696   0.783       5     0   200        1.18548     -0.0339804     0.00179429
0.783   0.879       5     0   200        1.18017     -0.0339425     0.00182875
0.879   0.957       5     0   200          1.183     -0.0349518     0.00189615
0.957   1.044       5     0   200        1.19703     -0.0346987     0.00188796
1.044   1.131       5     0   200        1.19552     -0.0331508     0.00179292
1.131   1.218       5     0   200         1.1941     -0.0322503      0.0017039
1.218   1.305       5     0   200        1.18137     -0.0299779     0.00153366
1.305   1.392       5     0   200        1.16902      -0.027783     0.00135756
1.392   1.479       5     0   200        1.16963     -0.0276435     0.00128159
1.479   1.566       5     0   200        1.17475     -0.0277315     0.00122193
1.566   1.653       5     0   200         1.1777      -0.026947     0.00113864
1.653    1.74       5     0   200        1.18168     -0.0268523     0.00112061
1.74    1.83       5     0   200        1.18244     -0.0273732     0.00115476
1.83    1.93       5     0   200        1.21347     -0.0290535     0.00131037
1.93   2.043       5     0   200        1.23903     -0.0287283     0.00140121
2.043   2.172       5     0   200         1.2578     -0.0258998     0.00134155
2.172   2.322       5     0   200        1.24786     -0.0197791     0.00113529
2.322     2.5       5     0   200        1.27964     -0.0196089    0.000840958
2.5    2.65       5     0   200        1.31201     -0.0223902    0.000719377
2.65   2.853       5     0   200        1.28006     -0.0264743    0.000873172
2.853   2.964       5     0   200        1.22623     -0.0270614    0.000935697
2.964   3.139       5     0   200        1.18907     -0.0260697    0.000945477
3.139   3.314       5     0   200        1.13488     -0.0223025    0.000886115
3.314   3.489       5     0   200        1.11515      -0.020323    0.000809621
3.489   3.664       5     0   200         1.1229     -0.0199703     0.00077912
3.664   3.839       5     0   200        1.13117     -0.0210806    0.000819038
3.839   4.013       5     0   200          1.141     -0.0234666    0.000920431
4.013   4.191       5     0   200        1.16524      -0.027414     0.00109559
4.191   4.363       5     0   200        1.17674     -0.0301246     0.00120937
4.363   4.538       5     0   200        1.17415     -0.0313547     0.00125903
4.538   4.716       5     0   200        1.17364     -0.0317978     0.00127572
4.716   4.889       5     0   200        1.16426     -0.0309272     0.00123218
4.889   5.191       5     0   200        1.16888     -0.0309664     0.00124758
