{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.09189    -0.00711439     0.00014434
-4.889  -4.716       5     0   200        1.09697     -0.0065891    9.82978e-05
-4.716  -4.538       5     0   200        1.09945    -0.00542444    3.78663e-05
-4.538  -4.363       5     0   200        1.09123    -0.00417719   -6.94374e-06
-4.363  -4.191       5     0   200        1.08119    -0.00133035   -0.000112129
-4.191  -4.013       5     0   200        1.07944    0.000264166   -0.000158914
-4.013  -3.839       5     0   200        1.08819      -0.001089   -8.57796e-05
-3.839  -3.664       5     0   200        1.10167    -0.00188994   -4.92049e-05
-3.664  -3.489       5     0   200        1.10038    -0.00174712   -5.82301e-05
-3.489  -3.314       5     0   200        1.08046   -0.000253842   -0.000124242
-3.314  -3.139       5     0   200        1.08351     0.00312418   -0.000290158
-3.139  -2.964       5     0   200        1.08978     0.00779104   -0.000594531
-2.964  -2.853       5     0   200        1.08656      0.0137703   -0.000910803
-2.853   -2.65       5     0   200        1.08041      0.0235357    -0.00135553
-2.65    -2.5       5     0   200        1.02829      0.0361461    -0.00185369
-2.5  -2.322       5     0   200       0.942657      0.0424159    -0.00190335
-2.322  -2.172       5     0   200       0.968167      0.0304302    -0.00108024
-2.172  -2.043       5     0   200        1.02856      0.0141118   -0.000411806
-2.043   -1.93       5     0   200         1.0782    0.000699659    0.000104299
-1.93   -1.83       5     0   200        1.11837     -0.0102333    0.000491786
-1.83   -1.74       5     0   200        1.13572     -0.0168621    0.000719801
-1.74  -1.653       5     0   200        1.15744      -0.020953    0.000891534
-1.653  -1.566       5     0   200          1.143     -0.0196289    0.000854089
-1.566  -1.479       5     0   200        1.11307     -0.0151336     0.00069214
-1.479  -1.392       5     0   200        1.08435     -0.0102721    0.000534686
-1.392  -1.305       5     0   200        1.08725     -0.0102318    0.000612532
-1.305  -1.218       5     0   200        1.06543    -0.00499289    0.000468843
-1.218  -1.131       5     0   200        1.06185    -0.00292635    0.000453156
-1.131  -1.044       5     0   200        1.04559    0.000804826    0.000344333
-1.044  -0.957       5     0   200        1.04426     0.00138796    0.000351273
-0.957  -0.879       5     0   200          1.022     0.00409024    0.000247459
-0.879  -0.783       5     0   200        1.03305     0.00336415    0.000293312
-0.783  -0.696       5     0   200         1.0498      0.0012519    0.000399115
-0.696  -0.609       5     0   200        1.04613     0.00301099    0.000324365
-0.609  -0.522       5     0   200         1.0316     0.00637518    0.000193109
-0.522  -0.435       5     0   200        1.01616      0.0103553    3.71842e-05
-0.435  -0.348       5     0   200       0.993001      0.0161559   -0.000203313
-0.348  -0.261       5     0   200       0.972107       0.021149   -0.000417137
-0.261  -0.174       5     0   200       0.947376      0.0264459   -0.000660683
-0.174  -0.087       5     0   200       0.950014      0.0265887   -0.000700887
-0.087       0       5     0   200       0.954201      0.0261998   -0.000733264
0   0.087       5     0   200       0.969674      0.0230173   -0.000635832
0.087   0.174       5     0   200       0.996025      0.0175744   -0.000441743
0.174   0.261       5     0   200        1.01547       0.013142   -0.000293797
0.261   0.348       5     0   200        1.04674     0.00585118     1.2994e-05
0.348   0.435       5     0   200         1.0489     0.00351572    0.000110532
0.435   0.522       5     0   200        1.05483    0.000963896    0.000218396
0.522   0.609       5     0   200        1.03803     0.00247989    0.000155188
0.609   0.696       5     0   200        1.02607     0.00319131    0.000146312
0.696   0.783       5     0   200        1.01649     0.00372427    0.000146166
0.783   0.879       5     0   200        1.01233     0.00355017    0.000176611
0.879   0.957       5     0   200        1.03299    -0.00051025    0.000368158
0.957   1.044       5     0   200        1.07105    -0.00438191    0.000536882
1.044   1.131       5     0   200        1.09298     -0.0071328    0.000631533
1.131   1.218       5     0   200        1.10795        -0.0096    0.000701177
1.218   1.305       5     0   200        1.12652     -0.0135729    0.000820399
1.305   1.392       5     0   200        1.13575     -0.0160033     0.00086488
1.392   1.479       5     0   200        1.12568     -0.0144792    0.000733236
1.479   1.566       5     0   200        1.10824     -0.0111095    0.000527842
1.566   1.653       5     0   200        1.08414     -0.0060041    0.000255717
1.653    1.74       5     0   200        1.04697     0.00107924   -8.17013e-05
1.74    1.83       5     0   200        1.01222      0.0070841   -0.000358491
1.83    1.93       5     0   200        0.99634       0.014739   -0.000653238
1.93   2.043       5     0   200       0.965242      0.0264237    -0.00110237
2.043   2.172       5     0   200       0.950591      0.0367617    -0.00153098
2.172   2.322       5     0   200       0.961694      0.0399102    -0.00163785
2.322     2.5       5     0   200        1.09606      0.0268697    -0.00140684
2.5    2.65       5     0   200        1.16392      0.0241586    -0.00158004
2.65   2.853       5     0   200        1.14445      0.0187875    -0.00137306
2.853   2.964       5     0   200        1.10776      0.0130351    -0.00103514
2.964   3.139       5     0   200        1.07362      0.0110985   -0.000846707
3.139   3.314       5     0   200        1.01946      0.0110459   -0.000676047
3.314   3.489       5     0   200        1.02817     0.00600125   -0.000416447
3.489   3.664       5     0   200        1.03336     0.00714639    -0.00048261
3.664   3.839       5     0   200        1.02682     0.00922159   -0.000596644
3.839   4.013       5     0   200        1.02031      0.0101823   -0.000655076
4.013   4.191       5     0   200        1.04053     0.00727416   -0.000535783
4.191   4.363       5     0   200        1.07054     0.00141392    -0.00028892
4.363   4.538       5     0   200        1.09451    -0.00465357   -2.30497e-05
4.538   4.716       5     0   200        1.12209     -0.0102502    0.000226277
4.716   4.889       5     0   200        1.13021     -0.0125202    0.000323725
4.889   5.191       5     0   200        1.12087    -0.00992049    0.000225222
