{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.09189    -0.00711439     0.00014434
-4.889  -4.716       5     0   200        1.09697     -0.0065891    9.82978e-05
-4.716  -4.538       5     0   200        1.09945    -0.00542444    3.78663e-05
-4.538  -4.363       5     0   200        1.09123    -0.00417719   -6.94374e-06
-4.363  -4.191       5     0   200        1.08119    -0.00133035   -0.000112129
-4.191  -4.013       5     0   200        1.07944    0.000264166   -0.000158914
-4.013  -3.839       5     0   200        1.08819      -0.001089   -8.57796e-05
-3.839  -3.664       5     0   200        1.10167    -0.00188994   -4.92049e-05
-3.664  -3.489       5     0   200        1.10038    -0.00174712   -5.82301e-05
-3.489  -3.314       5     0   200        1.08046   -0.000253842   -0.000124242
-3.314  -3.139       5     0   200        1.08351     0.00312423    -0.00029016
-3.139  -2.964       5     0   200        1.08976     0.00779173   -0.000594562
-2.964  -2.853       5     0   200        1.08562      0.0139095   -0.000919805
-2.853   -2.65       5     0   200        1.09422      0.0211705    -0.00130562
-2.65    -2.5       5     0   200        1.06202      0.0293792    -0.00175365
-2.5  -2.322       5     0   200        1.00442       0.030951    -0.00181263
-2.322  -2.172       5     0   200        1.03708      0.0182544    -0.00120463
-2.172  -2.043       5     0   200        1.05094      0.0102711   -0.000864339
-2.043   -1.93       5     0   200        1.03985     0.00747933   -0.000713078
-1.93   -1.83       5     0   200        1.05205     0.00175926   -0.000438567
-1.83   -1.74       5     0   200        1.05872    -0.00213961   -0.000253745
-1.74  -1.653       5     0   200        1.07675    -0.00581861   -7.95307e-05
-1.653  -1.566       5     0   200        1.07095    -0.00545616   -6.93783e-05
-1.566  -1.479       5     0   200        1.05039    -0.00208196   -0.000190422
-1.479  -1.392       5     0   200         1.0329     0.00125977   -0.000312232
-1.392  -1.305       5     0   200        1.04083     0.00057782   -0.000257702
-1.305  -1.218       5     0   200        1.03447     0.00278886   -0.000333552
-1.218  -1.131       5     0   200        1.03641     0.00325785   -0.000336303
-1.131  -1.044       5     0   200        1.02457     0.00569593   -0.000428337
-1.044  -0.957       5     0   200        1.01854     0.00682151   -0.000472911
-0.957  -0.879       5     0   200       0.999154     0.00974618   -0.000612698
-0.879  -0.783       5     0   200        1.01073     0.00832517   -0.000566802
-0.783  -0.696       5     0   200        1.03432     0.00455591   -0.000408914
-0.696  -0.609       5     0   200        1.04973     0.00219204    -0.00030947
-0.609  -0.522       5     0   200        1.04859     0.00258262   -0.000325998
-0.522  -0.435       5     0   200        1.04042     0.00453597   -0.000415013
-0.435  -0.348       5     0   200        1.02723     0.00764346    -0.00056061
-0.348  -0.261       5     0   200        1.01316      0.0106573    -0.00069896
-0.261  -0.174       5     0   200       0.990123      0.0149126     -0.0008817
-0.174  -0.087       5     0   200       0.980446      0.0166779   -0.000954146
-0.087       0       5     0   200       0.962879      0.0199724    -0.00109958
0   0.087       5     0   200       0.952853      0.0217789     -0.0011765
0.087   0.174       5     0   200       0.954432      0.0215213    -0.00116293
0.174   0.261       5     0   200       0.967082      0.0191905    -0.00105581
0.261   0.348       5     0   200        0.98167      0.0161994   -0.000908257
0.348   0.435       5     0   200       0.985747      0.0148754   -0.000834202
0.435   0.522       5     0   200        1.00723      0.0104829   -0.000629094
0.522   0.609       5     0   200        1.01428     0.00853139   -0.000533582
0.609   0.696       5     0   200        1.01976      0.0067131   -0.000436815
0.696   0.783       5     0   200        1.02503     0.00463693   -0.000322003
0.783   0.879       5     0   200        1.02468      0.0035259   -0.000247249
0.879   0.957       5     0   200        1.03585    0.000797091   -0.000108799
0.957   1.044       5     0   200        1.05442    -0.00161304   -9.73984e-07
1.044   1.131       5     0   200        1.06144    -0.00275921    3.32354e-05
1.131   1.218       5     0   200         1.0675    -0.00395176    6.10085e-05
1.218   1.305       5     0   200        1.06644    -0.00406002    3.29727e-05
1.305   1.392       5     0   200        1.06838    -0.00472425    2.42992e-05
1.392   1.479       5     0   200        1.06347    -0.00380457   -6.49045e-05
1.479   1.566       5     0   200        1.06868    -0.00412075   -0.000106782
1.566   1.653       5     0   200        1.06189    -0.00215292   -0.000243801
1.653    1.74       5     0   200        1.03919     0.00236522   -0.000481679
1.74    1.83       5     0   200        1.02549      0.0049948   -0.000628215
1.83    1.93       5     0   200        1.02767     0.00694115   -0.000739163
1.93   2.043       5     0   200        1.01753      0.0108133   -0.000940494
2.043   2.172       5     0   200        1.00855       0.013831     -0.0011063
2.172   2.322       5     0   200       0.996378      0.0166723    -0.00119693
2.322     2.5       5     0   200        1.07388      0.0100272    -0.00095968
2.5    2.65       5     0   200        1.12932      0.0131128    -0.00117488
2.65   2.853       5     0   200         1.1198      0.0162114    -0.00126242
2.853   2.964       5     0   200        1.10061      0.0131583    -0.00103507
2.964   3.139       5     0   200        1.07362      0.0110975   -0.000846666
3.139   3.314       5     0   200        1.01946      0.0110459   -0.000676047
3.314   3.489       5     0   200        1.02817     0.00600125   -0.000416447
3.489   3.664       5     0   200        1.03336     0.00714639    -0.00048261
3.664   3.839       5     0   200        1.02682     0.00922159   -0.000596644
3.839   4.013       5     0   200        1.02031      0.0101823   -0.000655076
4.013   4.191       5     0   200        1.04053     0.00727416   -0.000535783
4.191   4.363       5     0   200        1.07054     0.00141392    -0.00028892
4.363   4.538       5     0   200        1.09451    -0.00465357   -2.30497e-05
4.538   4.716       5     0   200        1.12209     -0.0102502    0.000226277
4.716   4.889       5     0   200        1.13021     -0.0125202    0.000323725
4.889   5.191       5     0   200        1.12087    -0.00992049    0.000225222
