{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.923337      0.0214169    -0.00117277
-4.889  -4.716       5     0   200       0.956741      0.0196708    -0.00113532
-4.716  -4.538       5     0   200       0.986022      0.0181481    -0.00109591
-4.538  -4.363       5     0   200         1.0023       0.016108     -0.0010165
-4.363  -4.191       5     0   200        1.02567       0.013351   -0.000890959
-4.191  -4.013       5     0   200        1.04355      0.0115986   -0.000797734
-4.013  -3.839       5     0   200        1.04489      0.0113672   -0.000768899
-3.839  -3.664       5     0   200        1.04317      0.0129052   -0.000823252
-3.664  -3.489       5     0   200        1.02228      0.0161811   -0.000955758
-3.489  -3.314       5     0   200       0.992968      0.0193302    -0.00108942
-3.314  -3.139       5     0   200       0.990634      0.0248396    -0.00135637
-3.139  -2.964       5     0   200        1.01752      0.0279145    -0.00164532
-2.964  -2.853       5     0   200        1.02873      0.0325366    -0.00196407
-2.853   -2.65       5     0   200        1.06349      0.0363984    -0.00223354
-2.65    -2.5       5     0   200        1.09083      0.0359263    -0.00224441
-2.5  -2.322       5     0   200        1.06701      0.0311434     -0.0018376
-2.322  -2.172       5     0   200         1.0547      0.0268652    -0.00126239
-2.172  -2.043       5     0   200        1.08136      0.0186488   -0.000829112
-2.043   -1.93       5     0   200        1.04272        0.02143   -0.000896999
-1.93   -1.83       5     0   200        1.01632      0.0221385   -0.000902436
-1.83   -1.74       5     0   200       0.979962      0.0248904    -0.00101847
-1.74  -1.653       5     0   200       0.963727      0.0276893    -0.00113924
-1.653  -1.566       5     0   200       0.949965      0.0289499    -0.00119489
-1.566  -1.479       5     0   200       0.939249      0.0297346    -0.00121578
-1.479  -1.392       5     0   200       0.920865      0.0326088    -0.00132653
-1.392  -1.305       5     0   200       0.906843      0.0355651    -0.00144351
-1.305  -1.218       5     0   200        0.91482      0.0357472    -0.00146022
-1.218  -1.131       5     0   200        0.92725      0.0350197    -0.00143373
-1.131  -1.044       5     0   200       0.938367      0.0338128    -0.00138043
-1.044  -0.957       5     0   200       0.971842      0.0283933    -0.00115586
-0.957  -0.879       5     0   200       0.973313      0.0269435    -0.00110181
-0.879  -0.783       5     0   200       0.969668      0.0289205     -0.0011995
-0.783  -0.696       5     0   200        1.00868      0.0233092   -0.000983773
-0.696  -0.609       5     0   200        1.03002      0.0206273   -0.000881761
-0.609  -0.522       5     0   200        1.02476      0.0227346   -0.000985413
-0.522  -0.435       5     0   200        1.00455      0.0275983    -0.00120032
-0.435  -0.348       5     0   200        1.03024      0.0253851    -0.00112854
-0.348  -0.261       5     0   200        1.05048      0.0236669    -0.00107587
-0.261  -0.174       5     0   200        1.06114      0.0229636     -0.0010596
-0.174  -0.087       5     0   200        1.08278      0.0198846   -0.000944444
-0.087       0       5     0   200        1.09851       0.017358    -0.00084754
0   0.087       5     0   200         1.0938      0.0174992   -0.000848923
0.087   0.174       5     0   200        1.11437       0.012926   -0.000649207
0.174   0.261       5     0   200        1.13849     0.00729497   -0.000401651
0.261   0.348       5     0   200         1.1383     0.00546283   -0.000308794
0.348   0.435       5     0   200        1.09107      0.0110562   -0.000522754
0.435   0.522       5     0   200        1.06852      0.0127234   -0.000570115
0.522   0.609       5     0   200        1.04475      0.0148024   -0.000634466
0.609   0.696       5     0   200        1.02549      0.0167289   -0.000698659
0.696   0.783       5     0   200       0.991442       0.021263   -0.000868271
0.783   0.879       5     0   200       0.966735       0.024604    -0.00099279
0.879   0.957       5     0   200       0.973516       0.023259   -0.000926912
0.957   1.044       5     0   200       0.982185      0.0249177   -0.000996673
1.044   1.131       5     0   200       0.982466      0.0260845    -0.00105249
1.131   1.218       5     0   200        0.98875      0.0251358    -0.00101039
1.218   1.305       5     0   200       0.977448      0.0264369    -0.00106472
1.305   1.392       5     0   200       0.964314      0.0278042    -0.00111826
1.392   1.479       5     0   200       0.969565      0.0265287    -0.00106482
1.479   1.566       5     0   200       0.984776      0.0241449   -0.000972102
1.566   1.653       5     0   200       0.980826      0.0251756    -0.00101567
1.653    1.74       5     0   200        0.95962       0.028715    -0.00115958
1.74    1.83       5     0   200       0.954217      0.0291926     -0.0011905
1.83    1.93       5     0   200        0.99956      0.0261061    -0.00106938
1.93   2.043       5     0   200        1.04833      0.0237593    -0.00101405
2.043   2.172       5     0   200         1.0829      0.0254789    -0.00119737
2.172   2.322       5     0   200        1.07191      0.0306592    -0.00150904
2.322     2.5       5     0   200        1.17179      0.0245535    -0.00164323
2.5    2.65       5     0   200        1.19903      0.0305879    -0.00215598
2.65   2.853       5     0   200        1.11642      0.0346896    -0.00226797
2.853   2.964       5     0   200        1.03346      0.0350216    -0.00213168
2.964   3.139       5     0   200       0.968089      0.0369945    -0.00207652
3.139   3.314       5     0   200       0.894205      0.0376595    -0.00191152
3.314   3.489       5     0   200       0.905184      0.0310411    -0.00158958
3.489   3.664       5     0   200       0.932517      0.0283477     -0.0014916
3.664   3.839       5     0   200       0.954809      0.0251453     -0.0013661
3.839   4.013       5     0   200       0.971792      0.0217456    -0.00122333
4.013   4.191       5     0   200        1.00196      0.0171887    -0.00103331
4.191   4.363       5     0   200        1.02263      0.0129676   -0.000856511
4.363   4.538       5     0   200       0.998318      0.0155599   -0.000976973
4.538   4.716       5     0   200       0.952153      0.0233346    -0.00132972
4.716   4.889       5     0   200       0.891803      0.0331914    -0.00176894
4.889   5.191       5     0   200        0.76076      0.0585591    -0.00292285
