{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.923337      0.0214169    -0.00117277
-4.889  -4.716       5     0   200       0.956741      0.0196708    -0.00113532
-4.716  -4.538       5     0   200       0.986022      0.0181481    -0.00109591
-4.538  -4.363       5     0   200         1.0023       0.016108     -0.0010165
-4.363  -4.191       5     0   200        1.02567       0.013351   -0.000890959
-4.191  -4.013       5     0   200        1.04355      0.0115986   -0.000797734
-4.013  -3.839       5     0   200        1.04489      0.0113672   -0.000768899
-3.839  -3.664       5     0   200        1.04317      0.0129052   -0.000823252
-3.664  -3.489       5     0   200        1.02228      0.0161811   -0.000955758
-3.489  -3.314       5     0   200       0.992968      0.0193302    -0.00108942
-3.314  -3.139       5     0   200       0.990633      0.0248396    -0.00135637
-3.139  -2.964       5     0   200        1.01751      0.0279151    -0.00164534
-2.964  -2.853       5     0   200        1.02749      0.0326396    -0.00196739
-2.853   -2.65       5     0   200        1.06014      0.0363928    -0.00221513
-2.65    -2.5       5     0   200        1.08201      0.0340583    -0.00209328
-2.5  -2.322       5     0   200        1.03855      0.0306518    -0.00174432
-2.322  -2.172       5     0   200        1.00879      0.0277668    -0.00139154
-2.172  -2.043       5     0   200        1.00323       0.023785    -0.00117479
-2.043   -1.93       5     0   200        0.98472      0.0224494    -0.00107997
-1.93   -1.83       5     0   200       0.971023      0.0213171    -0.00100263
-1.83   -1.74       5     0   200       0.954349      0.0215348   -0.000992619
-1.74  -1.653       5     0   200        0.94669      0.0225215    -0.00101996
-1.653  -1.566       5     0   200       0.938032      0.0236002    -0.00105514
-1.566  -1.479       5     0   200       0.931862      0.0243608    -0.00107416
-1.479  -1.392       5     0   200       0.917236      0.0270647    -0.00118059
-1.392  -1.305       5     0   200        0.90365      0.0300294    -0.00130052
-1.305  -1.218       5     0   200       0.894674      0.0326213    -0.00141361
-1.218  -1.131       5     0   200       0.893342      0.0336418    -0.00145874
-1.131  -1.044       5     0   200       0.904171      0.0320387    -0.00139037
-1.044  -0.957       5     0   200       0.924103      0.0285906    -0.00125051
-0.957  -0.879       5     0   200       0.923354      0.0279825    -0.00123257
-0.879  -0.783       5     0   200       0.914644      0.0300277    -0.00132985
-0.783  -0.696       5     0   200       0.936993      0.0267719    -0.00120509
-0.696  -0.609       5     0   200       0.952489      0.0245866    -0.00111969
-0.609  -0.522       5     0   200       0.950484      0.0254977    -0.00116909
-0.522  -0.435       5     0   200       0.947674      0.0267327    -0.00123168
-0.435  -0.348       5     0   200       0.963821      0.0250526    -0.00117647
-0.348  -0.261       5     0   200          0.969      0.0248861    -0.00117922
-0.261  -0.174       5     0   200       0.968518       0.025268    -0.00120083
-0.174  -0.087       5     0   200       0.981778      0.0230296    -0.00111145
-0.087       0       5     0   200       0.981444      0.0230224    -0.00111657
0   0.087       5     0   200       0.967005      0.0251839     -0.0012091
0.087   0.174       5     0   200       0.978253      0.0229278    -0.00111506
0.174   0.261       5     0   200       0.983046      0.0217051    -0.00106246
0.261   0.348       5     0   200       0.976458       0.022156    -0.00107165
0.348   0.435       5     0   200       0.959075      0.0242545    -0.00115146
0.435   0.522       5     0   200       0.953053      0.0245307    -0.00115353
0.522   0.609       5     0   200       0.945459       0.024968     -0.0011585
0.609   0.696       5     0   200       0.937302      0.0256298    -0.00117595
0.696   0.783       5     0   200        0.92536      0.0265963    -0.00119784
0.783   0.879       5     0   200       0.909762      0.0283287    -0.00125708
0.879   0.957       5     0   200       0.902579      0.0289499    -0.00126819
0.957   1.044       5     0   200       0.896711      0.0309457    -0.00134449
1.044   1.131       5     0   200       0.879429       0.034059    -0.00147446
1.131   1.218       5     0   200       0.863805      0.0364111    -0.00156555
1.218   1.305       5     0   200       0.857502        0.03703    -0.00158961
1.305   1.392       5     0   200       0.854458      0.0370616    -0.00158771
1.392   1.479       5     0   200       0.858759      0.0362025     -0.0015522
1.479   1.566       5     0   200       0.881403      0.0326538    -0.00141209
1.566   1.653       5     0   200       0.897923      0.0301496    -0.00131614
1.653    1.74       5     0   200       0.905684      0.0289784    -0.00128126
1.74    1.83       5     0   200       0.920682      0.0265039    -0.00119693
1.83    1.93       5     0   200       0.953211      0.0232628    -0.00108605
1.93   2.043       5     0   200       0.977218      0.0213336    -0.00104612
2.043   2.172       5     0   200         0.9826      0.0222234    -0.00115293
2.172   2.322       5     0   200       0.966896      0.0255685    -0.00134661
2.322     2.5       5     0   200        1.04107      0.0219157    -0.00140124
2.5    2.65       5     0   200        1.11305      0.0256367    -0.00179805
2.65   2.853       5     0   200        1.08374      0.0327255    -0.00212803
2.853   2.964       5     0   200        1.02516      0.0352135    -0.00212975
2.964   3.139       5     0   200       0.968093      0.0369935    -0.00207648
3.139   3.314       5     0   200       0.894205      0.0376595    -0.00191152
3.314   3.489       5     0   200       0.905184      0.0310411    -0.00158958
3.489   3.664       5     0   200       0.932517      0.0283477     -0.0014916
3.664   3.839       5     0   200       0.954809      0.0251453     -0.0013661
3.839   4.013       5     0   200       0.971792      0.0217456    -0.00122333
4.013   4.191       5     0   200        1.00196      0.0171887    -0.00103331
4.191   4.363       5     0   200        1.02263      0.0129676   -0.000856511
4.363   4.538       5     0   200       0.998318      0.0155599   -0.000976973
4.538   4.716       5     0   200       0.952153      0.0233346    -0.00132972
4.716   4.889       5     0   200       0.891803      0.0331914    -0.00176894
4.889   5.191       5     0   200        0.76076      0.0585591    -0.00292285
