{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.05811     -0.0108697     0.00029152
-4.889  -4.716       5     0   200        1.04374     -0.0115706     0.00030645
-4.716  -4.538       5     0   200        1.03781     -0.0116322    0.000301805
-4.538  -4.363       5     0   200        1.03419     -0.0109421    0.000272818
-4.363  -4.191       5     0   200        1.04452      -0.010036    0.000237646
-4.191  -4.013       5     0   200        1.05668    -0.00902535    0.000200324
-4.013  -3.839       5     0   200        1.06207    -0.00788229    0.000157275
-3.839  -3.664       5     0   200        1.07543    -0.00693307    0.000119509
-3.664  -3.489       5     0   200        1.07987    -0.00594495     7.9297e-05
-3.489  -3.314       5     0   200        1.07368     -0.0049897    3.92581e-05
-3.314  -3.139       5     0   200        1.09684    -0.00577204    3.06223e-05
-3.139  -2.964       5     0   200        1.14524     -0.0100447    7.17211e-05
-2.964  -2.853       5     0   200        1.18785     -0.0126388    7.72783e-05
-2.853   -2.65       5     0   200        1.26479     -0.0164821    0.000114858
-2.65    -2.5       5     0   200        1.31912     -0.0198266    0.000155852
-2.5  -2.322       5     0   200         1.2905     -0.0175837    0.000128497
-2.322  -2.172       5     0   200        1.23519     -0.0134892    6.65221e-05
-2.172  -2.043       5     0   200        1.19318     -0.0124313    3.56684e-05
-2.043   -1.93       5     0   200        1.15032    -0.00994877   -3.68923e-05
-1.93   -1.83       5     0   200        1.12216    -0.00866389   -6.50609e-05
-1.83   -1.74       5     0   200        1.10324    -0.00812455   -6.95163e-05
-1.74  -1.653       5     0   200        1.09612    -0.00832099   -4.91754e-05
-1.653  -1.566       5     0   200        1.09134    -0.00883413   -6.36079e-06
-1.566  -1.479       5     0   200        1.08841    -0.00918479    3.66817e-05
-1.479  -1.392       5     0   200        1.08768    -0.00922011    6.93867e-05
-1.392  -1.305       5     0   200        1.08801    -0.00894501    8.79095e-05
-1.305  -1.218       5     0   200        1.09097    -0.00870159      0.0001022
-1.218  -1.131       5     0   200        1.09468    -0.00852294    0.000112561
-1.131  -1.044       5     0   200        1.09707    -0.00831431    0.000116215
-1.044  -0.957       5     0   200        1.09915    -0.00808236    0.000111154
-0.957  -0.879       5     0   200        1.10039    -0.00791652    9.93072e-05
-0.879  -0.783       5     0   200        1.10616    -0.00793547    8.73459e-05
-0.783  -0.696       5     0   200        1.11219    -0.00827606    9.17925e-05
-0.696  -0.609       5     0   200        1.11681    -0.00859577    0.000101815
-0.609  -0.522       5     0   200        1.12083    -0.00884448    0.000111805
-0.522  -0.435       5     0   200        1.12481      -0.009066    0.000121702
-0.435  -0.348       5     0   200        1.13018    -0.00942884    0.000136627
-0.348  -0.261       5     0   200         1.1351    -0.00980178    0.000153596
-0.261  -0.174       5     0   200        1.13718    -0.00991873    0.000163448
-0.174  -0.087       5     0   200        1.13651    -0.00975306    0.000165612
-0.087       0       5     0   200         1.1352    -0.00952852    0.000167351
0   0.087       5     0   200        1.13427    -0.00941425    0.000172711
0.087   0.174       5     0   200        1.13246    -0.00922961    0.000175084
0.174   0.261       5     0   200        1.12999     -0.0089543    0.000174489
0.261   0.348       5     0   200        1.12511    -0.00844027    0.000164282
0.348   0.435       5     0   200        1.11913     -0.0078743    0.000149293
0.435   0.522       5     0   200        1.11485    -0.00758242    0.000140735
0.522   0.609       5     0   200        1.11188    -0.00757951    0.000139105
0.609   0.696       5     0   200        1.10809    -0.00751302    0.000135356
0.696   0.783       5     0   200        1.10198    -0.00722912    0.000126929
0.783   0.879       5     0   200        1.09261    -0.00672056    0.000116783
0.879   0.957       5     0   200        1.08286    -0.00634003    0.000115994
0.957   1.044       5     0   200        1.07578    -0.00586357    0.000105803
1.044   1.131       5     0   200        1.06843    -0.00553918    8.92701e-05
1.131   1.218       5     0   200        1.06274    -0.00532351    6.72881e-05
1.218   1.305       5     0   200        1.05812    -0.00518749    4.15413e-05
1.305   1.392       5     0   200        1.05625    -0.00533101    1.87237e-05
1.392   1.479       5     0   200        1.05876      -0.005876   -2.30379e-07
1.479   1.566       5     0   200        1.06566    -0.00652904   -2.03238e-05
1.566   1.653       5     0   200        1.07416    -0.00688622   -5.12242e-05
1.653    1.74       5     0   200        1.08303    -0.00703485   -8.65496e-05
1.74    1.83       5     0   200        1.09242    -0.00733406   -0.000106665
1.83    1.93       5     0   200         1.1082    -0.00785397   -0.000112369
1.93   2.043       5     0   200        1.12516    -0.00875021   -0.000105038
2.043   2.172       5     0   200        1.14455     -0.0103628   -6.79547e-05
2.172   2.322       5     0   200        1.15207    -0.00985686   -7.59088e-05
2.322     2.5       5     0   200        1.21902     -0.0158608    7.86601e-05
2.5    2.65       5     0   200         1.2927     -0.0217376    0.000213429
2.65   2.853       5     0   200        1.28161     -0.0214986    0.000250622
2.853   2.964       5     0   200        1.22954     -0.0186819    0.000242589
2.964   3.139       5     0   200        1.18024     -0.0153385    0.000214431
3.139   3.314       5     0   200        1.10205    -0.00863518    0.000107144
3.314   3.489       5     0   200        1.07551    -0.00734287    0.000113898
3.489   3.664       5     0   200        1.07411    -0.00753567    0.000123614
3.664   3.839       5     0   200        1.06826    -0.00824037    0.000150997
3.839   4.013       5     0   200        1.06049    -0.00925538    0.000191028
4.013   4.191       5     0   200        1.06116     -0.0104413    0.000235573
4.191   4.363       5     0   200        1.05614     -0.0115803     0.00027639
4.363   4.538       5     0   200        1.04316     -0.0122435    0.000301213
4.538   4.716       5     0   200        1.03468     -0.0124642    0.000309735
4.716   4.889       5     0   200        1.02549      -0.012453    0.000309835
4.889   5.191       5     0   200         1.0265     -0.0124163    0.000316133
