{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.05811     -0.0108697     0.00029152
-4.889  -4.716       5     0   200        1.04374     -0.0115706     0.00030645
-4.716  -4.538       5     0   200        1.03781     -0.0116322    0.000301805
-4.538  -4.363       5     0   200        1.03419     -0.0109421    0.000272818
-4.363  -4.191       5     0   200        1.04452      -0.010036    0.000237646
-4.191  -4.013       5     0   200        1.05668    -0.00902535    0.000200324
-4.013  -3.839       5     0   200        1.06207    -0.00788229    0.000157275
-3.839  -3.664       5     0   200        1.07543    -0.00693307    0.000119509
-3.664  -3.489       5     0   200        1.07987    -0.00594495     7.9297e-05
-3.489  -3.314       5     0   200        1.07368     -0.0049897    3.92581e-05
-3.314  -3.139       5     0   200        1.09684    -0.00577202    3.06218e-05
-3.139  -2.964       5     0   200        1.14523     -0.0100449    7.17296e-05
-2.964  -2.853       5     0   200         1.1867      -0.012465     7.3041e-05
-2.853   -2.65       5     0   200        1.24535     -0.0136169    4.12396e-05
-2.65    -2.5       5     0   200        1.27213      -0.011367   -4.77791e-05
-2.5  -2.322       5     0   200        1.21985    -0.00257367   -0.000171409
-2.322  -2.172       5     0   200         1.1548     0.00516201   -0.000122913
-2.172  -2.043       5     0   200        1.14705    -0.00054135     0.00013788
-2.043   -1.93       5     0   200        1.14233    -0.00518529    0.000284755
-1.93   -1.83       5     0   200        1.13929    -0.00915041    0.000382522
-1.83   -1.74       5     0   200        1.12705     -0.0109884    0.000414703
-1.74  -1.653       5     0   200        1.11164     -0.0108005     0.00040172
-1.653  -1.566       5     0   200        1.09153     -0.0101475    0.000390916
-1.566  -1.479       5     0   200        1.07425    -0.00915337    0.000384358
-1.479  -1.392       5     0   200        1.05983    -0.00742383    0.000369008
-1.392  -1.305       5     0   200        1.04413    -0.00464122    0.000330576
-1.305  -1.218       5     0   200         1.0335    -0.00182919    0.000294687
-1.218  -1.131       5     0   200        1.02787    0.000582517    0.000265753
-1.131  -1.044       5     0   200        1.02791      0.0019752     0.00025712
-1.044  -0.957       5     0   200        1.03355     0.00244243    0.000269089
-0.957  -0.879       5     0   200        1.03836      0.0026338    0.000276401
-0.879  -0.783       5     0   200        1.04889     0.00312611    0.000268374
-0.783  -0.696       5     0   200        1.05608     0.00343568    0.000264823
-0.696  -0.609       5     0   200        1.06351     0.00338625    0.000273605
-0.609  -0.522       5     0   200          1.072     0.00337101    0.000282242
-0.522  -0.435       5     0   200        1.07608     0.00405999    0.000270926
-0.435  -0.348       5     0   200        1.07969     0.00504486    0.000247405
-0.348  -0.261       5     0   200         1.0853     0.00553528    0.000232979
-0.261  -0.174       5     0   200        1.09348     0.00511146    0.000240333
-0.174  -0.087       5     0   200        1.10317     0.00389064    0.000269026
-0.087       0       5     0   200        1.11372     0.00207702    0.000318145
0   0.087       5     0   200        1.12414   -0.000225432    0.000383202
0.087   0.174       5     0   200        1.13228    -0.00267758    0.000453559
0.174   0.261       5     0   200        1.13671    -0.00480608    0.000517305
0.261   0.348       5     0   200        1.13617     -0.0063998    0.000566324
0.348   0.435       5     0   200         1.1294    -0.00712642    0.000586639
0.435   0.522       5     0   200        1.12115    -0.00730357    0.000587935
0.522   0.609       5     0   200        1.11339    -0.00730604    0.000581395
0.609   0.696       5     0   200        1.10438    -0.00690488    0.000561882
0.696   0.783       5     0   200        1.09263    -0.00587533     0.00052464
0.783   0.879       5     0   200        1.07542    -0.00431866    0.000475906
0.879   0.957       5     0   200        1.05607    -0.00286151    0.000430386
0.957   1.044       5     0   200        1.04548    -0.00142522    0.000373617
1.044   1.131       5     0   200        1.03527   -0.000266907    0.000308152
1.131   1.218       5     0   200        1.02887     0.00014637    0.000258878
1.218   1.305       5     0   200        1.02418   -8.15595e-06    0.000219902
1.305   1.392       5     0   200        1.02388   -0.000878657    0.000204192
1.392   1.479       5     0   200        1.02875    -0.00225477    0.000207442
1.479   1.566       5     0   200        1.03985    -0.00378569      0.0002194
1.566   1.653       5     0   200        1.05456    -0.00477577    0.000221697
1.653    1.74       5     0   200        1.06943    -0.00516666    0.000218054
1.74    1.83       5     0   200        1.08308    -0.00543389    0.000229077
1.83    1.93       5     0   200        1.10124    -0.00379185    0.000195524
1.93   2.043       5     0   200        1.12068   -0.000474452    0.000100588
2.043   2.172       5     0   200        1.15685     0.00240311   -2.43906e-05
2.172   2.322       5     0   200        1.17867     0.00636214   -0.000235602
2.322     2.5       5     0   200        1.29768    -0.00742861   -6.71895e-05
2.5    2.65       5     0   200        1.37037     -0.0193623    0.000140117
2.65   2.853       5     0   200        1.31826     -0.0216306    0.000244457
2.853   2.964       5     0   200        1.23746     -0.0189999    0.000249231
2.964   3.139       5     0   200        1.18024     -0.0153387    0.000214438
3.139   3.314       5     0   200        1.10205    -0.00863518    0.000107144
3.314   3.489       5     0   200        1.07551    -0.00734287    0.000113898
3.489   3.664       5     0   200        1.07411    -0.00753567    0.000123614
3.664   3.839       5     0   200        1.06826    -0.00824037    0.000150997
3.839   4.013       5     0   200        1.06049    -0.00925538    0.000191028
4.013   4.191       5     0   200        1.06116     -0.0104413    0.000235573
4.191   4.363       5     0   200        1.05614     -0.0115803     0.00027639
4.363   4.538       5     0   200        1.04316     -0.0122435    0.000301213
4.538   4.716       5     0   200        1.03468     -0.0124642    0.000309735
4.716   4.889       5     0   200        1.02549      -0.012453    0.000309835
4.889   5.191       5     0   200         1.0265     -0.0124163    0.000316133
