{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.775248      0.0288313    -0.00134014
-4.889  -4.716       5     0   200       0.745134      0.0311109    -0.00138929
-4.716  -4.538       5     0   200       0.727068      0.0333118    -0.00144553
-4.538  -4.363       5     0   200       0.718597      0.0346581    -0.00148286
-4.363  -4.191       5     0   200       0.729556      0.0354889    -0.00150734
-4.191  -4.013       5     0   200       0.747162      0.0366024    -0.00154407
-4.013  -3.839       5     0   200       0.771844      0.0379052    -0.00159347
-3.839  -3.664       5     0   200       0.809356      0.0399458     -0.0016762
-3.664  -3.489       5     0   200       0.840268      0.0425987    -0.00178678
-3.489  -3.314       5     0   200       0.873671      0.0450955    -0.00189699
-3.314  -3.139       5     0   200       0.908375      0.0473674    -0.00195474
-3.139  -2.964       5     0   200       0.868043      0.0456062    -0.00183162
-2.964  -2.853       5     0   200       0.830467      0.0434416     -0.0017055
-2.853   -2.65       5     0   200       0.776673      0.0417116    -0.00159377
-2.65    -2.5       5     0   200       0.700007      0.0398481    -0.00147071
-2.5  -2.322       5     0   200       0.673047      0.0375468    -0.00138148
-2.322  -2.172       5     0   200       0.676367      0.0376204    -0.00137444
-2.172  -2.043       5     0   200       0.683232      0.0366671     -0.0013284
-2.043   -1.93       5     0   200       0.711351       0.033498    -0.00123601
-1.93   -1.83       5     0   200       0.740832      0.0303372    -0.00119561
-1.83   -1.74       5     0   200       0.769116       0.027219     -0.0011643
-1.74  -1.653       5     0   200       0.789442      0.0267254    -0.00118919
-1.653  -1.566       5     0   200       0.808104      0.0252374    -0.00114713
-1.566  -1.479       5     0   200       0.820041      0.0244063    -0.00110912
-1.479  -1.392       5     0   200       0.825615      0.0247569    -0.00110142
-1.392  -1.305       5     0   200       0.820423      0.0268364    -0.00114448
-1.305  -1.218       5     0   200       0.818279       0.028715    -0.00117602
-1.218  -1.131       5     0   200       0.822951      0.0289978    -0.00113607
-1.131  -1.044       5     0   200       0.829155      0.0289339    -0.00109185
-1.044  -0.957       5     0   200       0.832396      0.0290991    -0.00106436
-0.957  -0.879       5     0   200       0.838921      0.0281376    -0.00101472
-0.879  -0.783       5     0   200       0.846035       0.028932    -0.00104282
-0.783  -0.696       5     0   200       0.848771      0.0299846    -0.00109155
-0.696  -0.609       5     0   200       0.846629      0.0316218     -0.0011677
-0.609  -0.522       5     0   200        0.85236      0.0324445     -0.0012147
-0.522  -0.435       5     0   200       0.854248      0.0339873     -0.0012908
-0.435  -0.348       5     0   200       0.852445      0.0368925    -0.00143045
-0.348  -0.261       5     0   200       0.851597      0.0389062    -0.00152895
-0.261  -0.174       5     0   200        0.85289      0.0400956    -0.00159914
-0.174  -0.087       5     0   200       0.857468      0.0397571    -0.00160285
-0.087       0       5     0   200       0.862198       0.038649    -0.00157304
0   0.087       5     0   200       0.872218      0.0362658    -0.00148858
0.087   0.174       5     0   200       0.877392      0.0344151    -0.00142598
0.174   0.261       5     0   200        0.87321      0.0336693    -0.00140353
0.261   0.348       5     0   200       0.862891      0.0337987    -0.00141121
0.348   0.435       5     0   200       0.852803      0.0333453    -0.00138556
0.435   0.522       5     0   200       0.843494      0.0335055    -0.00138514
0.522   0.609       5     0   200       0.840552      0.0324319     -0.0013304
0.609   0.696       5     0   200        0.83174      0.0325462    -0.00132544
0.696   0.783       5     0   200       0.821971        0.03291    -0.00133278
0.783   0.879       5     0   200       0.807427       0.033972    -0.00136843
0.879   0.957       5     0   200       0.810186      0.0332617    -0.00136461
0.957   1.044       5     0   200        0.81948      0.0330895     -0.0013786
1.044   1.131       5     0   200       0.831585       0.031617    -0.00135521
1.131   1.218       5     0   200       0.842628       0.029547     -0.0013013
1.218   1.305       5     0   200       0.843181      0.0287863    -0.00130109
1.305   1.392       5     0   200       0.837841      0.0291487    -0.00134856
1.392   1.479       5     0   200       0.836404      0.0287902    -0.00136178
1.479   1.566       5     0   200       0.828791      0.0289481    -0.00137701
1.566   1.653       5     0   200       0.817998      0.0290587    -0.00136468
1.653    1.74       5     0   200       0.797053      0.0294514    -0.00132764
1.74    1.83       5     0   200       0.772938      0.0300183    -0.00130609
1.83    1.93       5     0   200        0.74883      0.0328492     -0.0013354
1.93   2.043       5     0   200        0.72216       0.035451    -0.00136045
2.043   2.172       5     0   200       0.694532      0.0352888    -0.00129286
2.172   2.322       5     0   200       0.664263      0.0347118    -0.00123351
2.322     2.5       5     0   200       0.647265      0.0367525    -0.00130708
2.5    2.65       5     0   200       0.669011      0.0385348    -0.00136769
2.65   2.853       5     0   200       0.736463      0.0412209     -0.0015329
2.853   2.964       5     0   200       0.804836      0.0431479    -0.00168476
2.964   3.139       5     0   200       0.856586      0.0437626    -0.00175839
3.139   3.314       5     0   200       0.894051      0.0444311    -0.00182348
3.314   3.489       5     0   200       0.876696      0.0422475    -0.00177114
3.489   3.664       5     0   200       0.844259      0.0395965    -0.00166394
3.664   3.839       5     0   200       0.808866      0.0380779    -0.00160844
3.839   4.013       5     0   200       0.771542      0.0369268    -0.00156995
4.013   4.191       5     0   200       0.749762      0.0358863    -0.00153516
4.191   4.363       5     0   200       0.735948       0.035005    -0.00151032
4.363   4.538       5     0   200       0.725809      0.0338745    -0.00147696
4.538   4.716       5     0   200       0.733122      0.0321506     -0.0014276
4.716   4.889       5     0   200       0.753628      0.0296558    -0.00136308
4.889   5.191       5     0   200       0.788606      0.0272532    -0.00131691
