{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.947998   -0.000803609   -8.92806e-05
-4.889  -4.716       5     0   200       0.938778    0.000108775   -0.000110313
-4.716  -4.538       5     0   200        0.93499     0.00134728   -0.000143944
-4.538  -4.363       5     0   200       0.932749     0.00213348   -0.000163433
-4.363  -4.191       5     0   200        0.94683     0.00254861   -0.000172269
-4.191  -4.013       5     0   200       0.970811     0.00274891   -0.000174349
-4.013  -3.839       5     0   200        1.00442     0.00266858   -0.000168613
-3.839  -3.664       5     0   200        1.05214      0.0030723   -0.000180963
-3.664  -3.489       5     0   200        1.09294     0.00406513   -0.000217156
-3.489  -3.314       5     0   200        1.13816     0.00461517   -0.000243569
-3.314  -3.139       5     0   200         1.1759     0.00673305   -0.000303979
-3.139  -2.964       5     0   200        1.11738     0.00917676   -0.000392093
-2.964  -2.853       5     0   200        1.06282      0.0100635    -0.00041174
-2.853   -2.65       5     0   200       0.981984      0.0119361   -0.000443004
-2.65    -2.5       5     0   200       0.874418      0.0134687   -0.000432977
-2.5  -2.322       5     0   200       0.833676      0.0108463   -0.000282342
-2.322  -2.172       5     0   200       0.825496     0.00986948   -0.000170001
-2.172  -2.043       5     0   200        0.82653     0.00947993   -0.000129456
-2.043   -1.93       5     0   200       0.854324      0.0057637    1.76887e-06
-1.93   -1.83       5     0   200       0.889276     0.00110261    0.000120843
-1.83   -1.74       5     0   200       0.923776    -0.00334609    0.000218574
-1.74  -1.653       5     0   200       0.961848    -0.00674657    0.000311587
-1.653  -1.566       5     0   200       0.989202    -0.00936972    0.000391722
-1.566  -1.479       5     0   200        1.00966      -0.011281    0.000462779
-1.479  -1.392       5     0   200        1.02273     -0.0118085    0.000496349
-1.392  -1.305       5     0   200        1.03066     -0.0114095    0.000508097
-1.305  -1.218       5     0   200        1.03537     -0.0100613    0.000484753
-1.218  -1.131       5     0   200        1.03591    -0.00826152    0.000442743
-1.131  -1.044       5     0   200        1.03376    -0.00638637      0.0003971
-1.044  -0.957       5     0   200        1.02771    -0.00443341    0.000350507
-0.957  -0.879       5     0   200        1.02224    -0.00329254    0.000319387
-0.879  -0.783       5     0   200        1.03071    -0.00274594    0.000307465
-0.783  -0.696       5     0   200        1.03598    -0.00217282    0.000287055
-0.696  -0.609       5     0   200        1.04357    -0.00228655    0.000288655
-0.609  -0.522       5     0   200        1.05576    -0.00259944    0.000292251
-0.522  -0.435       5     0   200        1.06858    -0.00283189    0.000291189
-0.435  -0.348       5     0   200        1.08794    -0.00355767    0.000304525
-0.348  -0.261       5     0   200        1.09758    -0.00330935    0.000280796
-0.261  -0.174       5     0   200        1.10581    -0.00335392    0.000263822
-0.174  -0.087       5     0   200        1.10612    -0.00300584    0.000235589
-0.087       0       5     0   200         1.0972    -0.00197224    0.000187283
0   0.087       5     0   200        1.09046    -0.00168626    0.000169631
0.087   0.174       5     0   200        1.08052    -0.00129971    0.000152008
0.174   0.261       5     0   200          1.065   -0.000629628    0.000132005
0.261   0.348       5     0   200        1.05401   -0.000841925    0.000148979
0.348   0.435       5     0   200        1.04226    -0.00119876    0.000173967
0.435   0.522       5     0   200        1.04133    -0.00252632    0.000232934
0.522   0.609       5     0   200        1.03996    -0.00374673    0.000286445
0.609   0.696       5     0   200        1.04129    -0.00523827    0.000349056
0.696   0.783       5     0   200        1.04305    -0.00671357    0.000407671
0.783   0.879       5     0   200        1.03518    -0.00678911    0.000414825
0.879   0.957       5     0   200         1.0498    -0.00924513    0.000479464
0.957   1.044       5     0   200        1.06656     -0.0104883    0.000501569
1.044   1.131       5     0   200        1.07327     -0.0110603     0.00048839
1.131   1.218       5     0   200        1.07383     -0.0114092    0.000470734
1.218   1.305       5     0   200        1.06896     -0.0116218    0.000453263
1.305   1.392       5     0   200        1.06325     -0.0118801    0.000442992
1.392   1.479       5     0   200        1.05695     -0.0121215    0.000435955
1.479   1.566       5     0   200        1.04168     -0.0113733    0.000405904
1.566   1.653       5     0   200        1.01728    -0.00965096    0.000359094
1.653    1.74       5     0   200       0.975579    -0.00639184    0.000282755
1.74    1.83       5     0   200       0.944757    -0.00500504    0.000266541
1.83    1.93       5     0   200       0.926445    -0.00297385    0.000255206
1.93   2.043       5     0   200       0.900998    6.31596e-05    0.000194174
2.043   2.172       5     0   200       0.853438      0.0045327    4.74558e-05
2.172   2.322       5     0   200       0.819722     0.00595035   -1.01477e-05
2.322     2.5       5     0   200       0.815339     0.00907806   -0.000186181
2.5    2.65       5     0   200       0.848713      0.0120764    -0.00035536
2.65   2.853       5     0   200       0.945177       0.011725   -0.000420213
2.853   2.964       5     0   200         1.0412     0.00964811   -0.000405182
2.964   3.139       5     0   200        1.10219     0.00848114    -0.00038659
3.139   3.314       5     0   200          1.152       0.006112   -0.000298765
3.314   3.489       5     0   200        1.12996     0.00399947   -0.000232305
3.489   3.664       5     0   200        1.08764     0.00286551   -0.000188354
3.664   3.839       5     0   200        1.04649     0.00206668   -0.000160142
3.839   4.013       5     0   200        1.00139      0.0018675   -0.000154974
4.013   4.191       5     0   200       0.971256     0.00197971   -0.000162164
4.191   4.363       5     0   200       0.953484     0.00163751   -0.000156972
4.363   4.538       5     0   200       0.937938     0.00133284   -0.000155003
4.538   4.716       5     0   200       0.935488    0.000725989   -0.000143737
4.716   4.889       5     0   200        0.93921   -0.000444523   -0.000113388
4.889   5.191       5     0   200       0.951904    -0.00145539   -8.91004e-05
