{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.907906     0.00421228   -0.000213037
-4.889  -4.716       5     0   200       0.883133     0.00402473   -0.000199353
-4.716  -4.538       5     0   200        0.87311      0.0038325   -0.000187935
-4.538  -4.363       5     0   200       0.870436     0.00394275   -0.000188589
-4.363  -4.191       5     0   200       0.891703     0.00395263   -0.000188358
-4.191  -4.013       5     0   200       0.926435     0.00407748   -0.000190639
-4.013  -3.839       5     0   200       0.980147     0.00385677   -0.000184354
-3.839  -3.664       5     0   200        1.06231     0.00349656   -0.000176943
-3.664  -3.489       5     0   200        1.13924     0.00406069   -0.000200491
-3.489  -3.314       5     0   200        1.21739     0.00483749   -0.000239069
-3.314  -3.139       5     0   200         1.2458      0.0069359   -0.000289114
-3.139  -2.964       5     0   200        1.11796     0.00898001   -0.000302932
-2.964  -2.853       5     0   200        1.01065     0.00995937   -0.000300126
-2.853   -2.65       5     0   200       0.908331      0.0111944   -0.000314842
-2.65    -2.5       5     0   200       0.824993      0.0123644   -0.000350325
-2.5  -2.322       5     0   200       0.832741      0.0122271   -0.000379197
-2.322  -2.172       5     0   200       0.875484      0.0108712   -0.000362324
-2.172  -2.043       5     0   200       0.903656     0.00903442   -0.000310384
-2.043   -1.93       5     0   200       0.924163     0.00777121   -0.000277081
-1.93   -1.83       5     0   200       0.939989     0.00662816   -0.000247447
-1.83   -1.74       5     0   200       0.954687     0.00530713   -0.000212992
-1.74  -1.653       5     0   200       0.972148     0.00412888   -0.000180243
-1.653  -1.566       5     0   200       0.982728     0.00346017   -0.000161858
-1.566  -1.479       5     0   200       0.986331     0.00370783   -0.000168947
-1.479  -1.392       5     0   200       0.990973     0.00400407   -0.000175822
-1.392  -1.305       5     0   200       0.998243     0.00398034   -0.000171531
-1.305  -1.218       5     0   200        1.01069     0.00341083     -0.0001512
-1.218  -1.131       5     0   200        1.01714     0.00382793   -0.000162676
-1.131  -1.044       5     0   200        1.02657     0.00392163   -0.000164438
-1.044  -0.957       5     0   200        1.03065     0.00467815    -0.00018811
-0.957  -0.879       5     0   200         1.0354     0.00500517   -0.000202626
-0.879  -0.783       5     0   200        1.04694     0.00499576    -0.00020734
-0.783  -0.696       5     0   200        1.06032     0.00449454   -0.000198687
-0.696  -0.609       5     0   200        1.07019     0.00407024    -0.00018986
-0.609  -0.522       5     0   200        1.08016     0.00373652   -0.000185775
-0.522  -0.435       5     0   200        1.08647     0.00376339   -0.000191834
-0.435  -0.348       5     0   200        1.09167     0.00376136   -0.000197235
-0.348  -0.261       5     0   200        1.09117     0.00426125   -0.000217737
-0.261  -0.174       5     0   200        1.09401     0.00400662   -0.000211669
-0.174  -0.087       5     0   200        1.09194     0.00413213    -0.00021492
-0.087       0       5     0   200        1.09244      0.0038174   -0.000204273
0   0.087       5     0   200        1.09066     0.00360125   -0.000195262
0.087   0.174       5     0   200        1.08832     0.00356511   -0.000192381
0.174   0.261       5     0   200        1.08338     0.00366371   -0.000190752
0.261   0.348       5     0   200        1.08074      0.0034684   -0.000179948
0.348   0.435       5     0   200        1.07829     0.00323775   -0.000167636
0.435   0.522       5     0   200        1.07197     0.00354031    -0.00017356
0.522   0.609       5     0   200        1.06108     0.00437799   -0.000196517
0.609   0.696       5     0   200        1.05187     0.00495461   -0.000212253
0.696   0.783       5     0   200        1.03939     0.00580478   -0.000235124
0.783   0.879       5     0   200        1.02432     0.00658994   -0.000254374
0.879   0.957       5     0   200         1.0085     0.00681574   -0.000255976
0.957   1.044       5     0   200        1.00184     0.00709087   -0.000262738
1.044   1.131       5     0   200       0.990307     0.00757635   -0.000277386
1.131   1.218       5     0   200       0.978478     0.00802379   -0.000289894
1.218   1.305       5     0   200       0.975034      0.0074512    -0.00027122
1.305   1.392       5     0   200       0.973331     0.00697709   -0.000256577
1.392   1.479       5     0   200       0.973166     0.00641742   -0.000238796
1.479   1.566       5     0   200       0.977077     0.00541626   -0.000206771
1.566   1.653       5     0   200       0.981299     0.00447029   -0.000175069
1.653    1.74       5     0   200       0.979971     0.00394961   -0.000153031
1.74    1.83       5     0   200       0.969328      0.0036483    -0.00013447
1.83    1.93       5     0   200       0.960766     0.00385124   -0.000131088
1.93   2.043       5     0   200       0.940504     0.00503032   -0.000157105
2.043   2.172       5     0   200       0.908312     0.00692086   -0.000202707
2.172   2.322       5     0   200       0.861125     0.00985371   -0.000282409
2.322     2.5       5     0   200       0.798912      0.0126346    -0.00034807
2.5    2.65       5     0   200       0.771096      0.0143469   -0.000377507
2.65   2.853       5     0   200       0.826066      0.0158635   -0.000436179
2.853   2.964       5     0   200       0.928717      0.0150534   -0.000447233
2.964   3.139       5     0   200        1.03793      0.0140559   -0.000456806
3.139   3.314       5     0   200         1.1636      0.0124171    -0.00046097
3.314   3.489       5     0   200         1.1514     0.00950049    -0.00039263
3.489   3.664       5     0   200         1.0828     0.00802971   -0.000333861
3.664   3.839       5     0   200        1.02153     0.00630176   -0.000273051
3.839   4.013       5     0   200       0.966268     0.00455388   -0.000213649
4.013   4.191       5     0   200       0.928871     0.00352568   -0.000180431
4.191   4.363       5     0   200       0.900951     0.00331832   -0.000177197
4.363   4.538       5     0   200       0.876101     0.00356797   -0.000187985
4.538   4.716       5     0   200       0.871542     0.00347775   -0.000188845
4.716   4.889       5     0   200       0.883753     0.00280784   -0.000171998
4.889   5.191       5     0   200       0.913281     0.00152458   -0.000135355
