{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.907906     0.00421228   -0.000213037
-4.889  -4.716       5     0   200       0.883133     0.00402473   -0.000199353
-4.716  -4.538       5     0   200        0.87311      0.0038325   -0.000187935
-4.538  -4.363       5     0   200       0.870436     0.00394275   -0.000188589
-4.363  -4.191       5     0   200       0.891703     0.00395263   -0.000188358
-4.191  -4.013       5     0   200       0.926435     0.00407748   -0.000190639
-4.013  -3.839       5     0   200       0.980147     0.00385677   -0.000184354
-3.839  -3.664       5     0   200        1.06231     0.00349656   -0.000176943
-3.664  -3.489       5     0   200        1.13924     0.00406069   -0.000200491
-3.489  -3.314       5     0   200        1.21739     0.00483749   -0.000239069
-3.314  -3.139       5     0   200         1.2458      0.0069359   -0.000289114
-3.139  -2.964       5     0   200        1.11796     0.00898001   -0.000302932
-2.964  -2.853       5     0   200        1.01065     0.00995942   -0.000300129
-2.853   -2.65       5     0   200       0.909586      0.0112106   -0.000309162
-2.65    -2.5       5     0   200       0.824876      0.0115813   -0.000298954
-2.5  -2.322       5     0   200       0.840655     0.00911385   -0.000226669
-2.322  -2.172       5     0   200       0.916831     0.00372979   -4.20553e-05
-2.172  -2.043       5     0   200       0.985515    -0.00301185    0.000200768
-2.043   -1.93       5     0   200        1.04012     -0.0080944    0.000364651
-1.93   -1.83       5     0   200        1.06562    -0.00987948    0.000398299
-1.83   -1.74       5     0   200        1.07884     -0.0106883     0.00039048
-1.74  -1.653       5     0   200        1.09134     -0.0103078    0.000356177
-1.653  -1.566       5     0   200        1.09509    -0.00979515    0.000321294
-1.566  -1.479       5     0   200        1.09352    -0.00872677    0.000275839
-1.479  -1.392       5     0   200        1.09761    -0.00821373    0.000252489
-1.392  -1.305       5     0   200        1.10509    -0.00816807    0.000248413
-1.305  -1.218       5     0   200        1.12099    -0.00907053    0.000274939
-1.218  -1.131       5     0   200        1.13465    -0.00943683    0.000285788
-1.131  -1.044       5     0   200        1.14667    -0.00945023    0.000286571
-1.044  -0.957       5     0   200         1.1571    -0.00925191    0.000280642
-0.957  -0.879       5     0   200        1.16803    -0.00971851     0.00028865
-0.879  -0.783       5     0   200        1.18694     -0.0098543    0.000287143
-0.783  -0.696       5     0   200        1.20604     -0.0104685    0.000298027
-0.696  -0.609       5     0   200        1.21947     -0.0108681    0.000305782
-0.609  -0.522       5     0   200        1.23774     -0.0114643    0.000314967
-0.522  -0.435       5     0   200        1.25561     -0.0119432    0.000321608
-0.435  -0.348       5     0   200        1.27987     -0.0133646    0.000358076
-0.348  -0.261       5     0   200        1.29354     -0.0137906    0.000363597
-0.261  -0.174       5     0   200        1.29915      -0.013901    0.000363583
-0.174  -0.087       5     0   200        1.30074     -0.0142159    0.000373328
-0.087       0       5     0   200         1.3053     -0.0152953     0.00040751
0   0.087       5     0   200        1.30469     -0.0162362    0.000439841
0.087   0.174       5     0   200        1.29972     -0.0165576    0.000452779
0.174   0.261       5     0   200         1.2863     -0.0163675    0.000455047
0.261   0.348       5     0   200        1.27383     -0.0163241    0.000459939
0.348   0.435       5     0   200        1.25826     -0.0158941    0.000452613
0.435   0.522       5     0   200        1.24469     -0.0155376    0.000445922
0.522   0.609       5     0   200        1.22818     -0.0145418    0.000417821
0.609   0.696       5     0   200        1.21202     -0.0133461    0.000381043
0.696   0.783       5     0   200        1.19507     -0.0120889    0.000343813
0.783   0.879       5     0   200        1.16963     -0.0102799     0.00029354
0.879   0.957       5     0   200        1.13275    -0.00823814    0.000238748
0.957   1.044       5     0   200        1.11726    -0.00622415    0.000179209
1.044   1.131       5     0   200        1.09824    -0.00443803    0.000122918
1.131   1.218       5     0   200        1.09057    -0.00418575    0.000115712
1.218   1.305       5     0   200        1.09042    -0.00480763    0.000136139
1.305   1.392       5     0   200        1.08958    -0.00494479    0.000142487
1.392   1.479       5     0   200        1.09192     -0.0055211    0.000165692
1.479   1.566       5     0   200        1.09728    -0.00640036    0.000200668
1.566   1.653       5     0   200        1.11229    -0.00843065    0.000274568
1.653    1.74       5     0   200        1.12332     -0.0106211    0.000362025
1.74    1.83       5     0   200        1.10832     -0.0119073    0.000430593
1.83    1.93       5     0   200        1.08723     -0.0109908    0.000439976
1.93   2.043       5     0   200        1.03826    -0.00763355    0.000365754
2.043   2.172       5     0   200       0.971087    -0.00300886    0.000232313
2.172   2.322       5     0   200       0.885647     0.00349972    1.06778e-05
2.322     2.5       5     0   200       0.794063      0.0099916   -0.000212689
2.5    2.65       5     0   200       0.763972      0.0138667   -0.000337377
2.65   2.853       5     0   200       0.826737      0.0158079   -0.000429027
2.853   2.964       5     0   200       0.928715      0.0150535   -0.000447237
2.964   3.139       5     0   200        1.03793       0.014056   -0.000456807
3.139   3.314       5     0   200         1.1636      0.0124171    -0.00046097
3.314   3.489       5     0   200         1.1514     0.00950049    -0.00039263
3.489   3.664       5     0   200         1.0828     0.00802971   -0.000333861
3.664   3.839       5     0   200        1.02153     0.00630176   -0.000273051
3.839   4.013       5     0   200       0.966268     0.00455388   -0.000213649
4.013   4.191       5     0   200       0.928871     0.00352568   -0.000180431
4.191   4.363       5     0   200       0.900951     0.00331832   -0.000177197
4.363   4.538       5     0   200       0.876101     0.00356797   -0.000187985
4.538   4.716       5     0   200       0.871542     0.00347775   -0.000188845
4.716   4.889       5     0   200       0.883753     0.00280784   -0.000171998
4.889   5.191       5     0   200       0.913281     0.00152458   -0.000135355
