{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.03365      -0.012052     0.00030211
-4.889  -4.716       5     0   200        1.00513     -0.0117887    0.000300552
-4.716  -4.538       5     0   200       0.993577     -0.0118226    0.000306706
-4.538  -4.363       5     0   200       0.992665     -0.0119919    0.000315132
-4.363  -4.191       5     0   200        1.01496     -0.0121795    0.000323106
-4.191  -4.013       5     0   200        1.04888      -0.012022    0.000321522
-4.013  -3.839       5     0   200        1.10067     -0.0120668    0.000323945
-3.839  -3.664       5     0   200        1.18237     -0.0124315    0.000332925
-3.664  -3.489       5     0   200        1.26876     -0.0131516    0.000349663
-3.489  -3.314       5     0   200        1.36435     -0.0147605    0.000387674
-3.314  -3.139       5     0   200        1.40561      -0.014757    0.000401758
-3.139  -2.964       5     0   200         1.2547    -0.00960576    0.000280818
-2.964  -2.853       5     0   200        1.12475    -0.00548752    0.000180559
-2.853   -2.65       5     0   200        1.00282    -0.00142829    7.39771e-05
-2.65    -2.5       5     0   200       0.913514     0.00108971   -7.79003e-06
-2.5  -2.322       5     0   200       0.929541    0.000442756   -2.06992e-05
-2.322  -2.172       5     0   200       0.980548    -0.00177271    2.49609e-05
-2.172  -2.043       5     0   200        1.00737    -0.00318454    6.46531e-05
-2.043   -1.93       5     0   200        1.03258    -0.00468704    0.000105179
-1.93   -1.83       5     0   200        1.05469    -0.00630727    0.000150951
-1.83   -1.74       5     0   200        1.07261    -0.00769263    0.000189191
-1.74  -1.653       5     0   200        1.09276    -0.00886002    0.000221212
-1.653  -1.566       5     0   200        1.10722    -0.00974575    0.000243722
-1.566  -1.479       5     0   200        1.11762     -0.0101933    0.000254798
-1.479  -1.392       5     0   200        1.12914     -0.0106439    0.000266118
-1.392  -1.305       5     0   200        1.13744     -0.0106845    0.000265934
-1.305  -1.218       5     0   200        1.14285     -0.0102571    0.000250834
-1.218  -1.131       5     0   200        1.15071     -0.0100171    0.000241177
-1.131  -1.044       5     0   200        1.15818    -0.00965389    0.000226762
-1.044  -0.957       5     0   200        1.16776    -0.00962635    0.000223202
-0.957  -0.879       5     0   200        1.17488    -0.00956075    0.000216142
-0.879  -0.783       5     0   200        1.18869    -0.00968072    0.000212828
-0.783  -0.696       5     0   200        1.20323     -0.0101221    0.000217049
-0.696  -0.609       5     0   200         1.2129     -0.0103493    0.000218018
-0.609  -0.522       5     0   200        1.22323     -0.0105957    0.000218147
-0.522  -0.435       5     0   200        1.23377     -0.0109212    0.000220149
-0.435  -0.348       5     0   200        1.24214     -0.0110985    0.000216051
-0.348  -0.261       5     0   200        1.24859     -0.0113139    0.000214624
-0.261  -0.174       5     0   200        1.25131     -0.0113076    0.000208199
-0.174  -0.087       5     0   200        1.25281     -0.0114874    0.000211382
-0.087       0       5     0   200         1.2515     -0.0115147    0.000212527
0   0.087       5     0   200        1.24813     -0.0115093    0.000214848
0.087   0.174       5     0   200        1.24698      -0.011744    0.000224989
0.174   0.261       5     0   200        1.24541     -0.0122054    0.000246206
0.261   0.348       5     0   200        1.24083      -0.012305    0.000256928
0.348   0.435       5     0   200        1.23774     -0.0125936    0.000273195
0.435   0.522       5     0   200        1.23452     -0.0128465    0.000286053
0.522   0.609       5     0   200        1.22912     -0.0129124    0.000293591
0.609   0.696       5     0   200        1.22134     -0.0126758    0.000290839
0.696   0.783       5     0   200        1.21434     -0.0126111     0.00029425
0.783   0.879       5     0   200        1.20197      -0.012163    0.000287065
0.879   0.957       5     0   200         1.1796     -0.0109614    0.000256225
0.957   1.044       5     0   200        1.17201      -0.010362    0.000239298
1.044   1.131       5     0   200        1.16208     -0.0100404    0.000232602
1.131   1.218       5     0   200        1.15269    -0.00990602    0.000231979
1.218   1.305       5     0   200        1.14407    -0.00988189    0.000234788
1.305   1.392       5     0   200        1.13608    -0.00967882    0.000229936
1.392   1.479       5     0   200        1.12769    -0.00940398     0.00022307
1.479   1.566       5     0   200        1.11721    -0.00886187    0.000208361
1.566   1.653       5     0   200        1.10952    -0.00864533    0.000204893
1.653    1.74       5     0   200        1.09723    -0.00814217    0.000195115
1.74    1.83       5     0   200        1.07058    -0.00668407    0.000157281
1.83    1.93       5     0   200        1.05182    -0.00529902    0.000118695
1.93   2.043       5     0   200        1.02908    -0.00388968    8.00364e-05
2.043   2.172       5     0   200        1.00346    -0.00279103    5.35212e-05
2.172   2.322       5     0   200       0.976554    -0.00222543    4.28774e-05
2.322     2.5       5     0   200        0.92031   -0.000602389    1.47127e-05
2.5    2.65       5     0   200       0.894174    0.000275732    2.05192e-05
2.65   2.853       5     0   200        0.97058    -0.00177443    8.78054e-05
2.853   2.964       5     0   200        1.08496    -0.00495579    0.000164857
2.964   3.139       5     0   200        1.21047    -0.00859466    0.000248849
3.139   3.314       5     0   200        1.36664     -0.0143581    0.000385237
3.314   3.489       5     0   200        1.33622     -0.0148905    0.000379637
3.489   3.664       5     0   200        1.24774     -0.0135822      0.0003496
3.664   3.839       5     0   200        1.16948     -0.0129227    0.000334187
3.839   4.013       5     0   200        1.09876     -0.0124724    0.000322213
4.013   4.191       5     0   200        1.05384     -0.0123915    0.000318932
4.191   4.363       5     0   200        1.02557     -0.0125083    0.000319493
4.363   4.538       5     0   200         1.0034      -0.012575     0.00031895
4.538   4.716       5     0   200       0.997752      -0.012576     0.00031737
4.716   4.889       5     0   200        1.00256     -0.0124043    0.000310977
4.889   5.191       5     0   200          1.019     -0.0120627     0.00029853
