{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.03365      -0.012052     0.00030211
-4.889  -4.716       5     0   200        1.00513     -0.0117887    0.000300552
-4.716  -4.538       5     0   200       0.993577     -0.0118226    0.000306706
-4.538  -4.363       5     0   200       0.992665     -0.0119919    0.000315132
-4.363  -4.191       5     0   200        1.01496     -0.0121795    0.000323106
-4.191  -4.013       5     0   200        1.04888      -0.012022    0.000321522
-4.013  -3.839       5     0   200        1.10067     -0.0120668    0.000323945
-3.839  -3.664       5     0   200        1.18237     -0.0124315    0.000332925
-3.664  -3.489       5     0   200        1.26876     -0.0131516    0.000349663
-3.489  -3.314       5     0   200        1.36435     -0.0147605    0.000387674
-3.314  -3.139       5     0   200        1.40561      -0.014757    0.000401758
-3.139  -2.964       5     0   200         1.2547    -0.00960577    0.000280818
-2.964  -2.853       5     0   200        1.12476    -0.00548742    0.000180557
-2.853   -2.65       5     0   200         1.0029    -0.00139503    7.87895e-05
-2.65    -2.5       5     0   200       0.899692     0.00147557    6.21425e-06
-2.5  -2.322       5     0   200       0.899844    0.000706607    2.72317e-05
-2.322  -2.172       5     0   200       0.948908    -0.00244978    0.000140825
-2.172  -2.043       5     0   200       0.980798    -0.00535391    0.000258598
-2.043   -1.93       5     0   200        1.01693    -0.00832777    0.000353496
-1.93   -1.83       5     0   200        1.05083     -0.0110441    0.000418934
-1.83   -1.74       5     0   200        1.07347      -0.012717    0.000445044
-1.74  -1.653       5     0   200        1.09645     -0.0131924    0.000439259
-1.653  -1.566       5     0   200        1.10992     -0.0134302    0.000428424
-1.566  -1.479       5     0   200         1.1189     -0.0132787    0.000411157
-1.479  -1.392       5     0   200         1.1298     -0.0132513    0.000400367
-1.392  -1.305       5     0   200         1.1383     -0.0130527    0.000388899
-1.305  -1.218       5     0   200        1.14332     -0.0123623    0.000364581
-1.218  -1.131       5     0   200        1.15052     -0.0118272    0.000347497
-1.131  -1.044       5     0   200         1.1614      -0.011598    0.000338078
-1.044  -0.957       5     0   200        1.17499     -0.0117532    0.000341178
-0.957  -0.879       5     0   200        1.18486     -0.0120728    0.000345838
-0.879  -0.783       5     0   200        1.20583     -0.0124161      0.0003502
-0.783  -0.696       5     0   200        1.22439     -0.0128528    0.000354024
-0.696  -0.609       5     0   200        1.23618     -0.0129795    0.000353259
-0.609  -0.522       5     0   200         1.2524     -0.0132416    0.000351979
-0.522  -0.435       5     0   200         1.2725     -0.0138456    0.000360536
-0.435  -0.348       5     0   200        1.29005     -0.0141275    0.000357638
-0.348  -0.261       5     0   200        1.30348     -0.0143958    0.000356592
-0.261  -0.174       5     0   200        1.31048      -0.014574    0.000356625
-0.174  -0.087       5     0   200        1.31104     -0.0147788    0.000364125
-0.087       0       5     0   200        1.30255      -0.014355    0.000356313
0   0.087       5     0   200        1.28735     -0.0136582    0.000343343
0.087   0.174       5     0   200        1.27442     -0.0132258    0.000337544
0.174   0.261       5     0   200        1.25979     -0.0132724    0.000353174
0.261   0.348       5     0   200        1.24271     -0.0130595    0.000359082
0.348   0.435       5     0   200        1.22856     -0.0131989    0.000374951
0.435   0.522       5     0   200        1.21734     -0.0133784    0.000387059
0.522   0.609       5     0   200        1.20769      -0.013481    0.000395315
0.609   0.696       5     0   200        1.19797     -0.0132423    0.000389441
0.696   0.783       5     0   200        1.19228     -0.0134338    0.000397724
0.783   0.879       5     0   200         1.1798     -0.0131038    0.000392339
0.879   0.957       5     0   200        1.14885     -0.0113583    0.000342386
0.957   1.044       5     0   200        1.14582     -0.0104432    0.000311298
1.044   1.131       5     0   200        1.13943     -0.0100042    0.000295185
1.131   1.218       5     0   200        1.13333    -0.00973009    0.000284669
1.218   1.305       5     0   200        1.12918    -0.00985767    0.000288793
1.305   1.392       5     0   200        1.12548    -0.00982338    0.000288124
1.392   1.479       5     0   200        1.12134    -0.00989015    0.000294707
1.479   1.566       5     0   200        1.11708     -0.0100685    0.000308453
1.566   1.653       5     0   200        1.11557     -0.0106825    0.000340081
1.653    1.74       5     0   200        1.10671     -0.0111405    0.000375246
1.74    1.83       5     0   200        1.06865     -0.0100783    0.000368631
1.83    1.93       5     0   200        1.04267    -0.00876877    0.000355991
1.93   2.043       5     0   200        1.00805    -0.00691696    0.000318053
2.043   2.172       5     0   200       0.970571    -0.00476483    0.000251125
2.172   2.322       5     0   200       0.937524    -0.00313969     0.00017508
2.322     2.5       5     0   200        0.88081   -0.000122833    5.94543e-05
2.5    2.65       5     0   200       0.874958    0.000817988    3.18948e-05
2.65   2.853       5     0   200       0.968804    -0.00163853     8.9822e-05
2.853   2.964       5     0   200        1.08495    -0.00495564    0.000164852
2.964   3.139       5     0   200        1.21047    -0.00859464    0.000248849
3.139   3.314       5     0   200        1.36664     -0.0143581    0.000385237
3.314   3.489       5     0   200        1.33622     -0.0148905    0.000379637
3.489   3.664       5     0   200        1.24774     -0.0135822      0.0003496
3.664   3.839       5     0   200        1.16948     -0.0129227    0.000334187
3.839   4.013       5     0   200        1.09876     -0.0124724    0.000322213
4.013   4.191       5     0   200        1.05384     -0.0123915    0.000318932
4.191   4.363       5     0   200        1.02557     -0.0125083    0.000319493
4.363   4.538       5     0   200         1.0034      -0.012575     0.00031895
4.538   4.716       5     0   200       0.997752      -0.012576     0.00031737
4.716   4.889       5     0   200        1.00256     -0.0124043    0.000310977
4.889   5.191       5     0   200          1.019     -0.0120627     0.00029853
