{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.977076    -0.00538863    0.000101037
-4.889  -4.716       5     0   200       0.948972    -0.00515466     9.9182e-05
-4.716  -4.538       5     0   200       0.938057    -0.00522669    0.000103675
-4.538  -4.363       5     0   200       0.936845    -0.00533693    0.000107863
-4.363  -4.191       5     0   200       0.959347    -0.00555299    0.000114551
-4.191  -4.013       5     0   200       0.995752    -0.00575879    0.000122063
-4.013  -3.839       5     0   200        1.04791    -0.00603102    0.000130787
-3.839  -3.664       5     0   200        1.12559    -0.00627615    0.000138477
-3.664  -3.489       5     0   200            1.2    -0.00607083    0.000133958
-3.489  -3.314       5     0   200        1.27531    -0.00584614    0.000124849
-3.314  -3.139       5     0   200        1.29826    -0.00359957    8.99034e-05
-3.139  -2.964       5     0   200        1.17663    -0.00015693     2.6825e-05
-2.964  -2.853       5     0   200        1.08228    0.000627329    2.40139e-05
-2.853   -2.65       5     0   200        1.00048    0.000511938    3.87361e-05
-2.65    -2.5       5     0   200       0.941442   -0.000497881    5.82934e-05
-2.5  -2.322       5     0   200       0.968913    -0.00342281    0.000108967
-2.322  -2.172       5     0   200        1.01234    -0.00533405    0.000148827
-2.172  -2.043       5     0   200        1.02946    -0.00537642    0.000148647
-2.043   -1.93       5     0   200         1.0486    -0.00629706    0.000169639
-1.93   -1.83       5     0   200        1.06392    -0.00726699    0.000192197
-1.83   -1.74       5     0   200        1.07936    -0.00846663    0.000218895
-1.74  -1.653       5     0   200        1.09803    -0.00954905    0.000241212
-1.653  -1.566       5     0   200        1.11268      -0.010547    0.000260967
-1.566  -1.479       5     0   200        1.12581     -0.0113505    0.000277425
-1.479  -1.392       5     0   200        1.13857     -0.0119196    0.000288867
-1.392  -1.305       5     0   200        1.15019     -0.0122746    0.000295746
-1.305  -1.218       5     0   200        1.15804     -0.0121288    0.000290854
-1.218  -1.131       5     0   200        1.16838     -0.0120974    0.000288524
-1.131  -1.044       5     0   200        1.17878     -0.0120423    0.000286022
-1.044  -0.957       5     0   200        1.18626     -0.0117701    0.000279577
-0.957  -0.879       5     0   200        1.19475     -0.0119064    0.000282674
-0.879  -0.783       5     0   200         1.2073     -0.0120093    0.000283835
-0.783  -0.696       5     0   200        1.21886     -0.0122551    0.000286994
-0.696  -0.609       5     0   200        1.22829     -0.0125711    0.000293138
-0.609  -0.522       5     0   200        1.24078     -0.0131687     0.00030559
-0.522  -0.435       5     0   200        1.25171     -0.0136389    0.000314973
-0.435  -0.348       5     0   200        1.26077     -0.0140149    0.000321924
-0.348  -0.261       5     0   200        1.26841     -0.0143984    0.000328819
-0.261  -0.174       5     0   200        1.27114     -0.0144858     0.00032938
-0.174  -0.087       5     0   200        1.26942     -0.0143167    0.000324668
-0.087       0       5     0   200        1.26914     -0.0144426    0.000327928
0   0.087       5     0   200        1.26404     -0.0142352    0.000324267
0.087   0.174       5     0   200           1.26     -0.0140486     0.00032064
0.174   0.261       5     0   200        1.25311     -0.0137391    0.000315525
0.261   0.348       5     0   200        1.24676     -0.0134969    0.000311813
0.348   0.435       5     0   200        1.24098     -0.0133267    0.000309623
0.435   0.522       5     0   200        1.23538     -0.0131778    0.000307421
0.522   0.609       5     0   200        1.23199     -0.0132724    0.000310409
0.609   0.696       5     0   200        1.22756      -0.013278    0.000310952
0.696   0.783       5     0   200        1.22023      -0.013013    0.000305305
0.783   0.879       5     0   200        1.20853     -0.0125303    0.000294824
0.879   0.957       5     0   200        1.18968      -0.011716    0.000275058
0.957   1.044       5     0   200        1.18332     -0.0112838     0.00026269
1.044   1.131       5     0   200        1.17588     -0.0111966    0.000259803
1.131   1.218       5     0   200         1.1651     -0.0109276    0.000254082
1.218   1.305       5     0   200        1.15584     -0.0108397    0.000253002
1.305   1.392       5     0   200        1.14543     -0.0104768    0.000245401
1.392   1.479       5     0   200        1.13503     -0.0100842    0.000237424
1.479   1.566       5     0   200        1.12432    -0.00965224    0.000229631
1.566   1.653       5     0   200        1.11408    -0.00921677    0.000223435
1.653    1.74       5     0   200        1.09993    -0.00856663    0.000214481
1.74    1.83       5     0   200        1.07745    -0.00764556    0.000198439
1.83    1.93       5     0   200        1.06139    -0.00671723    0.000181507
1.93   2.043       5     0   200        1.04436     -0.0060399      0.0001711
2.043   2.172       5     0   200        1.02241    -0.00538527    0.000162076
2.172   2.322       5     0   200       0.998143    -0.00539805    0.000167103
2.322     2.5       5     0   200         0.9407    -0.00290718      0.0001104
2.5    2.65       5     0   200       0.897295     0.00111905    2.63419e-05
2.65   2.853       5     0   200       0.949277      0.0022697   -3.73084e-06
2.853   2.964       5     0   200        1.03884     0.00171339   -6.62991e-06
2.964   3.139       5     0   200        1.13985    0.000258198    1.12371e-05
3.139   3.314       5     0   200        1.26904    -0.00392193     9.0977e-05
3.314   3.489       5     0   200        1.24922    -0.00600404    0.000121773
3.489   3.664       5     0   200        1.17121    -0.00556869    0.000114015
3.664   3.839       5     0   200        1.10115    -0.00550525    0.000112003
3.839   4.013       5     0   200        1.03634    -0.00547828    0.000110559
4.013   4.191       5     0   200       0.995018    -0.00562984    0.000113225
4.191   4.363       5     0   200       0.969458    -0.00588859    0.000117096
4.363   4.538       5     0   200       0.950889    -0.00624038    0.000123507
4.538   4.716       5     0   200       0.949842    -0.00663735    0.000131048
4.716   4.889       5     0   200       0.959797    -0.00694841     0.00013679
4.889   5.191       5     0   200       0.982207    -0.00726503     0.00014349
