{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.977076    -0.00538863    0.000101037
-4.889  -4.716       5     0   200       0.948972    -0.00515466     9.9182e-05
-4.716  -4.538       5     0   200       0.938057    -0.00522669    0.000103675
-4.538  -4.363       5     0   200       0.936845    -0.00533693    0.000107863
-4.363  -4.191       5     0   200       0.959347    -0.00555299    0.000114551
-4.191  -4.013       5     0   200       0.995752    -0.00575879    0.000122063
-4.013  -3.839       5     0   200        1.04791    -0.00603102    0.000130787
-3.839  -3.664       5     0   200        1.12559    -0.00627615    0.000138477
-3.664  -3.489       5     0   200            1.2    -0.00607083    0.000133958
-3.489  -3.314       5     0   200        1.27531    -0.00584614    0.000124849
-3.314  -3.139       5     0   200        1.29826    -0.00359957    8.99035e-05
-3.139  -2.964       5     0   200        1.17663   -0.000156953    2.68254e-05
-2.964  -2.853       5     0   200        1.08228    0.000627308    2.40145e-05
-2.853   -2.65       5     0   200       0.997905     0.00097978    3.13737e-05
-2.65    -2.5       5     0   200       0.920138     0.00132864    3.21114e-05
-2.5  -2.322       5     0   200       0.921521    8.96717e-05    6.06836e-05
-2.322  -2.172       5     0   200       0.944226    0.000105801    8.15725e-05
-2.172  -2.043       5     0   200       0.939947     0.00267772    3.42155e-05
-2.043   -1.93       5     0   200       0.954143      0.0024784    3.64815e-05
-1.93   -1.83       5     0   200       0.977996    0.000691078     6.2598e-05
-1.83   -1.74       5     0   200        1.00387    -0.00170407    9.94227e-05
-1.74  -1.653       5     0   200        1.03373    -0.00339865    0.000124114
-1.653  -1.566       5     0   200        1.05525    -0.00493521    0.000147708
-1.566  -1.479       5     0   200        1.07281    -0.00604685    0.000165663
-1.479  -1.392       5     0   200        1.09484    -0.00736767    0.000191228
-1.392  -1.305       5     0   200        1.11575    -0.00851033    0.000214567
-1.305  -1.218       5     0   200        1.13127    -0.00899576    0.000223919
-1.218  -1.131       5     0   200        1.14824    -0.00945513    0.000233699
-1.131  -1.044       5     0   200        1.16966     -0.0102775    0.000252033
-1.044  -0.957       5     0   200        1.18511     -0.0105898    0.000259443
-0.957  -0.879       5     0   200        1.20073      -0.011484    0.000279157
-0.879  -0.783       5     0   200          1.223     -0.0120157    0.000289098
-0.783  -0.696       5     0   200        1.24256     -0.0127363    0.000302357
-0.696  -0.609       5     0   200        1.25256      -0.012893    0.000304439
-0.609  -0.522       5     0   200        1.26823     -0.0133747    0.000312878
-0.522  -0.435       5     0   200        1.28432     -0.0137617    0.000318786
-0.435  -0.348       5     0   200        1.29903     -0.0140381    0.000322138
-0.348  -0.261       5     0   200        1.31023      -0.014247    0.000323824
-0.261  -0.174       5     0   200        1.31484     -0.0142861    0.000323046
-0.174  -0.087       5     0   200        1.31089     -0.0139725    0.000315962
-0.087       0       5     0   200        1.30531     -0.0138249    0.000314435
0   0.087       5     0   200        1.29108       -0.01319     0.00030335
0.087   0.174       5     0   200        1.27691     -0.0124735    0.000289543
0.174   0.261       5     0   200        1.25926     -0.0118476    0.000280248
0.261   0.348       5     0   200         1.2389     -0.0110224    0.000265134
0.348   0.435       5     0   200        1.21846     -0.0101783     0.00024867
0.435   0.522       5     0   200        1.20253    -0.00962998    0.000238261
0.522   0.609       5     0   200        1.19408    -0.00961777    0.000238953
0.609   0.696       5     0   200         1.1888    -0.00973587    0.000241254
0.696   0.783       5     0   200        1.18352    -0.00973018    0.000240351
0.783   0.879       5     0   200        1.17386    -0.00952156    0.000235505
0.879   0.957       5     0   200        1.15198    -0.00882306    0.000217866
0.957   1.044       5     0   200        1.15201    -0.00837947    0.000203546
1.044   1.131       5     0   200        1.15183     -0.0086669    0.000207989
1.131   1.218       5     0   200        1.14619    -0.00861578    0.000206263
1.218   1.305       5     0   200        1.13699    -0.00830625    0.000198923
1.305   1.392       5     0   200        1.12395    -0.00746766    0.000180288
1.392   1.479       5     0   200         1.1077    -0.00634185    0.000157159
1.479   1.566       5     0   200        1.09371    -0.00546339    0.000142704
1.566   1.653       5     0   200        1.07753    -0.00431372    0.000125658
1.653    1.74       5     0   200        1.05254      -0.002725    0.000104821
1.74    1.83       5     0   200        1.00873   -0.000711614    7.61999e-05
1.83    1.93       5     0   200       0.978055     0.00135943    5.05956e-05
1.93   2.043       5     0   200       0.952395     0.00231957    4.98614e-05
2.043   2.172       5     0   200       0.932136     0.00220189    6.21283e-05
2.172   2.322       5     0   200       0.922998   -0.000192389    0.000107939
2.322     2.5       5     0   200       0.885704    0.000608126    6.07833e-05
2.5    2.65       5     0   200       0.871299     0.00308824   -5.00225e-06
2.65   2.853       5     0   200       0.945239     0.00280782   -1.32322e-05
2.853   2.964       5     0   200        1.03884      0.0017134   -6.62999e-06
2.964   3.139       5     0   200        1.13985    0.000258198    1.12371e-05
3.139   3.314       5     0   200        1.26904    -0.00392193     9.0977e-05
3.314   3.489       5     0   200        1.24922    -0.00600404    0.000121773
3.489   3.664       5     0   200        1.17121    -0.00556869    0.000114015
3.664   3.839       5     0   200        1.10115    -0.00550525    0.000112003
3.839   4.013       5     0   200        1.03634    -0.00547828    0.000110559
4.013   4.191       5     0   200       0.995018    -0.00562984    0.000113225
4.191   4.363       5     0   200       0.969458    -0.00588859    0.000117096
4.363   4.538       5     0   200       0.950889    -0.00624038    0.000123507
4.538   4.716       5     0   200       0.949842    -0.00663735    0.000131048
4.716   4.889       5     0   200       0.959797    -0.00694841     0.00013679
4.889   5.191       5     0   200       0.982207    -0.00726503     0.00014349
