{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.992521    -0.00600284    0.000114416
-4.889  -4.716       5     0   200       0.967175    -0.00606344    0.000119373
-4.716  -4.538       5     0   200       0.954321    -0.00596472    0.000119754
-4.538  -4.363       5     0   200       0.950242    -0.00584893    0.000118966
-4.363  -4.191       5     0   200       0.969983    -0.00583423    0.000120658
-4.191  -4.013       5     0   200         1.0034    -0.00576603    0.000122047
-4.013  -3.839       5     0   200        1.05363    -0.00587167    0.000127289
-3.839  -3.664       5     0   200        1.13057    -0.00605642    0.000133992
-3.664  -3.489       5     0   200        1.20602    -0.00600335    0.000133473
-3.489  -3.314       5     0   200        1.28467    -0.00629185    0.000138174
-3.314  -3.139       5     0   200        1.30084    -0.00347454    9.50062e-05
-3.139  -2.964       5     0   200        1.15122     0.00215647   -1.35858e-05
-2.964  -2.853       5     0   200        1.03622     0.00394505   -3.42799e-05
-2.853   -2.65       5     0   200       0.937115     0.00468871   -2.93861e-05
-2.65    -2.5       5     0   200       0.861075     0.00416094   -1.02121e-06
-2.5  -2.322       5     0   200       0.881198    0.000498181    9.49749e-05
-2.322  -2.172       5     0   200       0.925494    -0.00118002    0.000169144
-2.172  -2.043       5     0   200       0.933549     0.00158768    0.000118228
-2.043   -1.93       5     0   200       0.952827     0.00128341    0.000116732
-1.93   -1.83       5     0   200       0.973648   -0.000201098    0.000124871
-1.83   -1.74       5     0   200        1.00091    -0.00268958    0.000153036
-1.74  -1.653       5     0   200        1.04148    -0.00532591    0.000191856
-1.653  -1.566       5     0   200        1.07482    -0.00791391    0.000234313
-1.566  -1.479       5     0   200         1.1036    -0.00998048    0.000270016
-1.479  -1.392       5     0   200        1.13378     -0.0118527    0.000304396
-1.392  -1.305       5     0   200        1.16084     -0.0133053    0.000331302
-1.305  -1.218       5     0   200        1.18829     -0.0146834     0.00035805
-1.218  -1.131       5     0   200        1.21398     -0.0157309    0.000377716
-1.131  -1.044       5     0   200        1.23516     -0.0163995    0.000389666
-1.044  -0.957       5     0   200        1.24905     -0.0166115    0.000393456
-0.957  -0.879       5     0   200        1.25913     -0.0170302    0.000401589
-0.879  -0.783       5     0   200        1.27816     -0.0173519    0.000407137
-0.783  -0.696       5     0   200        1.29395     -0.0178649    0.000417618
-0.696  -0.609       5     0   200        1.30333     -0.0181161    0.000423719
-0.609  -0.522       5     0   200        1.31813     -0.0185775    0.000432062
-0.522  -0.435       5     0   200        1.33744     -0.0194037    0.000449218
-0.435  -0.348       5     0   200        1.36128     -0.0206964    0.000476457
-0.348  -0.261       5     0   200        1.37868     -0.0215497    0.000491711
-0.261  -0.174       5     0   200        1.38509     -0.0217892    0.000494301
-0.174  -0.087       5     0   200        1.38309       -0.02168    0.000491003
-0.087       0       5     0   200        1.37944     -0.0216802    0.000491977
0   0.087       5     0   200        1.36639     -0.0210596    0.000479861
0.087   0.174       5     0   200        1.35297      -0.020266    0.000463092
0.174   0.261       5     0   200        1.33209     -0.0191208    0.000440486
0.261   0.348       5     0   200        1.31038     -0.0179405    0.000415934
0.348   0.435       5     0   200        1.28784     -0.0166653    0.000389179
0.435   0.522       5     0   200        1.27047       -0.01572    0.000368673
0.522   0.609       5     0   200        1.25874     -0.0151042    0.000353176
0.609   0.696       5     0   200        1.24824     -0.0145045    0.000337312
0.696   0.783       5     0   200        1.23861     -0.0140001    0.000324393
0.783   0.879       5     0   200        1.22825     -0.0137493    0.000319412
0.879   0.957       5     0   200        1.21742     -0.0141376    0.000328189
0.957   1.044       5     0   200        1.22805     -0.0147976    0.000341328
1.044   1.131       5     0   200        1.22624     -0.0149603    0.000344574
1.131   1.218       5     0   200         1.2171     -0.0147218    0.000341798
1.218   1.305       5     0   200        1.20211     -0.0140634    0.000330689
1.305   1.392       5     0   200        1.18564     -0.0130683    0.000312588
1.392   1.479       5     0   200        1.16608      -0.011771    0.000289086
1.479   1.566       5     0   200        1.14104    -0.00996609    0.000257004
1.566   1.653       5     0   200        1.11076    -0.00764392    0.000219212
1.653    1.74       5     0   200          1.066    -0.00435878    0.000168382
1.74    1.83       5     0   200        1.01483    -0.00178041     0.00013772
1.83    1.93       5     0   200       0.982811    0.000197957     0.00012946
1.93   2.043       5     0   200       0.952133     0.00117258    0.000144553
2.043   2.172       5     0   200       0.922854    0.000685369    0.000179671
2.172   2.322       5     0   200       0.898063    -0.00293683    0.000262243
2.322     2.5       5     0   200       0.835879    0.000512149    0.000129554
2.5    2.65       5     0   200       0.804921     0.00602106   -2.85184e-05
2.65   2.853       5     0   200       0.879406     0.00712852   -8.60746e-05
2.853   2.964       5     0   200       0.989535     0.00611335   -9.51134e-05
2.964   3.139       5     0   200        1.11459     0.00353775   -5.89782e-05
3.139   3.314       5     0   200        1.27544    -0.00387695    9.54272e-05
3.314   3.489       5     0   200        1.26959    -0.00752574    0.000160773
3.489   3.664       5     0   200        1.18931    -0.00684327     0.00014642
3.664   3.839       5     0   200         1.1161    -0.00645334    0.000136199
3.839   4.013       5     0   200        1.05009    -0.00629231    0.000131049
4.013   4.191       5     0   200        1.00756    -0.00628967    0.000129598
4.191   4.363       5     0   200        0.98068    -0.00633626    0.000127872
4.363   4.538       5     0   200       0.959108    -0.00629813    0.000124397
4.538   4.716       5     0   200       0.954496    -0.00625891    0.000121167
4.716   4.889       5     0   200       0.963899    -0.00645235    0.000123854
4.889   5.191       5     0   200       0.989789    -0.00707333    0.000137728
