{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.911563     0.00205585    -0.00013432
-4.889  -4.716       5     0   200       0.888632     0.00166392   -0.000117724
-4.716  -4.538       5     0   200       0.880602     0.00122354   -0.000101325
-4.538  -4.363       5     0   200       0.879931     0.00105575   -9.46672e-05
-4.363  -4.191       5     0   200       0.897166     0.00149827   -0.000107355
-4.191  -4.013       5     0   200       0.925042     0.00233539   -0.000130177
-4.013  -3.839       5     0   200       0.968609     0.00314985   -0.000154227
-3.839  -3.664       5     0   200        1.03734     0.00408657   -0.000184821
-3.664  -3.489       5     0   200        1.10984     0.00468334    -0.00020747
-3.489  -3.314       5     0   200         1.1846     0.00522751   -0.000236726
-3.314  -3.139       5     0   200        1.17557      0.0118199   -0.000427418
-3.139  -2.964       5     0   200        1.01041       0.020868    -0.00067638
-2.964  -2.853       5     0   200       0.890887      0.0249975   -0.000774727
-2.853   -2.65       5     0   200       0.792065      0.0272231   -0.000816903
-2.65    -2.5       5     0   200       0.749064       0.024327   -0.000720335
-2.5  -2.322       5     0   200       0.811625      0.0170312   -0.000515103
-2.322  -2.172       5     0   200       0.880061      0.0118544    -0.00036938
-2.172  -2.043       5     0   200       0.914968     0.00932505   -0.000300777
-2.043   -1.93       5     0   200       0.951593     0.00604915   -0.000205041
-1.93   -1.83       5     0   200       0.980154     0.00335909   -0.000126017
-1.83   -1.74       5     0   200        1.00232     0.00124638   -6.54055e-05
-1.74  -1.653       5     0   200        1.02102    7.91656e-05   -3.42881e-05
-1.653  -1.566       5     0   200        1.03556   -0.000964457   -8.79975e-06
-1.566  -1.479       5     0   200        1.04584    -0.00146027    1.34504e-06
-1.479  -1.392       5     0   200        1.05443    -0.00157751    1.11644e-06
-1.392  -1.305       5     0   200        1.06475    -0.00185427    6.06824e-06
-1.305  -1.218       5     0   200        1.07312    -0.00178574    7.68866e-07
-1.218  -1.131       5     0   200        1.08146    -0.00162179   -6.31699e-06
-1.131  -1.044       5     0   200        1.08817    -0.00125421   -1.79554e-05
-1.044  -0.957       5     0   200        1.09656     -0.0011809   -1.91721e-05
-0.957  -0.879       5     0   200        1.10489    -0.00137999   -1.31172e-05
-0.879  -0.783       5     0   200        1.11611    -0.00138289   -1.39008e-05
-0.783  -0.696       5     0   200        1.12942    -0.00188837   -2.73408e-06
-0.696  -0.609       5     0   200         1.1392    -0.00223996    3.88146e-06
-0.609  -0.522       5     0   200        1.14709    -0.00230365    1.01451e-06
-0.522  -0.435       5     0   200         1.1551    -0.00239469   -2.15886e-06
-0.435  -0.348       5     0   200        1.16383     -0.0026837   -9.23438e-08
-0.348  -0.261       5     0   200         1.1725    -0.00313382    5.85738e-06
-0.261  -0.174       5     0   200        1.17508    -0.00314207    1.57616e-06
-0.174  -0.087       5     0   200        1.17507    -0.00313228   -3.61882e-07
-0.087       0       5     0   200        1.17458    -0.00321499    1.58501e-06
0   0.087       5     0   200         1.1693    -0.00294298    -4.7504e-06
0.087   0.174       5     0   200        1.16436    -0.00263004   -1.27868e-05
0.174   0.261       5     0   200        1.15972    -0.00254108   -1.26747e-05
0.261   0.348       5     0   200        1.15466    -0.00245424    -1.1397e-05
0.348   0.435       5     0   200        1.14784    -0.00220674   -1.37313e-05
0.435   0.522       5     0   200        1.13942    -0.00179298   -2.15043e-05
0.522   0.609       5     0   200        1.13005    -0.00127733   -3.32156e-05
0.609   0.696       5     0   200        1.12133   -0.000837077   -4.37736e-05
0.696   0.783       5     0   200        1.11098   -0.000275822   -5.62669e-05
0.783   0.879       5     0   200        1.10045   -1.08416e-05   -5.81361e-05
0.879   0.957       5     0   200        1.08609    0.000211794   -5.98261e-05
0.957   1.044       5     0   200        1.08352    0.000154972   -5.75224e-05
1.044   1.131       5     0   200        1.08054   -0.000253334    -4.6434e-05
1.131   1.218       5     0   200        1.07867   -0.000957052    -2.5034e-05
1.218   1.305       5     0   200        1.07808    -0.00188886    5.31581e-06
1.305   1.392       5     0   200         1.0783    -0.00273339    3.28591e-05
1.392   1.479       5     0   200        1.07557    -0.00321627     5.0504e-05
1.479   1.566       5     0   200        1.06916     -0.0032293    5.45186e-05
1.566   1.653       5     0   200        1.05892     -0.0027101    4.43475e-05
1.653    1.74       5     0   200        1.04271    -0.00172116     2.3709e-05
1.74    1.83       5     0   200        1.01741   -0.000411981   -5.74769e-06
1.83    1.93       5     0   200       0.994569      0.0014295   -5.34018e-05
1.93   2.043       5     0   200       0.964724     0.00383804   -0.000120137
2.043   2.172       5     0   200       0.927206     0.00664176   -0.000197419
2.172   2.322       5     0   200       0.892659      0.0082127   -0.000233976
2.322     2.5       5     0   200       0.817366      0.0131361   -0.000379841
2.5    2.65       5     0   200        0.74633      0.0205581   -0.000596506
2.65   2.853       5     0   200       0.781818      0.0234515   -0.000698676
2.853   2.964       5     0   200       0.879108      0.0216608   -0.000676659
2.964   3.139       5     0   200       0.999837       0.017579   -0.000582793
3.139   3.314       5     0   200         1.1686     0.00841769   -0.000332485
3.314   3.489       5     0   200        1.17629     0.00289581   -0.000179225
3.489   3.664       5     0   200        1.10643     0.00220442   -0.000145584
3.664   3.839       5     0   200        1.03811      0.0019273   -0.000131508
3.839   4.013       5     0   200       0.972943     0.00190011   -0.000126878
4.013   4.191       5     0   200       0.930767     0.00174504   -0.000120765
4.191   4.363       5     0   200       0.904905     0.00143037   -0.000113393
4.363   4.538       5     0   200       0.885022     0.00111286   -0.000104904
4.538   4.716       5     0   200       0.881683     0.00085356   -9.84501e-05
4.716   4.889       5     0   200       0.886885     0.00104639   -0.000106571
4.889   5.191       5     0   200       0.900482     0.00178788   -0.000131479
