{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.992521    -0.00600284    0.000114416
-4.889  -4.716       5     0   200       0.967175    -0.00606344    0.000119373
-4.716  -4.538       5     0   200       0.954321    -0.00596472    0.000119754
-4.538  -4.363       5     0   200       0.950242    -0.00584893    0.000118966
-4.363  -4.191       5     0   200       0.969983    -0.00583423    0.000120658
-4.191  -4.013       5     0   200         1.0034    -0.00576603    0.000122047
-4.013  -3.839       5     0   200        1.05363    -0.00587167    0.000127289
-3.839  -3.664       5     0   200        1.13057    -0.00605642    0.000133992
-3.664  -3.489       5     0   200        1.20602    -0.00600335    0.000133473
-3.489  -3.314       5     0   200        1.28467    -0.00629185    0.000138174
-3.314  -3.139       5     0   200        1.30084    -0.00347454    9.50062e-05
-3.139  -2.964       5     0   200        1.15122     0.00215648   -1.35858e-05
-2.964  -2.853       5     0   200        1.03622     0.00394507   -3.42804e-05
-2.853   -2.65       5     0   200        0.94064     0.00403014   -1.81403e-05
-2.65    -2.5       5     0   200       0.883631      0.0019961    2.93642e-05
-2.5  -2.322       5     0   200       0.925327    -0.00285104    0.000127355
-2.322  -2.172       5     0   200        0.98067    -0.00576138    0.000188817
-2.172  -2.043       5     0   200         1.0019    -0.00573625    0.000181112
-2.043   -1.93       5     0   200        1.01987    -0.00660523     0.00019466
-1.93   -1.83       5     0   200         1.0336    -0.00767849    0.000214477
-1.83   -1.74       5     0   200        1.04837    -0.00910045    0.000242502
-1.74  -1.653       5     0   200        1.07015     -0.0107512    0.000276226
-1.653  -1.566       5     0   200        1.08961     -0.0123544    0.000309066
-1.566  -1.479       5     0   200        1.10789     -0.0136641    0.000336057
-1.479  -1.392       5     0   200        1.12814     -0.0148531    0.000360494
-1.392  -1.305       5     0   200        1.14811     -0.0158802    0.000381956
-1.305  -1.218       5     0   200        1.16843     -0.0167815    0.000400445
-1.218  -1.131       5     0   200        1.18527     -0.0171638    0.000406047
-1.131  -1.044       5     0   200        1.20038     -0.0173627    0.000407715
-1.044  -0.957       5     0   200        1.21005      -0.017166    0.000401284
-0.957  -0.879       5     0   200        1.21664     -0.0170373    0.000396409
-0.879  -0.783       5     0   200        1.22826     -0.0170947    0.000395946
-0.783  -0.696       5     0   200        1.23801     -0.0172688    0.000398115
-0.696  -0.609       5     0   200        1.24426     -0.0173712    0.000399926
-0.609  -0.522       5     0   200        1.25344     -0.0176956    0.000406062
-0.522  -0.435       5     0   200        1.26332     -0.0181291    0.000414675
-0.435  -0.348       5     0   200        1.27356     -0.0186731    0.000425241
-0.348  -0.261       5     0   200        1.27909     -0.0188721     0.00042721
-0.261  -0.174       5     0   200        1.28149      -0.018974    0.000428281
-0.174  -0.087       5     0   200        1.27874     -0.0187323    0.000422182
-0.087       0       5     0   200        1.27525      -0.018509    0.000417104
0   0.087       5     0   200        1.26839     -0.0180638     0.00040741
0.087   0.174       5     0   200        1.26216     -0.0175951    0.000396883
0.174   0.261       5     0   200        1.25316     -0.0170037    0.000384749
0.261   0.348       5     0   200        1.24573     -0.0165976     0.00037717
0.348   0.435       5     0   200        1.23909     -0.0162672    0.000371294
0.435   0.522       5     0   200        1.23319      -0.015965    0.000365018
0.522   0.609       5     0   200         1.2265     -0.0155529    0.000354697
0.609   0.696       5     0   200        1.21975      -0.015194    0.000345882
0.696   0.783       5     0   200        1.21161     -0.0148133    0.000337543
0.783   0.879       5     0   200        1.20315     -0.0147003    0.000336911
0.879   0.957       5     0   200         1.1953     -0.0150095    0.000344827
0.957   1.044       5     0   200        1.19717     -0.0154948    0.000355753
1.044   1.131       5     0   200        1.19149     -0.0156557    0.000360076
1.131   1.218       5     0   200        1.18189     -0.0156575    0.000362863
1.218   1.305       5     0   200        1.17054     -0.0155612    0.000364012
1.305   1.392       5     0   200        1.16011     -0.0153819    0.000363044
1.392   1.479       5     0   200        1.14762     -0.0148943    0.000354641
1.479   1.566       5     0   200         1.1319     -0.0140705    0.000339733
1.566   1.653       5     0   200        1.11256     -0.0128628    0.000318535
1.653    1.74       5     0   200        1.08703     -0.0112691    0.000292036
1.74    1.83       5     0   200        1.06078     -0.0101228     0.00027593
1.83    1.93       5     0   200        1.04465     -0.0094217     0.00027098
1.93   2.043       5     0   200        1.02582    -0.00884465     0.00027068
2.043   2.172       5     0   200        1.00007    -0.00830714    0.000274239
2.172   2.322       5     0   200       0.966996    -0.00871545    0.000299611
2.322     2.5       5     0   200       0.894669    -0.00430112    0.000194877
2.5    2.65       5     0   200       0.835943     0.00289823    2.57643e-05
2.65   2.853       5     0   200       0.884298     0.00628723   -6.98463e-05
2.853   2.964       5     0   200       0.989535     0.00611334   -9.51133e-05
2.964   3.139       5     0   200        1.11459     0.00353775    -5.8978e-05
3.139   3.314       5     0   200        1.27544    -0.00387695    9.54272e-05
3.314   3.489       5     0   200        1.26959    -0.00752574    0.000160773
3.489   3.664       5     0   200        1.18931    -0.00684327     0.00014642
3.664   3.839       5     0   200         1.1161    -0.00645334    0.000136199
3.839   4.013       5     0   200        1.05009    -0.00629231    0.000131049
4.013   4.191       5     0   200        1.00756    -0.00628967    0.000129598
4.191   4.363       5     0   200        0.98068    -0.00633626    0.000127872
4.363   4.538       5     0   200       0.959108    -0.00629813    0.000124397
4.538   4.716       5     0   200       0.954496    -0.00625891    0.000121167
4.716   4.889       5     0   200       0.963899    -0.00645235    0.000123854
4.889   5.191       5     0   200       0.989789    -0.00707333    0.000137728
