{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.911563     0.00205585    -0.00013432
-4.889  -4.716       5     0   200       0.888632     0.00166392   -0.000117724
-4.716  -4.538       5     0   200       0.880602     0.00122354   -0.000101325
-4.538  -4.363       5     0   200       0.879931     0.00105575   -9.46672e-05
-4.363  -4.191       5     0   200       0.897166     0.00149827   -0.000107355
-4.191  -4.013       5     0   200       0.925042     0.00233539   -0.000130177
-4.013  -3.839       5     0   200       0.968609     0.00314985   -0.000154227
-3.839  -3.664       5     0   200        1.03734     0.00408657   -0.000184821
-3.664  -3.489       5     0   200        1.10984     0.00468334    -0.00020747
-3.489  -3.314       5     0   200         1.1846     0.00522751   -0.000236726
-3.314  -3.139       5     0   200        1.17557      0.0118199   -0.000427418
-3.139  -2.964       5     0   200        1.01041       0.020868    -0.00067638
-2.964  -2.853       5     0   200       0.890889      0.0249974   -0.000774724
-2.853   -2.65       5     0   200        0.78687      0.0280299   -0.000838648
-2.65    -2.5       5     0   200       0.718538      0.0273773   -0.000798653
-2.5  -2.322       5     0   200        0.75335      0.0220393    -0.00063452
-2.322  -2.172       5     0   200       0.798717      0.0190121   -0.000527713
-2.172  -2.043       5     0   200       0.821899      0.0175485   -0.000476361
-2.043   -1.93       5     0   200        0.86608      0.0130845   -0.000339032
-1.93   -1.83       5     0   200       0.905208     0.00908259   -0.000229427
-1.83   -1.74       5     0   200       0.937688      0.0056805   -0.000145414
-1.74  -1.653       5     0   200       0.966316     0.00401203   -0.000110303
-1.653  -1.566       5     0   200       0.987137     0.00245955   -7.84383e-05
-1.566  -1.479       5     0   200        1.00416     0.00136107   -5.68091e-05
-1.479  -1.392       5     0   200        1.01658     0.00102464   -5.49231e-05
-1.392  -1.305       5     0   200        1.03106    0.000413153   -4.26193e-05
-1.305  -1.218       5     0   200        1.04454    1.16875e-06   -3.39944e-05
-1.218  -1.131       5     0   200         1.0575   -0.000198715   -2.88802e-05
-1.131  -1.044       5     0   200        1.06809   -3.67937e-05    -3.2241e-05
-1.044  -0.957       5     0   200        1.07918    3.63426e-05   -3.15255e-05
-0.957  -0.879       5     0   200        1.09252   -0.000695076   -1.04459e-05
-0.879  -0.783       5     0   200        1.11458    -0.00127812    6.19761e-06
-0.783  -0.696       5     0   200        1.13536    -0.00218777    2.94653e-05
-0.696  -0.609       5     0   200        1.15385    -0.00323442    5.69636e-05
-0.609  -0.522       5     0   200         1.1704    -0.00369953    6.47124e-05
-0.522  -0.435       5     0   200        1.18795    -0.00412372    6.99666e-05
-0.435  -0.348       5     0   200        1.20978    -0.00509215    9.04714e-05
-0.348  -0.261       5     0   200        1.22932     -0.0060726    0.000109154
-0.261  -0.174       5     0   200        1.23852    -0.00654435    0.000117745
-0.174  -0.087       5     0   200        1.23932    -0.00668282    0.000121017
-0.087       0       5     0   200        1.23841      -0.007008    0.000131048
0   0.087       5     0   200        1.22782    -0.00674388    0.000128124
0.087   0.174       5     0   200         1.2193    -0.00665798    0.000129019
0.174   0.261       5     0   200        1.20668     -0.0066339    0.000135071
0.261   0.348       5     0   200        1.19034    -0.00626516    0.000130883
0.348   0.435       5     0   200        1.16737     -0.0051684    0.000107358
0.435   0.522       5     0   200        1.14264    -0.00367288     7.1298e-05
0.522   0.609       5     0   200        1.11896    -0.00196532    2.53021e-05
0.609   0.696       5     0   200        1.10121   -0.000739759   -9.66198e-06
0.696   0.783       5     0   200         1.0819     0.00076205   -5.13988e-05
0.783   0.879       5     0   200        1.06294     0.00188066    -7.9791e-05
0.879   0.957       5     0   200        1.03886     0.00272105    -0.00010189
0.957   1.044       5     0   200         1.0418     0.00276109   -0.000106398
1.044   1.131       5     0   200        1.04499     0.00207427   -9.15411e-05
1.131   1.218       5     0   200        1.05067     0.00089297   -6.03563e-05
1.218   1.305       5     0   200        1.05458   -0.000266919   -2.58503e-05
1.305   1.392       5     0   200        1.05849    -0.00126369    5.86499e-06
1.392   1.479       5     0   200        1.05732    -0.00173997    2.55441e-05
1.479   1.566       5     0   200         1.0525    -0.00181215    3.49948e-05
1.566   1.653       5     0   200        1.04079    -0.00104882     2.3596e-05
1.653    1.74       5     0   200        1.01493    0.000784834   -1.10026e-05
1.74    1.83       5     0   200       0.967278      0.0033888   -6.64389e-05
1.83    1.93       5     0   200       0.922795     0.00728563    -0.00015855
1.93   2.043       5     0   200       0.872649      0.0115488   -0.000269916
2.043   2.172       5     0   200       0.824333       0.015376   -0.000380371
2.172   2.322       5     0   200       0.801894      0.0152541   -0.000380389
2.322     2.5       5     0   200       0.747109      0.0185117   -0.000507207
2.5    2.65       5     0   200       0.711325      0.0235812   -0.000672284
2.65   2.853       5     0   200       0.775683      0.0242323   -0.000719474
2.853   2.964       5     0   200       0.879109      0.0216608   -0.000676659
2.964   3.139       5     0   200       0.999837      0.0175789   -0.000582793
3.139   3.314       5     0   200         1.1686     0.00841769   -0.000332485
3.314   3.489       5     0   200        1.17629     0.00289581   -0.000179225
3.489   3.664       5     0   200        1.10643     0.00220442   -0.000145584
3.664   3.839       5     0   200        1.03811      0.0019273   -0.000131508
3.839   4.013       5     0   200       0.972943     0.00190011   -0.000126878
4.013   4.191       5     0   200       0.930767     0.00174504   -0.000120765
4.191   4.363       5     0   200       0.904905     0.00143037   -0.000113393
4.363   4.538       5     0   200       0.885022     0.00111286   -0.000104904
4.538   4.716       5     0   200       0.881683     0.00085356   -9.84501e-05
4.716   4.889       5     0   200       0.886885     0.00104639   -0.000106571
4.889   5.191       5     0   200       0.900482     0.00178788   -0.000131479
