{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.907863    0.000331589   -4.72141e-05
-4.889  -4.716       5     0   200       0.876009     0.00060901   -4.91006e-05
-4.716  -4.538       5     0   200       0.860269    0.000728037    -4.8229e-05
-4.538  -4.363       5     0   200        0.85456     0.00087365   -4.90113e-05
-4.363  -4.191       5     0   200       0.870096     0.00129203   -5.73216e-05
-4.191  -4.013       5     0   200        0.89898     0.00190109   -6.94436e-05
-4.013  -3.839       5     0   200       0.942235     0.00255256   -8.28011e-05
-3.839  -3.664       5     0   200        1.00984     0.00326402    -9.8829e-05
-3.664  -3.489       5     0   200        1.07896     0.00390929   -0.000114717
-3.489  -3.314       5     0   200        1.15167     0.00442228   -0.000131735
-3.314  -3.139       5     0   200        1.19907     0.00539246   -0.000151261
-3.139  -2.964       5     0   200        1.11123     0.00343607   -0.000126835
-2.964  -2.853       5     0   200        1.03098     0.00123381   -7.98731e-05
-2.853   -2.65       5     0   200        0.96277   -0.000746144   -2.83954e-05
-2.65    -2.5       5     0   200       0.899081    -0.00211325     2.0117e-05
-2.5  -2.322       5     0   200         0.9273    -0.00262418    5.46537e-05
-2.322  -2.172       5     0   200       0.997705    -0.00083889    7.28628e-05
-2.172  -2.043       5     0   200        1.00774     0.00221452    3.81028e-05
-2.043   -1.93       5     0   200        1.00269     0.00352921    2.30311e-05
-1.93   -1.83       5     0   200       0.995114     0.00347479    1.44012e-05
-1.83   -1.74       5     0   200       0.983179     0.00351853    3.01222e-06
-1.74  -1.653       5     0   200       0.991439     0.00296353    5.93061e-06
-1.653  -1.566       5     0   200       0.996634     0.00245182    1.04909e-05
-1.566  -1.479       5     0   200        1.00554     0.00205505     1.4745e-05
-1.479  -1.392       5     0   200        1.02145      0.0013944     2.6161e-05
-1.392  -1.305       5     0   200         1.0412    0.000625292    4.09412e-05
-1.305  -1.218       5     0   200        1.06303   -1.24067e-05    5.23894e-05
-1.218  -1.131       5     0   200        1.08467   -0.000623209    6.55849e-05
-1.131  -1.044       5     0   200         1.1015    -0.00103481     7.3104e-05
-1.044  -0.957       5     0   200        1.10985    -0.00158185    8.23393e-05
-0.957  -0.879       5     0   200        1.10158    -0.00137029    7.83656e-05
-0.879  -0.783       5     0   200        1.10599    -0.00137109    7.77012e-05
-0.783  -0.696       5     0   200        1.10505     -0.0013951    7.96399e-05
-0.696  -0.609       5     0   200        1.10254    -0.00122516    7.79131e-05
-0.609  -0.522       5     0   200        1.10309    -0.00109293    7.60917e-05
-0.522  -0.435       5     0   200        1.10772    -0.00123968    7.99682e-05
-0.435  -0.348       5     0   200        1.11955    -0.00180318     9.0102e-05
-0.348  -0.261       5     0   200        1.13349    -0.00259427    0.000103591
-0.261  -0.174       5     0   200        1.13748    -0.00280358    0.000105028
-0.174  -0.087       5     0   200        1.13877    -0.00296735    0.000106908
-0.087       0       5     0   200        1.14007    -0.00312021     0.00010858
0   0.087       5     0   200        1.13689    -0.00305986    0.000106736
0.087   0.174       5     0   200        1.13329    -0.00302755    0.000106121
0.174   0.261       5     0   200        1.12384    -0.00274869    0.000102837
