{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.913034   -0.000731391     1.6527e-05
-4.889  -4.716       5     0   200       0.906837    0.000406271   -6.28698e-06
-4.716  -4.538       5     0   200       0.911119     0.00112801    -2.0535e-05
-4.538  -4.363       5     0   200       0.916912      0.0019236   -3.74748e-05
-4.363  -4.191       5     0   200       0.927914     0.00286189   -5.69422e-05
-4.191  -4.013       5     0   200       0.947796     0.00363249   -7.22695e-05
-4.013  -3.839       5     0   200       0.969851     0.00410556   -8.22938e-05
-3.839  -3.664       5     0   200        1.00018     0.00458087   -9.36582e-05
-3.664  -3.489       5     0   200        1.02256     0.00565811   -0.000119571
-3.489  -3.314       5     0   200        1.02694     0.00694058   -0.000159821
-3.314  -3.139       5     0   200        1.02826     0.00743647   -0.000172716
-3.139  -2.964       5     0   200        1.01924     0.00763773   -0.000170658
-2.964  -2.853       5     0   200        1.01007      0.0078146   -0.000162801
-2.853   -2.65       5     0   200       0.990478     0.00786089   -0.000146774
-2.65    -2.5       5     0   200       0.961851     0.00732624   -0.000107406
-2.5  -2.322       5     0   200       0.939308      0.0056989   -3.49626e-05
-2.322  -2.172       5     0   200       0.919715     0.00258252    7.84103e-05
-2.172  -2.043       5     0   200       0.919226    -0.00140778    0.000210535
-2.043   -1.93       5     0   200       0.940623    -0.00526634      0.0003468
-1.93   -1.83       5     0   200       0.962229    -0.00813713    0.000455762
-1.83   -1.74       5     0   200       0.973593    -0.00905742    0.000498773
-1.74  -1.653       5     0   200       0.984201    -0.00961749    0.000529521
-1.653  -1.566       5     0   200        0.99763     -0.0103005     0.00056255
-1.566  -1.479       5     0   200        1.00996     -0.0110829    0.000594843
-1.479  -1.392       5     0   200        1.01941     -0.0118467     0.00062057
-1.392  -1.305       5     0   200        1.02954     -0.0125367    0.000646599
-1.305  -1.218       5     0   200        1.04013     -0.0131352    0.000671947
-1.218  -1.131       5     0   200        1.04978     -0.0134965    0.000691224
-1.131  -1.044       5     0   200         1.0581     -0.0136437    0.000705286
-1.044  -0.957       5     0   200         1.0662     -0.0135993    0.000714109
-0.957  -0.879       5     0   200        1.07501      -0.013514    0.000721165
-0.879  -0.783       5     0   200        1.08587     -0.0134828    0.000729375
-0.783  -0.696       5     0   200        1.09764     -0.0135285    0.000738416
-0.696  -0.609       5     0   200        1.10779     -0.0136635    0.000748161
-0.609  -0.522       5     0   200        1.11667     -0.0140599    0.000761952
-0.522  -0.435       5     0   200        1.12483     -0.0144365     0.00077229
-0.435  -0.348       5     0   200        1.13154     -0.0146778    0.000776599
-0.348  -0.261       5     0   200        1.13668     -0.0149802    0.000780568
-0.261  -0.174       5     0   200        1.14143     -0.0153335    0.000784988
-0.174  -0.087       5     0   200        1.14481     -0.0156113    0.000788118
-0.087       0       5     0   200         1.1456     -0.0156832    0.000786195
0   0.087       5     0   200        1.14484     -0.0156546    0.000782008
0.087   0.174       5     0   200        1.14313     -0.0156169    0.000777954
0.174   0.261       5     0   200        1.13883     -0.0154411     0.00076937
0.261   0.348       5     0   200        1.13262     -0.0151829    0.000758987
0.348   0.435       5     0   200        1.12541     -0.0149199    0.000748871
0.435   0.522       5     0   200        1.12103     -0.0151586    0.000753007
0.522   0.609       5     0   200        1.11855     -0.0154694    0.000757413
0.609   0.696       5     0   200        1.11288     -0.0153189    0.000746075
0.696   0.783       5     0   200        1.10528     -0.0152782    0.000736276
0.783   0.879       5     0   200        1.09792      -0.015218     0.00072619
0.879   0.957       5     0   200        1.09241     -0.0152367    0.000719421
0.957   1.044       5     0   200        1.08812     -0.0152975    0.000715142
1.044   1.131       5     0   200        1.08416     -0.0153252    0.000709797
1.131   1.218       5     0   200        1.07931     -0.0151973    0.000700528
1.218   1.305       5     0   200        1.07346     -0.0149194    0.000688284
1.305   1.392       5     0   200        1.06554     -0.0144554    0.000670769
1.392   1.479       5     0   200        1.05692     -0.0138475    0.000649208
1.479   1.566       5     0   200        1.04836     -0.0131374    0.000626525
1.566   1.653       5     0   200        1.03458     -0.0121524    0.000591012
1.653    1.74       5     0   200        1.01804     -0.0110629    0.000549741
1.74    1.83       5     0   200        1.00335     -0.0100182    0.000507456
1.83    1.93       5     0   200       0.986789    -0.00864059    0.000451527
1.93   2.043       5     0   200       0.957529    -0.00547707    0.000332382
2.043   2.172       5     0   200       0.921832    -0.00100765    0.000179651
2.172   2.322       5     0   200       0.911811      0.0028977    5.52178e-05
2.322     2.5       5     0   200       0.923593     0.00591723   -5.37322e-05
2.5    2.65       5     0   200       0.942811     0.00757114   -0.000126578
2.65   2.853       5     0   200       0.968675     0.00829624   -0.000172603
2.853   2.964       5     0   200       0.987487     0.00832906   -0.000192747
2.964   3.139       5     0   200       0.998104      0.0080707   -0.000198939
3.139   3.314       5     0   200        1.01004     0.00744508   -0.000188735
3.314   3.489       5     0   200        1.01413     0.00664261   -0.000165899
3.489   3.664       5     0   200        1.01447     0.00532688   -0.000125342
3.664   3.839       5     0   200       0.998955      0.0041747   -9.91571e-05
3.839   4.013       5     0   200       0.972265     0.00368895   -8.79421e-05
4.013   4.191       5     0   200       0.950539     0.00321816   -7.85179e-05
4.191   4.363       5     0   200        0.93283     0.00232058   -5.88454e-05
4.363   4.538       5     0   200       0.923628     0.00132429   -3.70187e-05
4.538   4.716       5     0   200       0.919263    0.000554566   -2.04852e-05
4.716   4.889       5     0   200       0.916383   -0.000151864   -6.44359e-06
4.889   5.191       5     0   200       0.921067    -0.00143624    2.08521e-05
