{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.994149    -0.00694546    0.000107645
-4.889  -4.716       5     0   200        1.00085    -0.00683926    0.000111678
-4.716  -4.538       5     0   200        1.01297    -0.00673618    0.000112975
-4.538  -4.363       5     0   200        1.02569    -0.00646189    0.000108728
-4.363  -4.191       5     0   200        1.04458    -0.00604153    0.000100028
-4.191  -4.013       5     0   200         1.0718    -0.00579651    9.55378e-05
-4.013  -3.839       5     0   200        1.09708    -0.00554321    8.87244e-05
-3.839  -3.664       5     0   200        1.13182    -0.00539783    8.27709e-05
-3.664  -3.489       5     0   200        1.15762    -0.00488393    7.19185e-05
-3.489  -3.314       5     0   200        1.16638    -0.00440359    5.51034e-05
-3.314  -3.139       5     0   200        1.16528    -0.00398226    4.44586e-05
-3.139  -2.964       5     0   200        1.14766    -0.00313094    2.56161e-05
-2.964  -2.853       5     0   200        1.13128    -0.00238975    1.22173e-05
-2.853   -2.65       5     0   200        1.10204    -0.00151411   -1.04522e-06
-2.65    -2.5       5     0   200        1.05888   -0.000541203   -1.47832e-05
-2.5  -2.322       5     0   200        1.02015   -0.000132438    -1.3203e-05
-2.322  -2.172       5     0   200       0.981793   -0.000461386    5.41195e-06
-2.172  -2.043       5     0   200       0.965443     -0.0015338    3.55073e-05
-2.043   -1.93       5     0   200       0.972339    -0.00270472    7.58629e-05
-1.93   -1.83       5     0   200       0.983982    -0.00356386    0.000109511
-1.83   -1.74       5     0   200       0.996754    -0.00404015    0.000126518
-1.74  -1.653       5     0   200        1.01131    -0.00463072     0.00014516
-1.653  -1.566       5     0   200        1.02864    -0.00542974      0.0001684
-1.566  -1.479       5     0   200        1.04378    -0.00621522    0.000189452
-1.479  -1.392       5     0   200        1.05515    -0.00693773    0.000206756
-1.392  -1.305       5     0   200        1.06738    -0.00762261    0.000223027
-1.305  -1.218       5     0   200        1.07976    -0.00820975    0.000236407
-1.218  -1.131       5     0   200        1.09059    -0.00855509    0.000243202
-1.131  -1.044       5     0   200        1.10103    -0.00888703    0.000251006
-1.044  -0.957       5     0   200        1.11228    -0.00921978    0.000258657
-0.957  -0.879       5     0   200        1.12455    -0.00955629    0.000265494
-0.879  -0.783       5     0   200        1.13978     -0.0100121    0.000274823
-0.783  -0.696       5     0   200        1.15654       -0.01053    0.000285006
-0.696  -0.609       5     0   200        1.17011     -0.0109043    0.000291716
-0.609  -0.522       5     0   200        1.17994     -0.0112055    0.000295361
-0.522  -0.435       5     0   200        1.18744     -0.0112789    0.000291902
-0.435  -0.348       5     0   200        1.19353     -0.0112711    0.000287059
-0.348  -0.261       5     0   200        1.19803     -0.0113766    0.000286904
-0.261  -0.174       5     0   200        1.20071     -0.0113716    0.000284536
-0.174  -0.087       5     0   200        1.20107     -0.0112069      0.0002786
-0.087       0       5     0   200        1.20015     -0.0110853    0.000275163
0   0.087       5     0   200        1.19786     -0.0109413    0.000271431
0.087   0.174       5     0   200        1.19456     -0.0108073    0.000268252
0.174   0.261       5     0   200        1.18891     -0.0105892    0.000263678
0.261   0.348       5     0   200        1.18104     -0.0102612    0.000257231
0.348   0.435       5     0   200         1.1715    -0.00987659    0.000250386
