{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.987224    -0.00687323     9.3875e-05
-4.889  -4.716       5     0   200        0.98914    -0.00647245    9.84166e-05
-4.716  -4.538       5     0   200       0.997569    -0.00624563    0.000104063
-4.538  -4.363       5     0   200         1.0019    -0.00613661    0.000108748
-4.363  -4.191       5     0   200        1.01902    -0.00609603    0.000111335
-4.191  -4.013       5     0   200        1.04327    -0.00580702    0.000105325
-4.013  -3.839       5     0   200        1.07104    -0.00495695    8.07303e-05
-3.839  -3.664       5     0   200        1.11611    -0.00405513    5.31035e-05
-3.664  -3.489       5     0   200        1.15889    -0.00330716     2.8484e-05
-3.489  -3.314       5     0   200        1.20603    -0.00302844    1.41697e-05
-3.314  -3.139       5     0   200        1.25159    -0.00264647    1.46834e-05
-3.139  -2.964       5     0   200        1.19906    -0.00229003    1.97021e-06
-2.964  -2.853       5     0   200        1.14182    -0.00192953    -4.2202e-07
-2.853   -2.65       5     0   200        1.06232   -0.000945577   -8.91685e-06
-2.65    -2.5       5     0   200       0.959449    4.20524e-05   -1.45876e-05
-2.5  -2.322       5     0   200       0.917306   -0.000712527    1.67368e-05
-2.322  -2.172       5     0   200       0.918244    -0.00089672    4.51269e-05
-2.172  -2.043       5     0   200       0.927215    -0.00062305    4.42587e-05
-2.043   -1.93       5     0   200       0.950062    -0.00161299    7.15329e-05
-1.93   -1.83       5     0   200       0.970636    -0.00271795     8.8139e-05
-1.83   -1.74       5     0   200       0.986982    -0.00376775    9.59588e-05
-1.74  -1.653       5     0   200        1.00984    -0.00477252    0.000112557
-1.653  -1.566       5     0   200        1.02854    -0.00613646    0.000146689
-1.566  -1.479       5     0   200        1.04105    -0.00698164    0.000172982
-1.479  -1.392       5     0   200        1.05205    -0.00749997     0.00019367
-1.392  -1.305       5     0   200        1.06358    -0.00804964    0.000216208
-1.305  -1.218       5     0   200        1.07654    -0.00856306    0.000237224
-1.218  -1.131       5     0   200        1.08661    -0.00876471    0.000249498
-1.131  -1.044       5     0   200        1.10042    -0.00941581    0.000274335
-1.044  -0.957       5     0   200        1.11134    -0.00975189    0.000288256
-0.957  -0.879       5     0   200        1.11774     -0.0100035    0.000291246
-0.879  -0.783       5     0   200        1.13031    -0.00983974    0.000279049
-0.783  -0.696       5     0   200        1.14147     -0.0100496    0.000277966
-0.696  -0.609       5     0   200        1.15096     -0.0103729    0.000282801
-0.609  -0.522       5     0   200        1.16405     -0.0108122    0.000289428
-0.522  -0.435       5     0   200         1.1814     -0.0116737      0.0003064
-0.435  -0.348       5     0   200        1.20534     -0.0130037    0.000334528
-0.348  -0.261       5     0   200        1.22186     -0.0138403    0.000349667
-0.261  -0.174       5     0   200        1.23363      -0.014578    0.000364627
-0.174  -0.087       5     0   200        1.23719     -0.0148037    0.000369172
-0.087       0       5     0   200        1.23452     -0.0147687    0.000370563
0   0.087       5     0   200        1.22793     -0.0144858    0.000366329
0.087   0.174       5     0   200        1.21795     -0.0140425        0.00036
0.174   0.261       5     0   200        1.19726     -0.0126649    0.000329173
0.261   0.348       5     0   200        1.17295     -0.0111119    0.000295101
0.348   0.435       5     0   200        1.14703     -0.0096733    0.000264002
0.435   0.522       5     0   200        1.13233    -0.00906645     0.00025261
0.522   0.609       5     0   200        1.11893    -0.00850669    0.000239783
0.609   0.696       5     0   200        1.10784    -0.00811368    0.000229811
0.696   0.783       5     0   200        1.09419    -0.00743385     0.00021154
0.783   0.879       5     0   200        1.07959    -0.00680856    0.000196669
0.879   0.957       5     0   200        1.09099    -0.00898656    0.000255126
0.957   1.044       5     0   200        1.10467      -0.010077    0.000283695
1.044   1.131       5     0   200        1.10952     -0.0106413     0.00029139
1.131   1.218       5     0   200        1.10905     -0.0110153    0.000297988
1.218   1.305       5     0   200        1.10458     -0.0111709    0.000299397
1.305   1.392       5     0   200        1.09913     -0.0111333    0.000295024
1.392   1.479       5     0   200        1.09302     -0.0109079     0.00028424
