{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.874349     0.00795428    -0.00036556
-4.889  -4.716       5     0   200       0.862962     0.00960074   -0.000414272
-4.716  -4.538       5     0   200       0.875956     0.00946707   -0.000409151
-4.538  -4.363       5     0   200       0.892933     0.00924628   -0.000400902
-4.363  -4.191       5     0   200       0.923767     0.00886517   -0.000390855
-4.191  -4.013       5     0   200       0.968508      0.0084715   -0.000383563
-4.013  -3.839       5     0   200        1.01294     0.00832737    -0.00038473
-3.839  -3.664       5     0   200        1.06687     0.00838923   -0.000396483
-3.664  -3.489       5     0   200        1.09662     0.00892323   -0.000405608
-3.489  -3.314       5     0   200        1.10043     0.00861147   -0.000378368
-3.314  -3.139       5     0   200        1.09157     0.00911744    -0.00037989
-3.139  -2.964       5     0   200        1.07313     0.00989034   -0.000386992
-2.964  -2.853       5     0   200        1.05763     0.00999256   -0.000372302
-2.853   -2.65       5     0   200        1.02614      0.0100267   -0.000349805
-2.65    -2.5       5     0   200       0.987351     0.00883101   -0.000286034
-2.5  -2.322       5     0   200       0.960366     0.00684034   -0.000204215
-2.322  -2.172       5     0   200       0.934311     0.00521614   -0.000142693
-2.172  -2.043       5     0   200       0.936939     0.00385032   -0.000106212
-2.043   -1.93       5     0   200       0.965318     0.00260285   -7.50833e-05
-1.93   -1.83       5     0   200       0.994493     0.00152899   -4.54013e-05
-1.83   -1.74       5     0   200        1.01619    0.000482228   -1.26651e-05
-1.74  -1.653       5     0   200        1.03488   -0.000388967    1.23466e-05
-1.653  -1.566       5     0   200        1.04954    -0.00078026    1.83181e-05
-1.566  -1.479       5     0   200         1.0605   -0.000755987    9.13407e-06
-1.479  -1.392       5     0   200        1.06736   -0.000352022    -1.4935e-05
-1.392  -1.305       5     0   200        1.07736    -0.00034635   -2.57562e-05
-1.305  -1.218       5     0   200        1.08612   -0.000154139   -4.15722e-05
-1.218  -1.131       5     0   200        1.09332    0.000290021    -6.4602e-05
-1.131  -1.044       5     0   200        1.10186     0.00056767   -8.10321e-05
-1.044  -0.957       5     0   200        1.11148    0.000717271   -9.18037e-05
-0.957  -0.879       5     0   200        1.12547    0.000331003     -8.536e-05
-0.879  -0.783       5     0   200        1.14802   -0.000999435   -4.97632e-05
-0.783  -0.696       5     0   200        1.17625    -0.00295106    4.43582e-06
-0.696  -0.609       5     0   200        1.20264    -0.00485424    5.79614e-05
-0.609  -0.522       5     0   200        1.22014     -0.0060584    8.98648e-05
-0.522  -0.435       5     0   200        1.23345     -0.0067045    0.000103918
-0.435  -0.348       5     0   200        1.24591    -0.00736384    0.000119244
-0.348  -0.261       5     0   200        1.25596    -0.00814533    0.000139286
-0.261  -0.174       5     0   200        1.26249    -0.00858307    0.000148733
-0.174  -0.087       5     0   200        1.26609    -0.00885455    0.000154744
-0.087       0       5     0   200        1.26865    -0.00920969    0.000164438
0   0.087       5     0   200        1.26507    -0.00903905     0.00015978
0.087   0.174       5     0   200        1.25508    -0.00825975    0.000137407
0.174   0.261       5     0   200        1.24478    -0.00761703    0.000119477
0.261   0.348       5     0   200        1.23679    -0.00739157    0.000114644
0.348   0.435       5     0   200        1.22914    -0.00744529    0.000119732
0.435   0.522       5     0   200        1.21395     -0.0070641    0.000113946
0.522   0.609       5     0   200        1.19768    -0.00642987    0.000100542
0.609   0.696       5     0   200        1.18598    -0.00601526    9.21873e-05
0.696   0.783       5     0   200        1.17331    -0.00582193    9.11129e-05
0.783   0.879       5     0   200        1.16309    -0.00587022    9.78792e-05
0.879   0.957       5     0   200        1.15549    -0.00591059    0.000103297
0.957   1.044       5     0   200        1.15031    -0.00601802    0.000110697
1.044   1.131       5     0   200        1.14342    -0.00594683    0.000113913
1.131   1.218       5     0   200        1.13428    -0.00560979    0.000110521
1.218   1.305       5     0   200        1.12665    -0.00563936    0.000120621
1.305   1.392       5     0   200        1.11704    -0.00556113    0.000129124
1.392   1.479       5     0   200        1.10398    -0.00510833    0.000127516
1.479   1.566       5     0   200        1.08878    -0.00445459     0.00012126
1.566   1.653       5     0   200        1.07406    -0.00408152    0.000121668
1.653    1.74       5     0   200        1.05639    -0.00345633    0.000113014
1.74    1.83       5     0   200        1.02849    -0.00175515    6.75713e-05
1.83    1.93       5     0   200       0.989916    0.000919851   -1.08117e-05
1.93   2.043       5     0   200       0.940785     0.00390507     -9.835e-05
2.043   2.172       5     0   200        0.89129     0.00694062   -0.000182944
2.172   2.322       5     0   200       0.859586      0.0108042   -0.000293466
2.322     2.5       5     0   200       0.872967      0.0131831   -0.000379082
2.5    2.65       5     0   200       0.907816      0.0137831   -0.000419658
2.65   2.853       5     0   200       0.946151      0.0146436   -0.000474555
2.853   2.964       5     0   200       0.984265      0.0138277   -0.000477264
2.964   3.139       5     0   200        1.01359      0.0123403   -0.000454523
3.139   3.314       5     0   200        1.04122      0.0107736   -0.000428913
3.314   3.489       5     0   200        1.06965     0.00855875   -0.000379028
3.489   3.664       5     0   200        1.08947     0.00664728   -0.000340589
3.664   3.839       5     0   200        1.07676     0.00491997   -0.000298108
3.839   4.013       5     0   200        1.02998     0.00462407    -0.00028006
4.013   4.191       5     0   200       0.990125     0.00433236   -0.000264963
4.191   4.363       5     0   200       0.963429     0.00292188   -0.000216927
4.363   4.538       5     0   200       0.940085     0.00264473   -0.000205228
4.538   4.716       5     0   200       0.928054     0.00230102   -0.000194348
4.716   4.889       5     0   200       0.919771     0.00188737   -0.000181508
4.889   5.191       5     0   200       0.912576     0.00217036   -0.000192725
