{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.03092     -0.0114928    0.000231266
-4.889  -4.716       5     0   200        1.02925     -0.0112139     0.00022534
-4.716  -4.538       5     0   200        1.03911     -0.0109355    0.000217643
-4.538  -4.363       5     0   200        1.05175     -0.0105945    0.000208547
-4.363  -4.191       5     0   200        1.07671     -0.0102604    0.000197973
-4.191  -4.013       5     0   200        1.11747     -0.0101884    0.000192624
-4.013  -3.839       5     0   200        1.16017     -0.0100997    0.000184778
-3.839  -3.664       5     0   200        1.21447     -0.0101122    0.000176872
-3.664  -3.489       5     0   200        1.23949    -0.00914799    0.000154074
-3.489  -3.314       5     0   200        1.22839    -0.00749589    0.000117051
-3.314  -3.139       5     0   200        1.21618     -0.0065161    9.84945e-05
-3.139  -2.964       5     0   200        1.19586    -0.00555679    8.36629e-05
-2.964  -2.853       5     0   200        1.17285    -0.00457777    6.88476e-05
-2.853   -2.65       5     0   200        1.13149    -0.00346675    5.48764e-05
-2.65    -2.5       5     0   200        1.07324    -0.00242125      4.559e-05
-2.5  -2.322       5     0   200        1.02716    -0.00223537    5.81935e-05
-2.322  -2.172       5     0   200        0.99051    -0.00264498    7.94693e-05
-2.172  -2.043       5     0   200       0.992955    -0.00397154    0.000113573
-2.043   -1.93       5     0   200        1.02478    -0.00581615    0.000162499
-1.93   -1.83       5     0   200        1.05512    -0.00722585    0.000201842
-1.83   -1.74       5     0   200         1.0744    -0.00803135    0.000224671
-1.74  -1.653       5     0   200        1.09058    -0.00857835    0.000237605
-1.653  -1.566       5     0   200         1.1062    -0.00904013    0.000244676
-1.566  -1.479       5     0   200         1.1217    -0.00951342    0.000250483
-1.479  -1.392       5     0   200        1.13732     -0.0100697    0.000256325
-1.392  -1.305       5     0   200        1.15355     -0.0106168    0.000261738
-1.305  -1.218       5     0   200        1.16939     -0.0110832    0.000265477
-1.218  -1.131       5     0   200        1.18359     -0.0113413    0.000264382
-1.131  -1.044       5     0   200         1.1986     -0.0117049    0.000267068
-1.044  -0.957       5     0   200        1.21289     -0.0119882    0.000268383
-0.957  -0.879       5     0   200        1.22833     -0.0124313    0.000275389
-0.879  -0.783       5     0   200        1.24794     -0.0132547    0.000294207
-0.783  -0.696       5     0   200         1.2707     -0.0143506    0.000320733
-0.696  -0.609       5     0   200        1.29035     -0.0152688     0.00034344
-0.609  -0.522       5     0   200        1.30332     -0.0158371    0.000356993
-0.522  -0.435       5     0   200        1.31554     -0.0163342    0.000368174
-0.435  -0.348       5     0   200        1.32755     -0.0169043    0.000381248
-0.348  -0.261       5     0   200        1.33431     -0.0172336    0.000387922
-0.261  -0.174       5     0   200         1.3402     -0.0175858    0.000395603
-0.174  -0.087       5     0   200        1.34471     -0.0179704    0.000405644
-0.087       0       5     0   200         1.3459     -0.0181404      0.0004101
0   0.087       5     0   200        1.34187     -0.0179168    0.000404215
0.087   0.174       5     0   200        1.33456     -0.0175453    0.000395186
0.174   0.261       5     0   200        1.32621     -0.0172467    0.000389282
0.261   0.348       5     0   200        1.31914      -0.017205    0.000391284
0.348   0.435       5     0   200        1.30882     -0.0169381    0.000387671
0.435   0.522       5     0   200        1.29031     -0.0160972    0.000368258
0.522   0.609       5     0   200        1.27006     -0.0149005    0.000338219
0.609   0.696       5     0   200        1.25338     -0.0138126    0.000310336
0.696   0.783       5     0   200        1.23367     -0.0127176    0.000282747
0.783   0.879       5     0   200        1.21562     -0.0118154    0.000261039
0.879   0.957       5     0   200        1.20116     -0.0111137    0.000244659
0.957   1.044       5     0   200        1.18962     -0.0105699     0.00023305
1.044   1.131       5     0   200        1.17852     -0.0101618    0.000227027
1.131   1.218       5     0   200        1.16693    -0.00975741     0.00022285
1.218   1.305       5     0   200        1.15402    -0.00936001    0.000220639
1.305   1.392       5     0   200        1.13856    -0.00876019    0.000213308
1.392   1.479       5     0   200        1.12186    -0.00805481    0.000203533
1.479   1.566       5     0   200        1.10386     -0.0072445    0.000191578
1.566   1.653       5     0   200        1.08598     -0.0064959    0.000178894
1.653    1.74       5     0   200        1.06761    -0.00569066    0.000162355
1.74    1.83       5     0   200        1.04961    -0.00508358    0.000148196
1.83    1.93       5     0   200        1.02989    -0.00463419    0.000136429
1.93   2.043       5     0   200       0.997037    -0.00367862    0.000110223
2.043   2.172       5     0   200        0.96202    -0.00245861    8.07195e-05
2.172   2.322       5     0   200       0.953209    -0.00138308      5.631e-05
2.322     2.5       5     0   200       0.990134    -0.00172405    5.64068e-05
2.5    2.65       5     0   200         1.0402     -0.0026812    6.51407e-05
2.65   2.853       5     0   200        1.09759      -0.003959    7.89648e-05
2.853   2.964       5     0   200         1.1437    -0.00561672     0.00010523
2.964   3.139       5     0   200        1.17337    -0.00709624    0.000131261
3.139   3.314       5     0   200        1.19754    -0.00837095    0.000153209
3.314   3.489       5     0   200        1.21494    -0.00933123    0.000169427
3.489   3.664       5     0   200         1.2336     -0.0110796    0.000207091
3.664   3.839       5     0   200        1.21608     -0.0121913    0.000231879
3.839   4.013       5     0   200         1.1637     -0.0117734     0.00022819
4.013   4.191       5     0   200        1.12163     -0.0117772    0.000234724
4.191   4.363       5     0   200        1.08441     -0.0118115    0.000240182
4.363   4.538       5     0   200        1.05918     -0.0118489    0.000244191
4.538   4.716       5     0   200        1.04716     -0.0121709    0.000253597
4.716   4.889       5     0   200        1.03772     -0.0123829    0.000259218
4.889   5.191       5     0   200        1.03387     -0.0125447    0.000261948
