{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.929598   -0.000172399   -0.000115563
-4.889  -4.716       5     0   200       0.933679   -0.000620122   -0.000101043
-4.716  -4.538       5     0   200       0.942962   -0.000299594   -0.000110819
-4.538  -4.363       5     0   200       0.956744   -0.000134347    -0.00011603
-4.363  -4.191       5     0   200       0.985555    -0.00034673   -0.000112457
-4.191  -4.013       5     0   200        1.02944   -0.000818401   -0.000102687
-4.013  -3.839       5     0   200        1.07438    -0.00119773    -9.6857e-05
-3.839  -3.664       5     0   200         1.1234   -0.000852795   -0.000115123
-3.664  -3.489       5     0   200        1.13225     0.00228462   -0.000205487
-3.489  -3.314       5     0   200        1.10817     0.00619042    -0.00031456
-3.314  -3.139       5     0   200        1.08875     0.00852001   -0.000373017
-3.139  -2.964       5     0   200        1.06162      0.0108762   -0.000430457
-2.964  -2.853       5     0   200        1.03217       0.013149   -0.000485482
-2.853   -2.65       5     0   200       0.985052      0.0155649   -0.000540212
-2.65    -2.5       5     0   200       0.921686      0.0179537   -0.000591731
-2.5  -2.322       5     0   200        0.87596      0.0187107   -0.000597655
-2.322  -2.172       5     0   200       0.850113      0.0173331   -0.000547093
-2.172  -2.043       5     0   200       0.872718      0.0132703   -0.000426856
-2.043   -1.93       5     0   200        0.91693     0.00927456   -0.000307782
-1.93   -1.83       5     0   200       0.956163     0.00622874   -0.000215845
-1.83   -1.74       5     0   200       0.978605     0.00481202    -0.00017652
-1.74  -1.653       5     0   200         1.0007     0.00329147   -0.000134896
-1.653  -1.566       5     0   200        1.02542     0.00137514    -8.1962e-05
-1.566  -1.479       5     0   200        1.04941   -0.000440128   -3.32981e-05
-1.479  -1.392       5     0   200        1.07142    -0.00203753    7.14479e-06
-1.392  -1.305       5     0   200        1.09265    -0.00341523    4.08064e-05
-1.305  -1.218       5     0   200        1.11442    -0.00477852    7.39098e-05
-1.218  -1.131       5     0   200        1.13534     -0.0059764    0.000102207
-1.131  -1.044       5     0   200        1.15468     -0.0069788    0.000125574
-1.044  -0.957       5     0   200        1.17468     -0.0080579    0.000151843
-0.957  -0.879       5     0   200        1.19547     -0.0092091    0.000180426
-0.879  -0.783       5     0   200        1.21869     -0.0104851    0.000212573
-0.783  -0.696       5     0   200        1.24481     -0.0119861    0.000250789
-0.696  -0.609       5     0   200        1.26611      -0.013071     0.00027702
-0.609  -0.522       5     0   200        1.27904     -0.0135551    0.000285856
-0.522  -0.435       5     0   200        1.29069     -0.0139317    0.000292358
-0.435  -0.348       5     0   200        1.29973     -0.0141388    0.000294831
-0.348  -0.261       5     0   200        1.30393     -0.0141427    0.000291969
-0.261  -0.174       5     0   200        1.30659     -0.0140672    0.000286615
-0.174  -0.087       5     0   200        1.30728     -0.0139253    0.000279812
-0.087       0       5     0   200        1.30771     -0.0139698    0.000279933
0   0.087       5     0   200        1.30405     -0.0137704    0.000274559
0.087   0.174       5     0   200        1.29718     -0.0134137    0.000265489
0.174   0.261       5     0   200        1.28706     -0.0128401    0.000250736
0.261   0.348       5     0   200        1.27605     -0.0122651    0.000236728
0.348   0.435       5     0   200         1.2651     -0.0118627    0.000228574
0.435   0.522       5     0   200        1.24696     -0.0110017    0.000207896
0.522   0.609       5     0   200        1.22695    -0.00980646    0.000177417
0.609   0.696       5     0   200        1.21265    -0.00903326    0.000159272
0.696   0.783       5     0   200        1.19832    -0.00860301    0.000151699
0.783   0.879       5     0   200        1.18626    -0.00844379    0.000152104
0.879   0.957       5     0   200        1.17679    -0.00835803    0.000154164
0.957   1.044       5     0   200        1.16673    -0.00800906    0.000148703
1.044   1.131       5     0   200        1.15306    -0.00727079    0.000132538
1.131   1.218       5     0   200         1.1361    -0.00616719    0.000106531
1.218   1.305       5     0   200        1.11476    -0.00466314    6.98255e-05
1.305   1.392       5     0   200        1.09289    -0.00319465     3.5643e-05
1.392   1.479       5     0   200        1.06891    -0.00146882   -6.02012e-06
1.479   1.566       5     0   200        1.04254     0.00056326   -5.73331e-05
1.566   1.653       5     0   200        1.01671     0.00248826     -0.0001067
1.653    1.74       5     0   200       0.991946      0.0042637   -0.000152218
1.74    1.83       5     0   200       0.969449     0.00550541   -0.000182286
1.83    1.93       5     0   200       0.943158       0.006829   -0.000215644
1.93   2.043       5     0   200       0.891347      0.0105709   -0.000327249
2.043   2.172       5     0   200       0.830127      0.0155907   -0.000475045
2.172   2.322       5     0   200       0.791948      0.0205553   -0.000620566
2.322     2.5       5     0   200       0.808121      0.0225374   -0.000692382
2.5    2.65       5     0   200       0.853761      0.0216888   -0.000688403
2.65   2.853       5     0   200        0.91234      0.0196993    -0.00065364
2.853   2.964       5     0   200       0.958525      0.0175073    -0.00060978
2.964   3.139       5     0   200       0.990101      0.0153803   -0.000563565
3.139   3.314       5     0   200        1.02084      0.0128885    -0.00050703
3.314   3.489       5     0   200        1.04975      0.0101753   -0.000440749
3.489   3.664       5     0   200        1.08742     0.00550537   -0.000311917
3.664   3.839       5     0   200        1.08746     0.00209059   -0.000215546
3.839   4.013       5     0   200        1.04444     0.00161142   -0.000192331
4.013   4.191       5     0   200        1.00725     0.00121002   -0.000173903
4.191   4.363       5     0   200       0.976291    0.000578361   -0.000150238
4.363   4.538       5     0   200       0.955711    0.000102598   -0.000133409
4.538   4.716       5     0   200       0.945789   -0.000409948    -0.00011772
4.716   4.889       5     0   200       0.936232   -0.000552559   -0.000113376
4.889   5.191       5     0   200       0.930378   -0.000418919   -0.000119444
