{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.02465    -0.00860666    0.000158956
-4.889  -4.716       5     0   200       0.998664    -0.00868751    0.000165778
-4.716  -4.538       5     0   200       0.987654    -0.00877872    0.000170924
-4.538  -4.363       5     0   200       0.985039    -0.00875011    0.000172033
-4.363  -4.191       5     0   200        1.00546    -0.00871629    0.000172449
-4.191  -4.013       5     0   200         1.0409    -0.00875897    0.000175505
-4.013  -3.839       5     0   200        1.09245    -0.00886621    0.000179294
-3.839  -3.664       5     0   200        1.17242    -0.00915394    0.000185586
-3.664  -3.489       5     0   200        1.25395    -0.00946118     0.00019067
-3.489  -3.314       5     0   200        1.33765     -0.0098744    0.000194183
-3.314  -3.139       5     0   200        1.36834    -0.00835712    0.000175902
-3.139  -2.964       5     0   200        1.24222    -0.00480953    0.000114371
-2.964  -2.853       5     0   200        1.13977    -0.00342738    0.000100021
-2.853   -2.65       5     0   200        1.04751    -0.00244056    9.41247e-05
-2.65    -2.5       5     0   200       0.965373    -0.00177581     8.8555e-05
-2.5  -2.322       5     0   200        0.96661    -0.00299832     0.00011658
-2.322  -2.172       5     0   200       0.988242    -0.00284563    0.000133529
-2.172  -2.043       5     0   200       0.992128    -0.00122613     0.00010944
-2.043   -1.93       5     0   200        1.01194    -0.00204389    0.000126788
-1.93   -1.83       5     0   200        1.03534    -0.00376258    0.000151409
-1.83   -1.74       5     0   200        1.05585    -0.00553417    0.000172875
-1.74  -1.653       5     0   200        1.08569     -0.0071368    0.000194456
-1.653  -1.566       5     0   200        1.10721    -0.00864582    0.000217503
-1.566  -1.479       5     0   200        1.12669    -0.00991145    0.000238673
-1.479  -1.392       5     0   200        1.14754     -0.0110505    0.000259291
-1.392  -1.305       5     0   200        1.16718     -0.0120379    0.000279384
-1.305  -1.218       5     0   200        1.18877     -0.0131163    0.000302583
-1.218  -1.131       5     0   200        1.20899     -0.0138929    0.000319639
-1.131  -1.044       5     0   200        1.22993     -0.0146228    0.000335048
-1.044  -0.957       5     0   200        1.24642     -0.0150348    0.000344799
-0.957  -0.879       5     0   200        1.25835     -0.0154962    0.000353672
-0.879  -0.783       5     0   200        1.28298     -0.0162007    0.000367021
-0.783  -0.696       5     0   200         1.3019     -0.0168238    0.000377952
-0.696  -0.609       5     0   200        1.31165     -0.0169202    0.000377984
-0.609  -0.522       5     0   200        1.32722     -0.0173342    0.000383635
-0.522  -0.435       5     0   200        1.34731     -0.0180987    0.000398304
-0.435  -0.348       5     0   200        1.37266     -0.0193444    0.000422883
-0.348  -0.261       5     0   200        1.39322     -0.0204842    0.000445886
-0.261  -0.174       5     0   200        1.40626     -0.0213466    0.000463372
-0.174  -0.087       5     0   200        1.40339     -0.0211664    0.000459333
-0.087       0       5     0   200        1.39642     -0.0208304    0.000452324
0   0.087       5     0   200        1.38326     -0.0203111    0.000443692
0.087   0.174       5     0   200        1.37858     -0.0205831    0.000452953
0.174   0.261       5     0   200        1.36095     -0.0200168    0.000445804
0.261   0.348       5     0   200        1.34055     -0.0192875    0.000433908
0.348   0.435       5     0   200        1.31769     -0.0182873    0.000415414
0.435   0.522       5     0   200        1.29736     -0.0172662    0.000393932
0.522   0.609       5     0   200        1.28626     -0.0170148    0.000389037
0.609   0.696       5     0   200        1.28067     -0.0171626    0.000392623
0.696   0.783       5     0   200        1.27454      -0.017174    0.000393576
0.783   0.879       5     0   200        1.26289     -0.0167977    0.000385492
0.879   0.957       5     0   200        1.24066     -0.0161379    0.000370036
0.957   1.044       5     0   200        1.24915     -0.0165725    0.000376577
1.044   1.131       5     0   200         1.2473     -0.0168123    0.000379979
1.131   1.218       5     0   200        1.24116     -0.0169283     0.00038239
1.218   1.305       5     0   200         1.2294     -0.0165967    0.000375932
1.305   1.392       5     0   200         1.2095     -0.0152529    0.000346431
1.392   1.479       5     0   200        1.18612     -0.0135869    0.000311054
1.479   1.566       5     0   200        1.15828     -0.0115087    0.000268967
1.566   1.653       5     0   200        1.12879    -0.00924642    0.000226872
1.653    1.74       5     0   200        1.08962    -0.00643374    0.000178334
1.74    1.83       5     0   200        1.03734    -0.00370958    0.000134473
1.83    1.93       5     0   200        1.00405    -0.00142831     0.00010651
1.93   2.043       5     0   200       0.976336   -0.000243754    0.000103059
2.043   2.172       5     0   200        0.96336   -0.000979343    0.000132541
2.172   2.322       5     0   200       0.960915    -0.00375143    0.000187976
2.322     2.5       5     0   200       0.924043    -0.00292262    0.000136839
2.5    2.65       5     0   200       0.907637   -0.000273748    6.48276e-05
2.65   2.853       5     0   200       0.982683   -0.000476882    5.15453e-05
2.853   2.964       5     0   200        1.08029    -0.00170509    5.82717e-05
2.964   3.139       5     0   200        1.19232    -0.00387284    8.99608e-05
3.139   3.314       5     0   200        1.34171    -0.00932071    0.000195682
3.314   3.489       5     0   200        1.32486     -0.0115683    0.000229667
3.489   3.664       5     0   200        1.23868     -0.0103974    0.000205322
3.664   3.839       5     0   200        1.16234    -0.00979738    0.000191765
3.839   4.013       5     0   200         1.0923    -0.00934329    0.000181481
4.013   4.191       5     0   200        1.04887    -0.00935265    0.000181654
4.191   4.363       5     0   200        1.02179    -0.00953702     0.00018498
4.363   4.538       5     0   200        0.99597    -0.00919287    0.000175616
4.538   4.716       5     0   200        0.98639    -0.00871254    0.000162158
4.716   4.889       5     0   200       0.993382    -0.00869896    0.000159551
4.889   5.191       5     0   200        1.01864    -0.00926241    0.000171071
