{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.02067    -0.00753214    0.000138471
-4.889  -4.716       5     0   200        0.98993    -0.00705587    0.000130745
-4.716  -4.538       5     0   200       0.970013    -0.00617841    0.000111567
-4.538  -4.363       5     0   200       0.962955    -0.00570439     0.00010154
-4.363  -4.191       5     0   200       0.984433    -0.00582027    0.000105807
-4.191  -4.013       5     0   200        1.02497     -0.0064536    0.000123883
-4.013  -3.839       5     0   200        1.08614    -0.00766315    0.000155701
-3.839  -3.664       5     0   200        1.17494    -0.00897326    0.000188279
-3.664  -3.489       5     0   200        1.25873    -0.00962412    0.000202984
-3.489  -3.314       5     0   200        1.34189      -0.010188    0.000212194
-3.314  -3.139       5     0   200        1.35197     -0.0066106     0.00014936
-3.139  -2.964       5     0   200        1.19262   -0.000307962    2.84042e-05
-2.964  -2.853       5     0   200        1.06918     0.00213171    -5.7135e-06
-2.853   -2.65       5     0   200        0.96528     0.00320739   -7.49733e-06
-2.65    -2.5       5     0   200        0.88973     0.00245494    2.78585e-05
-2.5  -2.322       5     0   200       0.913279     -0.0015922    0.000133082
-2.322  -2.172       5     0   200       0.962064     -0.0036979    0.000216745
-2.172  -2.043       5     0   200       0.980238    -0.00208673    0.000194529
-2.043   -1.93       5     0   200       0.996029    -0.00196503    0.000181512
-1.93   -1.83       5     0   200        1.00685    -0.00229524    0.000160509
-1.83   -1.74       5     0   200        1.02271    -0.00346964    0.000155634
-1.74  -1.653       5     0   200          1.056    -0.00521851    0.000171418
-1.653  -1.566       5     0   200        1.08828    -0.00765333    0.000210202
-1.566  -1.479       5     0   200        1.11642    -0.00961822    0.000243395
-1.479  -1.392       5     0   200        1.14496     -0.0112755    0.000272518
-1.392  -1.305       5     0   200        1.17227     -0.0127224    0.000299903
-1.305  -1.218       5     0   200        1.20795     -0.0149524    0.000347693
-1.218  -1.131       5     0   200        1.24056     -0.0167434    0.000386085
-1.131  -1.044       5     0   200        1.26858     -0.0180879    0.000413767
-1.044  -0.957       5     0   200        1.28808     -0.0189001    0.000432502
-0.957  -0.879       5     0   200        1.30162     -0.0196614    0.000448782
-0.879  -0.783       5     0   200        1.31539     -0.0193308    0.000437176
-0.783  -0.696       5     0   200        1.32812     -0.0194178    0.000435867
-0.696  -0.609       5     0   200        1.33622     -0.0194566    0.000435328
-0.609  -0.522       5     0   200        1.34788     -0.0195354    0.000433321
-0.522  -0.435       5     0   200        1.36856     -0.0204577    0.000452125
-0.435  -0.348       5     0   200        1.39757     -0.0222081    0.000489046
-0.348  -0.261       5     0   200        1.42264     -0.0239347    0.000526319
-0.261  -0.174       5     0   200         1.4312     -0.0243933    0.000533719
-0.174  -0.087       5     0   200        1.42655     -0.0240686    0.000525988
-0.087       0       5     0   200        1.42167     -0.0239603    0.000524478
0   0.087       5     0   200         1.4083     -0.0233854    0.000514376
0.087   0.174       5     0   200        1.39994     -0.0231336    0.000510199
0.174   0.261       5     0   200        1.37976     -0.0220881    0.000490112
0.261   0.348       5     0   200        1.35104     -0.0201861    0.000447846
0.348   0.435       5     0   200        1.32697      -0.018772    0.000418089
0.435   0.522       5     0   200        1.30661     -0.0174939    0.000389507
0.522   0.609       5     0   200        1.29901      -0.017401    0.000387537
0.609   0.696       5     0   200        1.29564     -0.0176357    0.000392613
0.696   0.783       5     0   200        1.29388     -0.0180691    0.000403811
0.783   0.879       5     0   200        1.28894     -0.0184079    0.000413483
0.879   0.957       5     0   200        1.27233     -0.0182271    0.000409207
0.957   1.044       5     0   200        1.28423     -0.0189612    0.000423434
1.044   1.131       5     0   200         1.2824     -0.0192362    0.000429477
1.131   1.218       5     0   200        1.26944     -0.0187907    0.000421369
1.218   1.305       5     0   200        1.25227     -0.0181056    0.000410181
1.305   1.392       5     0   200        1.23052     -0.0167559    0.000384474
1.392   1.479       5     0   200        1.20504     -0.0150681    0.000352718
1.479   1.566       5     0   200        1.17384     -0.0128832    0.000312844
1.566   1.653       5     0   200        1.13928     -0.0104083    0.000273247
1.653    1.74       5     0   200         1.0938    -0.00733303    0.000229414
1.74    1.83       5     0   200         1.0372    -0.00438622    0.000191897
1.83    1.93       5     0   200        1.00061    -0.00195085    0.000174877
1.93   2.043       5     0   200        0.96414   -0.000325476    0.000176789
2.043   2.172       5     0   200       0.930918   -0.000240632    0.000200517
2.172   2.322       5     0   200       0.901669    -0.00303107    0.000262759
2.322     2.5       5     0   200       0.841069    0.000273586    0.000130796
2.5    2.65       5     0   200       0.812535     0.00546985   -2.15477e-05
2.65   2.853       5     0   200       0.895626     0.00582558   -6.33729e-05
2.853   2.964       5     0   200        1.01834      0.0036967   -4.73661e-05
2.964   3.139       5     0   200        1.14989    0.000854465   -7.62413e-06
3.139   3.314       5     0   200        1.31921    -0.00657195    0.000141985
3.314   3.489       5     0   200        1.31613     -0.0103895    0.000210585
3.489   3.664       5     0   200        1.22976    -0.00914722    0.000183058
3.664   3.839       5     0   200        1.15829    -0.00904257    0.000180721
3.839   4.013       5     0   200         1.0936    -0.00914925    0.000183662
4.013   4.191       5     0   200        1.04708    -0.00880044    0.000174786
4.191   4.363       5     0   200        1.01912    -0.00882404      0.0001737
4.363   4.538       5     0   200       0.995372    -0.00862764    0.000167299
4.538   4.716       5     0   200       0.985923    -0.00808331    0.000151613
4.716   4.889       5     0   200       0.992126    -0.00791525    0.000144882
4.889   5.191       5     0   200        1.01445    -0.00809455    0.000146964
