{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.984122    -0.00657545    0.000119372
-4.889  -4.716       5     0   200       0.979819     -0.0061116    0.000109623
-4.716  -4.538       5     0   200        0.99268    -0.00628052    0.000115289
-4.538  -4.363       5     0   200         1.0093    -0.00652658    0.000123205
-4.363  -4.191       5     0   200        1.03774    -0.00682091    0.000131763
-4.191  -4.013       5     0   200        1.07954    -0.00718419    0.000141574
-4.013  -3.839       5     0   200        1.12183    -0.00744306    0.000148259
-3.839  -3.664       5     0   200        1.17495    -0.00785553    0.000157736
-3.664  -3.489       5     0   200        1.19483    -0.00654386    0.000138454
-3.489  -3.314       5     0   200        1.18185    -0.00483039    0.000110865
-3.314  -3.139       5     0   200        1.16574    -0.00397816    0.000103998
-3.139  -2.964       5     0   200        1.14113    -0.00283794     9.1649e-05
-2.964  -2.853       5     0   200        1.11582    -0.00165051    7.82793e-05
-2.853   -2.65       5     0   200        1.07304   -0.000223522    6.17982e-05
-2.65    -2.5       5     0   200         1.0181    0.000808363    5.55493e-05
-2.5  -2.322       5     0   200       0.975486      0.0010234    6.39977e-05
-2.322  -2.172       5     0   200       0.942138    0.000598749    7.86748e-05
-2.172  -2.043       5     0   200       0.954709    -0.00170563    0.000124907
-2.043   -1.93       5     0   200       0.996764    -0.00448338    0.000186055
-1.93   -1.83       5     0   200        1.03628    -0.00645878    0.000229976
-1.83   -1.74       5     0   200         1.0619    -0.00708915    0.000239387
-1.74  -1.653       5     0   200        1.08554    -0.00784389     0.00024962
-1.653  -1.566       5     0   200        1.10927    -0.00896669    0.000266234
-1.566  -1.479       5     0   200        1.13172     -0.0100792    0.000281276
-1.479  -1.392       5     0   200        1.15327      -0.011331    0.000298528
-1.392  -1.305       5     0   200        1.17735     -0.0128024    0.000322673
-1.305  -1.218       5     0   200        1.20151     -0.0142488    0.000347688
-1.218  -1.131       5     0   200        1.22181     -0.0152558    0.000363584
-1.131  -1.044       5     0   200        1.24085     -0.0161013    0.000377041
-1.044  -0.957       5     0   200        1.25935     -0.0168489    0.000389154
-0.957  -0.879       5     0   200        1.27987     -0.0177857    0.000406824
-0.879  -0.783       5     0   200         1.3052     -0.0190961    0.000434073
-0.783  -0.696       5     0   200        1.33272     -0.0205713    0.000465117
-0.696  -0.609       5     0   200        1.35405     -0.0216368    0.000487357
-0.609  -0.522       5     0   200        1.36594     -0.0221466    0.000497167
-0.522  -0.435       5     0   200        1.37307      -0.022181    0.000495651
-0.435  -0.348       5     0   200        1.37764     -0.0220419    0.000490347
-0.348  -0.261       5     0   200        1.38088     -0.0220758    0.000489797
-0.261  -0.174       5     0   200        1.38429     -0.0221909    0.000491369
-0.174  -0.087       5     0   200        1.38439     -0.0220974    0.000488846
-0.087       0       5     0   200        1.38429     -0.0221173    0.000489222
0   0.087       5     0   200        1.38274     -0.0221389    0.000489822
0.087   0.174       5     0   200        1.37696     -0.0218507    0.000482788
0.174   0.261       5     0   200        1.36912     -0.0214759    0.000473982
0.261   0.348       5     0   200        1.36286     -0.0213505    0.000471862
0.348   0.435       5     0   200        1.35682      -0.021368    0.000473889
0.435   0.522       5     0   200        1.34642     -0.0211973    0.000471331
0.522   0.609       5     0   200        1.33607     -0.0208963    0.000465227
0.609   0.696       5     0   200        1.32533     -0.0203726    0.000454109
0.696   0.783       5     0   200        1.30929     -0.0196478    0.000439125
0.783   0.879       5     0   200        1.29179     -0.0188273    0.000422789
0.879   0.957       5     0   200        1.27811     -0.0182362    0.000411863
0.957   1.044       5     0   200        1.26668     -0.0177039    0.000402284
1.044   1.131       5     0   200        1.25317     -0.0170135    0.000390212
1.131   1.218       5     0   200        1.23801     -0.0162066    0.000377247
1.218   1.305       5     0   200        1.21888     -0.0151239     0.00036059
1.305   1.392       5     0   200        1.19713     -0.0138514    0.000341703
1.392   1.479       5     0   200        1.17458     -0.0125613    0.000324924
1.479   1.566       5     0   200        1.14986     -0.0111325    0.000307447
1.566   1.653       5     0   200         1.1237    -0.00986718    0.000294056
1.653    1.74       5     0   200        1.09687    -0.00872422    0.000283256
1.74    1.83       5     0   200        1.06804    -0.00800046    0.000280029
1.83    1.93       5     0   200        1.03405    -0.00730473    0.000274832
1.93   2.043       5     0   200       0.982587    -0.00470459    0.000217668
2.043   2.172       5     0   200       0.924867   -0.000932136    0.000133631
2.172   2.322       5     0   200       0.900561     0.00207544    6.86133e-05
2.322     2.5       5     0   200       0.929813      0.0025245    4.99063e-05
2.5    2.65       5     0   200       0.975489     0.00188348    4.78668e-05
2.65   2.853       5     0   200        1.02872    0.000893071    4.83336e-05
2.853   2.964       5     0   200        1.07499   -0.000756343     6.4676e-05
2.964   3.139       5     0   200        1.10655    -0.00223867    7.97617e-05
3.139   3.314       5     0   200        1.13553    -0.00354995    9.00334e-05
3.314   3.489       5     0   200        1.16245     -0.0049043    0.000105873
3.489   3.664       5     0   200        1.18886    -0.00773125    0.000160353
3.664   3.839       5     0   200        1.17757    -0.00957376    0.000192934
3.839   4.013       5     0   200        1.12792    -0.00907723    0.000181467
4.013   4.191       5     0   200        1.08781    -0.00891984    0.000177524
4.191   4.363       5     0   200        1.05426    -0.00901769      0.0001791
4.363   4.538       5     0   200        1.02859     -0.0087661    0.000172168
4.538   4.716       5     0   200        1.01558     -0.0087595    0.000170504
4.716   4.889       5     0   200        1.00649    -0.00882989    0.000171046
4.889   5.191       5     0   200       0.999052    -0.00846763    0.000160043
