{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.790032     0.00971742   -0.000248398
-4.889  -4.716       5     0   200       0.791193      0.0094167   -0.000238432
-4.716  -4.538       5     0   200       0.801758     0.00942776   -0.000236732
-4.538  -4.363       5     0   200       0.814623      0.0095325   -0.000237101
-4.363  -4.191       5     0   200       0.833491      0.0101263   -0.000249669
-4.191  -4.013       5     0   200       0.862765      0.0109319   -0.000268052
-4.013  -3.839       5     0   200       0.893681      0.0117651   -0.000287946
-3.839  -3.664       5     0   200       0.932142      0.0129686   -0.000318775
-3.664  -3.489       5     0   200       0.958219      0.0141074   -0.000346992
-3.489  -3.314       5     0   200        0.95812      0.0144332   -0.000365073
-3.314  -3.139       5     0   200       0.948995      0.0154219   -0.000401098
-3.139  -2.964       5     0   200       0.937309      0.0162232    -0.00042962
-2.964  -2.853       5     0   200       0.924933      0.0168045   -0.000447301
-2.853   -2.65       5     0   200       0.907309       0.016588   -0.000441383
-2.65    -2.5       5     0   200       0.877564      0.0159154   -0.000419121
-2.5  -2.322       5     0   200       0.851662      0.0149121   -0.000384991
-2.322  -2.172       5     0   200       0.829499      0.0130827   -0.000325521
-2.172  -2.043       5     0   200       0.833792      0.0117803   -0.000279276
-2.043   -1.93       5     0   200       0.864087      0.0115945   -0.000252466
-1.93   -1.83       5     0   200       0.895173      0.0115416   -0.000225733
-1.83   -1.74       5     0   200       0.920864      0.0103654   -0.000177897
-1.74  -1.653       5     0   200       0.940736     0.00929277   -0.000139201
-1.653  -1.566       5     0   200       0.955107     0.00848698   -0.000113925
-1.566  -1.479       5     0   200       0.966547     0.00790512   -9.84913e-05
-1.479  -1.392       5     0   200       0.975047     0.00752071   -9.36351e-05
-1.392  -1.305       5     0   200       0.979946     0.00739098   -9.62258e-05
-1.305  -1.218       5     0   200       0.983611     0.00732141   -0.000100694
-1.218  -1.131       5     0   200       0.988223     0.00726713   -0.000105526
-1.131  -1.044       5     0   200       0.994535     0.00711965   -0.000107245
-1.044  -0.957       5     0   200        1.00067     0.00710395   -0.000111691
-0.957  -0.879       5     0   200        1.00777     0.00711616   -0.000116517
-0.879  -0.783       5     0   200        1.01795      0.0069728   -0.000117185
-0.783  -0.696       5     0   200        1.03039     0.00664253   -0.000112778
-0.696  -0.609       5     0   200        1.03867     0.00635948   -0.000109645
-0.609  -0.522       5     0   200           1.04     0.00618062   -0.000107261
-0.522  -0.435       5     0   200         1.0411     0.00604977   -0.000104737
-0.435  -0.348       5     0   200        1.04282     0.00589966    -0.00010137
-0.348  -0.261       5     0   200          1.041     0.00599054    -0.00010393
-0.261  -0.174       5     0   200        1.04066     0.00594517   -0.000102623
-0.174  -0.087       5     0   200        1.04126     0.00576954   -9.71303e-05
-0.087       0       5     0   200        1.04317     0.00543363   -8.76694e-05
0   0.087       5     0   200        1.04386     0.00519149   -8.12929e-05
0.087   0.174       5     0   200        1.04376     0.00500493   -7.67188e-05
0.174   0.261       5     0   200        1.04256     0.00492358   -7.45979e-05
0.261   0.348       5     0   200        1.04277       0.004769   -7.05813e-05
0.348   0.435       5     0   200        1.04183     0.00475797   -7.00442e-05
0.435   0.522       5     0   200        1.03356     0.00526548   -8.14278e-05
0.522   0.609       5     0   200        1.02586     0.00575353   -9.22781e-05
0.609   0.696       5     0   200        1.02006     0.00625142   -0.000102966
0.696   0.783       5     0   200        1.00755     0.00705028   -0.000119632
0.783   0.879       5     0   200       0.992957     0.00783311   -0.000136502
0.879   0.957       5     0   200       0.981964     0.00832102   -0.000145381
0.957   1.044       5     0   200       0.973887       0.008612   -0.000148227
1.044   1.131       5     0   200       0.965598     0.00893039    -0.00015071
1.131   1.218       5     0   200       0.958303     0.00922297   -0.000151838
1.218   1.305       5     0   200       0.952391     0.00945373   -0.000150153
1.305   1.392       5     0   200        0.94625     0.00987075   -0.000153344
1.392   1.479       5     0   200       0.939194      0.0103327   -0.000157518
1.479   1.566       5     0   200       0.931646      0.0106802   -0.000158291
1.566   1.653       5     0   200       0.921894      0.0111749   -0.000168392
1.653    1.74       5     0   200       0.909908      0.0118581   -0.000187847
1.74    1.83       5     0   200       0.893183      0.0126279   -0.000215055
1.83    1.93       5     0   200       0.870729      0.0134138   -0.000248703
1.93   2.043       5     0   200       0.846048      0.0128392   -0.000258578
2.043   2.172       5     0   200       0.821452      0.0123853   -0.000269136
2.172   2.322       5     0   200       0.823373      0.0126456   -0.000288675
2.322     2.5       5     0   200        0.85053      0.0132952   -0.000320093
2.5    2.65       5     0   200       0.876606      0.0140121   -0.000351658
2.65   2.853       5     0   200       0.902198      0.0146553   -0.000377773
2.853   2.964       5     0   200       0.918288      0.0147602   -0.000385577
2.964   3.139       5     0   200       0.927099      0.0144594   -0.000379218
3.139   3.314       5     0   200       0.934977      0.0138139   -0.000358868
3.314   3.489       5     0   200       0.943489      0.0131632   -0.000335786
3.489   3.664       5     0   200       0.945119      0.0129048   -0.000321859
3.664   3.839       5     0   200       0.920701      0.0120539   -0.000301897
3.839   4.013       5     0   200       0.886107      0.0110226   -0.000276049
4.013   4.191       5     0   200       0.860574     0.00999876   -0.000251348
4.191   4.363       5     0   200       0.837531      0.0091401   -0.000231575
4.363   4.538       5     0   200       0.822013     0.00862656   -0.000220234
4.538   4.716       5     0   200       0.815557     0.00817701   -0.000210367
4.716   4.889       5     0   200       0.811819     0.00779341   -0.000201827
4.889   5.191       5     0   200       0.811928     0.00774159   -0.000202107
