{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.838132     0.00817378   -0.000240393
-4.889  -4.716       5     0   200       0.816792     0.00747729   -0.000220209
-4.716  -4.538       5     0   200       0.808674     0.00689672   -0.000203807
-4.538  -4.363       5     0   200       0.808284     0.00653896   -0.000193566
-4.363  -4.191       5     0   200       0.827292     0.00660838   -0.000193811
-4.191  -4.013       5     0   200       0.856259     0.00722433   -0.000206538
-4.013  -3.839       5     0   200       0.895883     0.00825983   -0.000229394
-3.839  -3.664       5     0   200       0.957917      0.0095307    -0.00025852
-3.664  -3.489       5     0   200        1.02284      0.0105465   -0.000282565
-3.489  -3.314       5     0   200        1.09232      0.0113097   -0.000304733
-3.314  -3.139       5     0   200        1.14104      0.0119933   -0.000316709
-3.139  -2.964       5     0   200        1.06695     0.00886996   -0.000266479
-2.964  -2.853       5     0   200       0.990025     0.00667499    -0.00022589
-2.853   -2.65       5     0   200       0.921539     0.00502498   -0.000189675
-2.65    -2.5       5     0   200       0.858465     0.00377947   -0.000149845
-2.5  -2.322       5     0   200       0.873321     0.00469928   -0.000155934
-2.322  -2.172       5     0   200       0.924106     0.00808734   -0.000180119
-2.172  -2.043       5     0   200       0.939795      0.0101454   -0.000182255
-2.043   -1.93       5     0   200       0.939355      0.0109126   -0.000176465
-1.93   -1.83       5     0   200       0.939318     0.00992825   -0.000154221
-1.83   -1.74       5     0   200       0.939318      0.0086342   -0.000127402
-1.74  -1.653       5     0   200       0.955878     0.00709876   -9.71264e-05
-1.653  -1.566       5     0   200       0.972105     0.00547444   -6.55865e-05
-1.566  -1.479       5     0   200       0.990739     0.00415332   -4.05327e-05
-1.479  -1.392       5     0   200        1.01455      0.0027559   -1.31292e-05
-1.392  -1.305       5     0   200          1.041     0.00133089    1.59655e-05
-1.305  -1.218       5     0   200        1.07101   -0.000118962    4.58107e-05
-1.218  -1.131       5     0   200        1.09608   -0.000982786    6.23346e-05
-1.131  -1.044       5     0   200        1.11602    -0.00165743    7.40117e-05
-1.044  -0.957       5     0   200        1.12332    -0.00206199    7.85034e-05
-0.957  -0.879       5     0   200        1.11903    -0.00220908    8.21493e-05
-0.879  -0.783       5     0   200        1.12355    -0.00229925    8.38849e-05
-0.783  -0.696       5     0   200        1.11827    -0.00194312     7.6677e-05
-0.696  -0.609       5     0   200         1.1119    -0.00143894    6.69582e-05
-0.609  -0.522       5     0   200        1.11073    -0.00113042    6.06057e-05
-0.522  -0.435       5     0   200        1.11431    -0.00117135    6.16458e-05
-0.435  -0.348       5     0   200        1.12475    -0.00168186    7.16649e-05
-0.348  -0.261       5     0   200        1.13586    -0.00228353    8.16507e-05
-0.261  -0.174       5     0   200        1.13759    -0.00236185     8.1053e-05
-0.174  -0.087       5     0   200        1.13118    -0.00180663    6.67569e-05
-0.087       0       5     0   200        1.12993    -0.00174028    6.47577e-05
0   0.087       5     0   200        1.12787    -0.00183126    6.82264e-05
0.087   0.174       5     0   200        1.12316    -0.00165742     6.4921e-05
0.174   0.261       5     0   200        1.11363    -0.00135974    6.17484e-05
0.261   0.348       5     0   200        1.10588    -0.00125046    6.32484e-05
0.348   0.435       5     0   200        1.09447   -0.000945644    6.04349e-05
