{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7095  0.0837  0.1827
  -4.583 -4.013  5  10  245    0.7378  0.2528  0.5000
  -4.013 -3.839  5  10  292    0.8088  0.1460  0.3635
  -3.839 -3.489  5  10  414    0.8970  0.0378  0.2771
  -3.489 -3.314  5  10  493    0.9418  0.0611  0.3584
  -3.314 -3.139  5  10  588    0.9258  0.0829  0.4491
  -3.139 -2.964  5  10  700    0.8706  0.1445  0.5000
  -2.964 -2.853  5  10  781    0.7302  0.2045  0.4929
  -2.853 -2.650  5  10  956    0.7462  0.1328  0.2371
  -2.650 -2.500  5  10 1108    0.8349  0.1004  0.1862
  -2.500 -2.322  5  10 1321    0.9265  0.0667  0.2088
  -2.322 -2.172  5  10 1529    0.9666  0.0265  0.1305
  -2.172 -1.930  5  10 1933    0.9820  0.0243  0.1018
  -1.930 -1.653  5  10 2511    0.9840  0.0209  0.0517
  -1.653 -1.479  5  10 2946    0.9835  0.0058  0.0244
  -1.479 -1.305  5  10 3435    0.9841  0.0117  0.0625
  -1.305 -1.044  5  10 4259    0.9968 -0.0197 -0.0132
  -1.044 -0.783  5  10 5141    1.0025 -0.0103 -0.0263
  -0.783 -0.522  5  10 5968    1.0069 -0.0019 -0.0277
  -0.522 -0.261  5  10 6574    1.0026  0.0027 -0.0013
  -0.261 -0.000  5  10 6800    0.9999  0.0067  0.0054
  +0.000 +0.261  5  10 6800    0.9999  0.0067  0.0054
  +0.261 +0.522  5  10 6574    1.0026  0.0027 -0.0013
  +0.522 +0.783  5  10 5968    1.0069 -0.0019 -0.0277
  +0.783 +1.044  5  10 5141    1.0025 -0.0103 -0.0263
  +1.044 +1.305  5  10 4259    0.9968 -0.0197 -0.0132
  +1.305 +1.479  5  10 3435    0.9841  0.0117  0.0625
  +1.479 +1.653  5  10 2946    0.9835  0.0058  0.0244
  +1.653 +1.930  5  10 2511    0.9840  0.0209  0.0517
  +1.930 +2.172  5  10 1933    0.9820  0.0243  0.1018
  +2.172 +2.322  5  10 1529    0.9666  0.0265  0.1305
  +2.322 +2.500  5  10 1321    0.9265  0.0667  0.2088
  +2.500 +2.650  5  10 1108    0.8349  0.1004  0.1862
  +2.650 +2.853  5  10  956    0.7462  0.1328  0.2371
  +2.853 +2.964  5  10  781    0.7302  0.2045  0.4929
  +2.964 +3.139  5  10  700    0.8706  0.1445  0.5000
  +3.139 +3.314  5  10  588    0.9258  0.0829  0.4491
  +3.314 +3.489  5  10  493    0.9418  0.0611  0.3584
  +3.489 +3.839  5  10  414    0.8970  0.0378  0.2771
  +3.839 +4.013  5  10  292    0.8088  0.1460  0.3635
  +4.013 +4.583  5  10  245    0.7378  0.2528  0.5000
  +4.583 +5.191  5  10  139    0.7095  0.0837  0.1827
