{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7333  0.1294  0.1678
  -4.583 -4.013  5  10  245    0.7430  0.2443  0.5000
  -4.013 -3.839  5  10  292    0.7943  0.1532  0.4399
  -3.839 -3.489  5  10  414    0.8907  0.0499  0.3128
  -3.489 -3.314  5  10  493    0.9373  0.0630  0.3769
  -3.314 -3.139  5  10  588    0.9273  0.0792  0.4436
  -3.139 -2.964  5  10  700    0.8682  0.1449  0.5000
  -2.964 -2.853  5  10  781    0.7220  0.2028  0.5000
  -2.853 -2.650  5  10  956    0.7360  0.1450  0.3127
  -2.650 -2.500  5  10 1108    0.8343  0.1023  0.1947
  -2.500 -2.322  5  10 1321    0.9206  0.0746  0.2498
  -2.322 -2.172  5  10 1529    0.9664  0.0265  0.1368
  -2.172 -1.930  5  10 1933    0.9809  0.0251  0.1102
  -1.930 -1.653  5  10 2511    0.9824  0.0228  0.0616
  -1.653 -1.479  5  10 2946    0.9820  0.0076  0.0341
  -1.479 -1.305  5  10 3435    0.9846  0.0112  0.0632
  -1.305 -1.044  5  10 4259    0.9970 -0.0199 -0.0141
  -1.044 -0.783  5  10 5141    1.0018 -0.0095 -0.0228
  -0.783 -0.522  5  10 5968    1.0084 -0.0034 -0.0354
  -0.522 -0.261  5  10 6574    1.0028  0.0024 -0.0026
  -0.261 -0.000  5  10 6800    0.9999  0.0067  0.0064
  +0.000 +0.261  5  10 6800    0.9999  0.0067  0.0064
  +0.261 +0.522  5  10 6574    1.0028  0.0024 -0.0026
  +0.522 +0.783  5  10 5968    1.0084 -0.0034 -0.0354
  +0.783 +1.044  5  10 5141    1.0018 -0.0095 -0.0228
  +1.044 +1.305  5  10 4259    0.9970 -0.0199 -0.0141
  +1.305 +1.479  5  10 3435    0.9846  0.0112  0.0632
  +1.479 +1.653  5  10 2946    0.9820  0.0076  0.0341
  +1.653 +1.930  5  10 2511    0.9824  0.0228  0.0616
  +1.930 +2.172  5  10 1933    0.9809  0.0251  0.1102
  +2.172 +2.322  5  10 1529    0.9664  0.0265  0.1368
  +2.322 +2.500  5  10 1321    0.9206  0.0746  0.2498
  +2.500 +2.650  5  10 1108    0.8343  0.1023  0.1947
  +2.650 +2.853  5  10  956    0.7360  0.1450  0.3127
  +2.853 +2.964  5  10  781    0.7220  0.2028  0.5000
  +2.964 +3.139  5  10  700    0.8682  0.1449  0.5000
  +3.139 +3.314  5  10  588    0.9273  0.0792  0.4436
  +3.314 +3.489  5  10  493    0.9373  0.0630  0.3769
  +3.489 +3.839  5  10  414    0.8907  0.0499  0.3128
  +3.839 +4.013  5  10  292    0.7943  0.1532  0.4399
  +4.013 +4.583  5  10  245    0.7430  0.2443  0.5000
  +4.583 +5.191  5  10  139    0.7333  0.1294  0.1678
