{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6461  0.4288  0.5000
  -4.583 -4.013  5  10  245    0.6795  0.3537  0.4133
  -4.013 -3.839  5  10  292    0.7251  0.2964  0.3994
  -3.839 -3.489  5  10  414    0.8055  0.1912  0.3647
  -3.489 -3.314  5  10  493    0.8819  0.0973  0.2255
  -3.314 -3.139  5  10  588    0.8534  0.1393  0.3420
  -3.139 -2.964  5  10  700    0.7841  0.2104  0.3720
  -2.964 -2.853  5  10  781    0.6696  0.2383  0.4506
  -2.853 -2.650  5  10  956    0.6695  0.1943  0.3199
  -2.650 -2.500  5  10 1108    0.7400  0.1532  0.2910
  -2.500 -2.322  5  10 1321    0.8411  0.0910  0.0816
  -2.322 -2.172  5  10 1529    0.8474  0.1009  0.2530
  -2.172 -1.930  5  10 1933    0.9159  0.0344 -0.0998
  -1.930 -1.653  5  10 2511    0.9335  0.0293 -0.1099
  -1.653 -1.479  5  10 2946    0.9463  0.0085 -0.0801
  -1.479 -1.305  5  10 3435    0.9723  0.0248  0.0243
  -1.305 -1.044  5  10 4259    1.0015 -0.0067  0.0132
  -1.044 -0.783  5  10 5141    1.0038 -0.0068  0.0027
  -0.783 -0.522  5  10 5968    1.0025 -0.0027 -0.0185
  -0.522 -0.261  5  10 6574    1.0016 -0.0004 -0.0276
  -0.261 -0.000  5  10 6800    0.9997  0.0039 -0.0074
  +0.000 +0.261  5  10 6800    0.9997  0.0039 -0.0074
  +0.261 +0.522  5  10 6574    1.0016 -0.0004 -0.0276
  +0.522 +0.783  5  10 5968    1.0025 -0.0027 -0.0185
  +0.783 +1.044  5  10 5141    1.0038 -0.0068  0.0027
  +1.044 +1.305  5  10 4259    1.0015 -0.0067  0.0132
  +1.305 +1.479  5  10 3435    0.9723  0.0248  0.0243
  +1.479 +1.653  5  10 2946    0.9463  0.0085 -0.0801
  +1.653 +1.930  5  10 2511    0.9335  0.0293 -0.1099
  +1.930 +2.172  5  10 1933    0.9159  0.0344 -0.0998
  +2.172 +2.322  5  10 1529    0.8474  0.1009  0.2530
  +2.322 +2.500  5  10 1321    0.8411  0.0910  0.0816
  +2.500 +2.650  5  10 1108    0.7400  0.1532  0.2910
  +2.650 +2.853  5  10  956    0.6695  0.1943  0.3199
  +2.853 +2.964  5  10  781    0.6696  0.2383  0.4506
  +2.964 +3.139  5  10  700    0.7841  0.2104  0.3720
  +3.139 +3.314  5  10  588    0.8534  0.1393  0.3420
  +3.314 +3.489  5  10  493    0.8819  0.0973  0.2255
  +3.489 +3.839  5  10  414    0.8055  0.1912  0.3647
  +3.839 +4.013  5  10  292    0.7251  0.2964  0.3994
  +4.013 +4.583  5  10  245    0.6795  0.3537  0.4133
  +4.583 +5.191  5  10  139    0.6461  0.4288  0.5000
