{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6536  0.4260  0.5000
  -4.583 -4.013  5  10  245    0.6825  0.3643  0.4378
  -4.013 -3.839  5  10  292    0.7220  0.2909  0.4161
  -3.839 -3.489  5  10  414    0.8032  0.1926  0.3854
  -3.489 -3.314  5  10  493    0.8760  0.1050  0.2657
  -3.314 -3.139  5  10  588    0.8482  0.1465  0.3739
  -3.139 -2.964  5  10  700    0.7734  0.2194  0.4396
  -2.964 -2.853  5  10  781    0.6543  0.2426  0.5000
  -2.853 -2.650  5  10  956    0.6503  0.2132  0.4837
  -2.650 -2.500  5  10 1108    0.7338  0.1616  0.3220
  -2.500 -2.322  5  10 1321    0.8416  0.0902  0.0851
  -2.322 -2.172  5  10 1529    0.8910  0.0357 -0.0581
  -2.172 -1.930  5  10 1933    0.9120  0.0410 -0.0667
  -1.930 -1.653  5  10 2511    0.9340  0.0290 -0.1111
  -1.653 -1.479  5  10 2946    0.9466  0.0084 -0.0763
  -1.479 -1.305  5  10 3435    0.9778  0.0192 -0.0002
  -1.305 -1.044  5  10 4259    1.0009 -0.0061  0.0162
  -1.044 -0.783  5  10 5141    1.0034 -0.0064  0.0040
  -0.783 -0.522  5  10 5968    1.0012 -0.0016 -0.0129
  -0.522 -0.261  5  10 6574    1.0007  0.0003 -0.0238
  -0.261 -0.000  5  10 6800    1.0011  0.0025 -0.0133
  +0.000 +0.261  5  10 6800    1.0011  0.0025 -0.0133
  +0.261 +0.522  5  10 6574    1.0007  0.0003 -0.0238
  +0.522 +0.783  5  10 5968    1.0012 -0.0016 -0.0129
  +0.783 +1.044  5  10 5141    1.0034 -0.0064  0.0040
  +1.044 +1.305  5  10 4259    1.0009 -0.0061  0.0162
  +1.305 +1.479  5  10 3435    0.9778  0.0192 -0.0002
  +1.479 +1.653  5  10 2946    0.9466  0.0084 -0.0763
  +1.653 +1.930  5  10 2511    0.9340  0.0290 -0.1111
  +1.930 +2.172  5  10 1933    0.9120  0.0410 -0.0667
  +2.172 +2.322  5  10 1529    0.8910  0.0357 -0.0581
  +2.322 +2.500  5  10 1321    0.8416  0.0902  0.0851
  +2.500 +2.650  5  10 1108    0.7338  0.1616  0.3220
  +2.650 +2.853  5  10  956    0.6503  0.2132  0.4837
  +2.853 +2.964  5  10  781    0.6543  0.2426  0.5000
  +2.964 +3.139  5  10  700    0.7734  0.2194  0.4396
  +3.139 +3.314  5  10  588    0.8482  0.1465  0.3739
  +3.314 +3.489  5  10  493    0.8760  0.1050  0.2657
  +3.489 +3.839  5  10  414    0.8032  0.1926  0.3854
  +3.839 +4.013  5  10  292    0.7220  0.2909  0.4161
  +4.013 +4.583  5  10  245    0.6825  0.3643  0.4378
  +4.583 +5.191  5  10  139    0.6536  0.4260  0.5000
