{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.5708  0.1310  0.5000
  -4.583 -4.013  5  10  245    0.6897  0.3376  0.2433
  -4.013 -3.839  5  10  292    0.7159  0.3058  0.5000
  -3.839 -3.489  5  10  414    0.8286  0.1434  0.1155
  -3.489 -3.314  5  10  493    0.8729  0.1128  0.2190
  -3.314 -3.139  5  10  588    0.8439  0.1402  0.3854
  -3.139 -2.964  5  10  700    0.8087  0.1805  0.1457
  -2.964 -2.853  5  10  781    0.6802  0.2200  0.5000
  -2.853 -2.650  5  10  956    0.6894  0.1721  0.3685
  -2.650 -2.500  5  10 1108    0.7602  0.1356  0.2634
  -2.500 -2.322  5  10 1321    0.8525  0.0881  0.0383
  -2.322 -2.172  5  10 1529    0.9154  0.0103 -0.2302
  -2.172 -1.930  5  10 1933    0.9255  0.0315 -0.1891
  -1.930 -1.653  5  10 2511    0.9364  0.0292 -0.1795
  -1.653 -1.479  5  10 2946    0.9461  0.0088 -0.1207
  -1.479 -1.305  5  10 3435    0.9654  0.0272  0.0289
  -1.305 -1.044  5  10 4259    0.9954 -0.0040  0.0090
  -1.044 -0.783  5  10 5141    1.0003 -0.0058  0.0094
  -0.783 -0.522  5  10 5968    1.0046 -0.0066 -0.0317
  -0.522 -0.261  5  10 6574    1.0038 -0.0009 -0.0185
  -0.261 -0.000  5  10 6800    1.0061  0.0008 -0.0143
  +0.000 +0.261  5  10 6800    1.0061  0.0008 -0.0143
  +0.261 +0.522  5  10 6574    1.0038 -0.0009 -0.0185
  +0.522 +0.783  5  10 5968    1.0046 -0.0066 -0.0317
  +0.783 +1.044  5  10 5141    1.0003 -0.0058  0.0094
  +1.044 +1.305  5  10 4259    0.9954 -0.0040  0.0090
  +1.305 +1.479  5  10 3435    0.9654  0.0272  0.0289
  +1.479 +1.653  5  10 2946    0.9461  0.0088 -0.1207
  +1.653 +1.930  5  10 2511    0.9364  0.0292 -0.1795
  +1.930 +2.172  5  10 1933    0.9255  0.0315 -0.1891
  +2.172 +2.322  5  10 1529    0.9154  0.0103 -0.2302
  +2.322 +2.500  5  10 1321    0.8525  0.0881  0.0383
  +2.500 +2.650  5  10 1108    0.7602  0.1356  0.2634
  +2.650 +2.853  5  10  956    0.6894  0.1721  0.3685
  +2.853 +2.964  5  10  781    0.6802  0.2200  0.5000
  +2.964 +3.139  5  10  700    0.8087  0.1805  0.1457
  +3.139 +3.314  5  10  588    0.8439  0.1402  0.3854
  +3.314 +3.489  5  10  493    0.8729  0.1128  0.2190
  +3.489 +3.839  5  10  414    0.8286  0.1434  0.1155
  +3.839 +4.013  5  10  292    0.7159  0.3058  0.5000
  +4.013 +4.583  5  10  245    0.6897  0.3376  0.2433
  +4.583 +5.191  5  10  139    0.5708  0.1310  0.5000
