{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.5810  0.1625  0.5000
  -4.583 -4.013  5  10  245    0.6793  0.3663  0.3245
  -4.013 -3.839  5  10  292    0.7073  0.2965  0.5000
  -3.839 -3.489  5  10  414    0.8233  0.1511  0.1555
  -3.489 -3.314  5  10  493    0.8602  0.1308  0.2981
  -3.314 -3.139  5  10  588    0.8383  0.1440  0.4275
  -3.139 -2.964  5  10  700    0.7891  0.2037  0.2608
  -2.964 -2.853  5  10  781    0.6586  0.2417  0.5000
  -2.853 -2.650  5  10  956    0.6675  0.1975  0.5000
  -2.650 -2.500  5  10 1108    0.7519  0.1467  0.3196
  -2.500 -2.322  5  10 1321    0.8417  0.1020  0.1176
  -2.322 -2.172  5  10 1529    0.8979  0.0376 -0.1078
  -2.172 -1.930  5  10 1933    0.9270  0.0301 -0.1918
  -1.930 -1.653  5  10 2511    0.9359  0.0298 -0.1735
  -1.653 -1.479  5  10 2946    0.9441  0.0112 -0.1021
  -1.479 -1.305  5  10 3435    0.9735  0.0183 -0.0064
  -1.305 -1.044  5  10 4259    0.9961 -0.0047  0.0034
  -1.044 -0.783  5  10 5141    1.0001 -0.0057  0.0105
  -0.783 -0.522  5  10 5968    1.0028 -0.0047 -0.0249
  -0.522 -0.261  5  10 6574    1.0022  0.0007 -0.0122
  -0.261 -0.000  5  10 6800    1.0078 -0.0010 -0.0203
  +0.000 +0.261  5  10 6800    1.0078 -0.0010 -0.0203
  +0.261 +0.522  5  10 6574    1.0022  0.0007 -0.0122
  +0.522 +0.783  5  10 5968    1.0028 -0.0047 -0.0249
  +0.783 +1.044  5  10 5141    1.0001 -0.0057  0.0105
  +1.044 +1.305  5  10 4259    0.9961 -0.0047  0.0034
  +1.305 +1.479  5  10 3435    0.9735  0.0183 -0.0064
  +1.479 +1.653  5  10 2946    0.9441  0.0112 -0.1021
  +1.653 +1.930  5  10 2511    0.9359  0.0298 -0.1735
  +1.930 +2.172  5  10 1933    0.9270  0.0301 -0.1918
  +2.172 +2.322  5  10 1529    0.8979  0.0376 -0.1078
  +2.322 +2.500  5  10 1321    0.8417  0.1020  0.1176
  +2.500 +2.650  5  10 1108    0.7519  0.1467  0.3196
  +2.650 +2.853  5  10  956    0.6675  0.1975  0.5000
  +2.853 +2.964  5  10  781    0.6586  0.2417  0.5000
  +2.964 +3.139  5  10  700    0.7891  0.2037  0.2608
  +3.139 +3.314  5  10  588    0.8383  0.1440  0.4275
  +3.314 +3.489  5  10  493    0.8602  0.1308  0.2981
  +3.489 +3.839  5  10  414    0.8233  0.1511  0.1555
  +3.839 +4.013  5  10  292    0.7073  0.2965  0.5000
  +4.013 +4.583  5  10  245    0.6793  0.3663  0.3245
  +4.583 +5.191  5  10  139    0.5810  0.1625  0.5000
