{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6923  0.1408  0.2492
  -4.583 -4.013  5  10  245    0.7183  0.3247  0.4944
  -4.013 -3.839  5  10  292    0.7786  0.1882  0.3778
  -3.839 -3.489  5  10  414    0.8807  0.0745  0.1732
  -3.489 -3.314  5  10  493    0.9290  0.0532  0.2349
  -3.314 -3.139  5  10  588    0.9060  0.0987  0.3823
  -3.139 -2.964  5  10  700    0.8351  0.1821  0.4878
  -2.964 -2.853  5  10  781    0.7145  0.1810  0.4402
  -2.853 -2.650  5  10  956    0.7206  0.1313  0.2610
  -2.650 -2.500  5  10 1108    0.8082  0.1019  0.1079
  -2.500 -2.322  5  10 1321    0.8898  0.0844  0.2108
  -2.322 -2.172  5  10 1529    0.9428  0.0266  0.0543
  -2.172 -1.930  5  10 1933    0.9589  0.0351  0.0818
  -1.930 -1.653  5  10 2511    0.9646  0.0510  0.1039
  -1.653 -1.479  5  10 2946    0.9744  0.0649  0.1422
  -1.479 -1.305  5  10 3435    0.9973  0.0341  0.0773
  -1.305 -1.044  5  10 4259    1.0139 -0.0153 -0.0374
  -1.044 -0.783  5  10 5141    1.0036 -0.0049 -0.0132
  -0.783 -0.522  5  10 5968    0.9987  0.0007  0.0032
  -0.522 -0.261  5  10 6574    0.9980  0.0014 -0.0086
  -0.261 -0.000  5  10 6800    0.9933  0.0089  0.0207
  +0.000 +0.261  5  10 6800    0.9933  0.0089  0.0207
  +0.261 +0.522  5  10 6574    0.9980  0.0014 -0.0086
  +0.522 +0.783  5  10 5968    0.9987  0.0007  0.0032
  +0.783 +1.044  5  10 5141    1.0036 -0.0049 -0.0132
  +1.044 +1.305  5  10 4259    1.0139 -0.0153 -0.0374
  +1.305 +1.479  5  10 3435    0.9973  0.0341  0.0773
  +1.479 +1.653  5  10 2946    0.9744  0.0649  0.1422
  +1.653 +1.930  5  10 2511    0.9646  0.0510  0.1039
  +1.930 +2.172  5  10 1933    0.9589  0.0351  0.0818
  +2.172 +2.322  5  10 1529    0.9428  0.0266  0.0543
  +2.322 +2.500  5  10 1321    0.8898  0.0844  0.2108
  +2.500 +2.650  5  10 1108    0.8082  0.1019  0.1079
  +2.650 +2.853  5  10  956    0.7206  0.1313  0.2610
  +2.853 +2.964  5  10  781    0.7145  0.1810  0.4402
  +2.964 +3.139  5  10  700    0.8351  0.1821  0.4878
  +3.139 +3.314  5  10  588    0.9060  0.0987  0.3823
  +3.314 +3.489  5  10  493    0.9290  0.0532  0.2349
  +3.489 +3.839  5  10  414    0.8807  0.0745  0.1732
  +3.839 +4.013  5  10  292    0.7786  0.1882  0.3778
  +4.013 +4.583  5  10  245    0.7183  0.3247  0.4944
  +4.583 +5.191  5  10  139    0.6923  0.1408  0.2492
