{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7095  0.3839  0.5000
  -4.583 -4.013  5  10  245    0.7328  0.2869  0.4165
  -4.013 -3.839  5  10  292    0.7871  0.1664  0.3284
  -3.839 -3.489  5  10  414    0.8850  0.0620  0.1559
  -3.489 -3.314  5  10  493    0.9248  0.0632  0.2611
  -3.314 -3.139  5  10  588    0.9058  0.0975  0.3828
  -3.139 -2.964  5  10  700    0.8331  0.1867  0.5000
  -2.964 -2.853  5  10  781    0.7053  0.1878  0.4960
  -2.853 -2.650  5  10  956    0.7153  0.1368  0.2905
  -2.650 -2.500  5  10 1108    0.8099  0.0992  0.1078
  -2.500 -2.322  5  10 1321    0.8910  0.0825  0.2044
  -2.322 -2.172  5  10 1529    0.9419  0.0274  0.0608
  -2.172 -1.930  5  10 1933    0.9587  0.0355  0.0855
  -1.930 -1.653  5  10 2511    0.9647  0.0509  0.1034
  -1.653 -1.479  5  10 2946    0.9751  0.0640  0.1377
  -1.479 -1.305  5  10 3435    0.9983  0.0327  0.0705
  -1.305 -1.044  5  10 4259    1.0136 -0.0149 -0.0363
  -1.044 -0.783  5  10 5141    1.0035 -0.0048 -0.0117
  -0.783 -0.522  5  10 5968    0.9977  0.0015  0.0087
  -0.522 -0.261  5  10 6574    0.9980  0.0014 -0.0089
  -0.261 -0.000  5  10 6800    0.9946  0.0077  0.0141
  +0.000 +0.261  5  10 6800    0.9946  0.0077  0.0141
  +0.261 +0.522  5  10 6574    0.9980  0.0014 -0.0089
  +0.522 +0.783  5  10 5968    0.9977  0.0015  0.0087
  +0.783 +1.044  5  10 5141    1.0035 -0.0048 -0.0117
  +1.044 +1.305  5  10 4259    1.0136 -0.0149 -0.0363
  +1.305 +1.479  5  10 3435    0.9983  0.0327  0.0705
  +1.479 +1.653  5  10 2946    0.9751  0.0640  0.1377
  +1.653 +1.930  5  10 2511    0.9647  0.0509  0.1034
  +1.930 +2.172  5  10 1933    0.9587  0.0355  0.0855
  +2.172 +2.322  5  10 1529    0.9419  0.0274  0.0608
  +2.322 +2.500  5  10 1321    0.8910  0.0825  0.2044
  +2.500 +2.650  5  10 1108    0.8099  0.0992  0.1078
  +2.650 +2.853  5  10  956    0.7153  0.1368  0.2905
  +2.853 +2.964  5  10  781    0.7053  0.1878  0.4960
  +2.964 +3.139  5  10  700    0.8331  0.1867  0.5000
  +3.139 +3.314  5  10  588    0.9058  0.0975  0.3828
  +3.314 +3.489  5  10  493    0.9248  0.0632  0.2611
  +3.489 +3.839  5  10  414    0.8850  0.0620  0.1559
  +3.839 +4.013  5  10  292    0.7871  0.1664  0.3284
  +4.013 +4.583  5  10  245    0.7328  0.2869  0.4165
  +4.583 +5.191  5  10  139    0.7095  0.3839  0.5000
