{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6523  0.3861  0.5000
  -4.583 -4.013  5  10  245    0.7349  0.3360  0.5000
  -4.013 -3.839  5  10  292    0.8062  0.2439  0.3414
  -3.839 -3.489  5  10  414    0.8946  0.1318  0.1798
  -3.489 -3.314  5  10  493    1.0107 -0.0190 -0.2698
  -3.314 -3.139  5  10  588    1.0137 -0.0170 -0.3004
  -3.139 -2.964  5  10  700    0.9369  0.0893  0.3195
  -2.964 -2.853  5  10  781    0.8998  0.1060  0.2307
  -2.853 -2.650  5  10  956    0.8914  0.1171  0.2835
  -2.650 -2.500  5  10 1108    0.9348  0.0710 -0.0595
  -2.500 -2.322  5  10 1321    0.9855  0.0320 -0.1763
  -2.322 -2.172  5  10 1529    1.0051  0.0029 -0.2032
  -2.172 -1.930  5  10 1933    1.0110  0.0024 -0.1814
  -1.930 -1.653  5  10 2511    1.0207  0.0038 -0.2022
  -1.653 -1.479  5  10 2946    1.0158  0.0050 -0.1802
  -1.479 -1.305  5  10 3435    1.0157  0.0289 -0.0362
  -1.305 -1.044  5  10 4259    1.0032  0.0058 -0.0205
  -1.044 -0.783  5  10 5141    0.9936 -0.0020  0.0115
  -0.783 -0.522  5  10 5968    0.9994  0.0001  0.0101
  -0.522 -0.261  5  10 6574    1.0048 -0.0004 -0.0096
  -0.261 -0.000  5  10 6800    0.9980 -0.0008  0.0136
  +0.000 +0.261  5  10 6800    0.9980 -0.0008  0.0136
  +0.261 +0.522  5  10 6574    1.0048 -0.0004 -0.0096
  +0.522 +0.783  5  10 5968    0.9994  0.0001  0.0101
  +0.783 +1.044  5  10 5141    0.9936 -0.0020  0.0115
  +1.044 +1.305  5  10 4259    1.0032  0.0058 -0.0205
  +1.305 +1.479  5  10 3435    1.0157  0.0289 -0.0362
  +1.479 +1.653  5  10 2946    1.0158  0.0050 -0.1802
  +1.653 +1.930  5  10 2511    1.0207  0.0038 -0.2022
  +1.930 +2.172  5  10 1933    1.0110  0.0024 -0.1814
  +2.172 +2.322  5  10 1529    1.0051  0.0029 -0.2032
  +2.322 +2.500  5  10 1321    0.9855  0.0320 -0.1763
  +2.500 +2.650  5  10 1108    0.9348  0.0710 -0.0595
  +2.650 +2.853  5  10  956    0.8914  0.1171  0.2835
  +2.853 +2.964  5  10  781    0.8998  0.1060  0.2307
  +2.964 +3.139  5  10  700    0.9369  0.0893  0.3195
  +3.139 +3.314  5  10  588    1.0137 -0.0170 -0.3004
  +3.314 +3.489  5  10  493    1.0107 -0.0190 -0.2698
  +3.489 +3.839  5  10  414    0.8946  0.1318  0.1798
  +3.839 +4.013  5  10  292    0.8062  0.2439  0.3414
  +4.013 +4.583  5  10  245    0.7349  0.3360  0.5000
  +4.583 +5.191  5  10  139    0.6523  0.3861  0.5000
