{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7050  0.3689  0.2497
  -4.583 -4.013  5  10  245    0.7720  0.2384  0.0910
  -4.013 -3.839  5  10  292    0.8292  0.1911  0.0885
  -3.839 -3.489  5  10  414    0.9098  0.0845  0.0648
  -3.489 -3.314  5  10  493    1.0072 -0.0183 -0.1900
  -3.314 -3.139  5  10  588    0.9944 -0.0023 -0.0409
  -3.139 -2.964  5  10  700    0.9532  0.0689  0.2028
  -2.964 -2.853  5  10  781    0.9295  0.0719 -0.0709
  -2.853 -2.650  5  10  956    0.9205  0.0772  0.0248
  -2.650 -2.500  5  10 1108    0.9467  0.0519 -0.0649
  -2.500 -2.322  5  10 1321    0.9781  0.0370 -0.0307
  -2.322 -2.172  5  10 1529    1.0252 -0.0278 -0.3259
  -2.172 -1.930  5  10 1933    1.0041  0.0087 -0.1166
  -1.930 -1.653  5  10 2511    1.0162  0.0075 -0.1530
  -1.653 -1.479  5  10 2946    1.0152  0.0045 -0.1588
  -1.479 -1.305  5  10 3435    1.0123  0.0305 -0.0273
  -1.305 -1.044  5  10 4259    1.0039  0.0052 -0.0370
  -1.044 -0.783  5  10 5141    0.9939 -0.0020  0.0094
  -0.783 -0.522  5  10 5968    1.0005 -0.0009  0.0045
  -0.522 -0.261  5  10 6574    1.0036  0.0002 -0.0004
  -0.261 -0.000  5  10 6800    1.0006 -0.0032  0.0083
  +0.000 +0.261  5  10 6800    1.0006 -0.0032  0.0083
  +0.261 +0.522  5  10 6574    1.0036  0.0002 -0.0004
  +0.522 +0.783  5  10 5968    1.0005 -0.0009  0.0045
  +0.783 +1.044  5  10 5141    0.9939 -0.0020  0.0094
  +1.044 +1.305  5  10 4259    1.0039  0.0052 -0.0370
  +1.305 +1.479  5  10 3435    1.0123  0.0305 -0.0273
  +1.479 +1.653  5  10 2946    1.0152  0.0045 -0.1588
  +1.653 +1.930  5  10 2511    1.0162  0.0075 -0.1530
  +1.930 +2.172  5  10 1933    1.0041  0.0087 -0.1166
  +2.172 +2.322  5  10 1529    1.0252 -0.0278 -0.3259
  +2.322 +2.500  5  10 1321    0.9781  0.0370 -0.0307
  +2.500 +2.650  5  10 1108    0.9467  0.0519 -0.0649
  +2.650 +2.853  5  10  956    0.9205  0.0772  0.0248
  +2.853 +2.964  5  10  781    0.9295  0.0719 -0.0709
  +2.964 +3.139  5  10  700    0.9532  0.0689  0.2028
  +3.139 +3.314  5  10  588    0.9944 -0.0023 -0.0409
  +3.314 +3.489  5  10  493    1.0072 -0.0183 -0.1900
  +3.489 +3.839  5  10  414    0.9098  0.0845  0.0648
  +3.839 +4.013  5  10  292    0.8292  0.1911  0.0885
  +4.013 +4.583  5  10  245    0.7720  0.2384  0.0910
  +4.583 +5.191  5  10  139    0.7050  0.3689  0.2497
