{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7154  0.5024  0.4352
  -4.583 -4.013  5  10  245    0.7806  0.2039  0.0263
  -4.013 -3.839  5  10  292    0.8035  0.2348  0.2426
  -3.839 -3.489  5  10  414    0.9096  0.0821  0.0686
  -3.489 -3.314  5  10  493    1.0001 -0.0061 -0.1398
  -3.314 -3.139  5  10  588    0.9889  0.0102 -0.0011
  -3.139 -2.964  5  10  700    0.9433  0.0841  0.2618
  -2.964 -2.853  5  10  781    0.9172  0.0903  0.0027
  -2.853 -2.650  5  10  956    0.9137  0.0868  0.0731
  -2.650 -2.500  5  10 1108    0.9443  0.0554 -0.0442
  -2.500 -2.322  5  10 1321    0.9759  0.0402 -0.0105
  -2.322 -2.172  5  10 1529    1.0065 -0.0007 -0.1781
  -2.172 -1.930  5  10 1933    1.0094  0.0017 -0.1511
  -1.930 -1.653  5  10 2511    1.0173  0.0059 -0.1579
  -1.653 -1.479  5  10 2946    1.0159  0.0033 -0.1644
  -1.479 -1.305  5  10 3435    1.0143  0.0281 -0.0373
  -1.305 -1.044  5  10 4259    1.0049  0.0041 -0.0416
  -1.044 -0.783  5  10 5141    0.9943 -0.0024  0.0083
  -0.783 -0.522  5  10 5968    1.0007 -0.0012  0.0035
  -0.522 -0.261  5  10 6574    1.0027  0.0012  0.0016
  -0.261 -0.000  5  10 6800    0.9996 -0.0023  0.0144
  +0.000 +0.261  5  10 6800    0.9996 -0.0023  0.0144
  +0.261 +0.522  5  10 6574    1.0027  0.0012  0.0016
  +0.522 +0.783  5  10 5968    1.0007 -0.0012  0.0035
  +0.783 +1.044  5  10 5141    0.9943 -0.0024  0.0083
  +1.044 +1.305  5  10 4259    1.0049  0.0041 -0.0416
  +1.305 +1.479  5  10 3435    1.0143  0.0281 -0.0373
  +1.479 +1.653  5  10 2946    1.0159  0.0033 -0.1644
  +1.653 +1.930  5  10 2511    1.0173  0.0059 -0.1579
  +1.930 +2.172  5  10 1933    1.0094  0.0017 -0.1511
  +2.172 +2.322  5  10 1529    1.0065 -0.0007 -0.1781
  +2.322 +2.500  5  10 1321    0.9759  0.0402 -0.0105
  +2.500 +2.650  5  10 1108    0.9443  0.0554 -0.0442
  +2.650 +2.853  5  10  956    0.9137  0.0868  0.0731
  +2.853 +2.964  5  10  781    0.9172  0.0903  0.0027
  +2.964 +3.139  5  10  700    0.9433  0.0841  0.2618
  +3.139 +3.314  5  10  588    0.9889  0.0102 -0.0011
  +3.314 +3.489  5  10  493    1.0001 -0.0061 -0.1398
  +3.489 +3.839  5  10  414    0.9096  0.0821  0.0686
  +3.839 +4.013  5  10  292    0.8035  0.2348  0.2426
  +4.013 +4.583  5  10  245    0.7806  0.2039  0.0263
  +4.583 +5.191  5  10  139    0.7154  0.5024  0.4352
