{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6727  0.1924  0.0623
  -4.583 -4.013  5  10  245    0.7478  0.1970 -0.0113
  -4.013 -3.839  5  10  292    0.7560  0.2244  0.2850
  -3.839 -3.489  5  10  414    0.8536  0.1050  0.1280
  -3.489 -3.314  5  10  493    0.9124  0.0529  0.1315
  -3.314 -3.139  5  10  588    0.9295  0.0317  0.1274
  -3.139 -2.964  5  10  700    0.8884  0.0837  0.3469
  -2.964 -2.853  5  10  781    0.8611  0.0944  0.2122
  -2.853 -2.650  5  10  956    0.8667  0.0843  0.1500
  -2.650 -2.500  5  10 1108    0.8900  0.0528  0.0575
  -2.500 -2.322  5  10 1321    0.9161  0.0439  0.0966
  -2.322 -2.172  5  10 1529    0.9391  0.0138 -0.0332
  -2.172 -1.930  5  10 1933    0.9572  0.0070 -0.0849
  -1.930 -1.653  5  10 2511    0.9584  0.0094 -0.0845
  -1.653 -1.479  5  10 2946    0.9560  0.0028 -0.0544
  -1.479 -1.305  5  10 3435    0.9929  0.0040 -0.0629
  -1.305 -1.044  5  10 4259    1.0101 -0.0117 -0.0708
  -1.044 -0.783  5  10 5141    0.9990 -0.0040 -0.0079
  -0.783 -0.522  5  10 5968    1.0003 -0.0029 -0.0020
  -0.522 -0.261  5  10 6574    1.0001  0.0008  0.0022
  -0.261 -0.000  5  10 6800    0.9987  0.0063  0.0282
  +0.000 +0.261  5  10 6800    0.9987  0.0063  0.0282
  +0.261 +0.522  5  10 6574    1.0001  0.0008  0.0022
  +0.522 +0.783  5  10 5968    1.0003 -0.0029 -0.0020
  +0.783 +1.044  5  10 5141    0.9990 -0.0040 -0.0079
  +1.044 +1.305  5  10 4259    1.0101 -0.0117 -0.0708
  +1.305 +1.479  5  10 3435    0.9929  0.0040 -0.0629
  +1.479 +1.653  5  10 2946    0.9560  0.0028 -0.0544
  +1.653 +1.930  5  10 2511    0.9584  0.0094 -0.0845
  +1.930 +2.172  5  10 1933    0.9572  0.0070 -0.0849
  +2.172 +2.322  5  10 1529    0.9391  0.0138 -0.0332
  +2.322 +2.500  5  10 1321    0.9161  0.0439  0.0966
  +2.500 +2.650  5  10 1108    0.8900  0.0528  0.0575
  +2.650 +2.853  5  10  956    0.8667  0.0843  0.1500
  +2.853 +2.964  5  10  781    0.8611  0.0944  0.2122
  +2.964 +3.139  5  10  700    0.8884  0.0837  0.3469
  +3.139 +3.314  5  10  588    0.9295  0.0317  0.1274
  +3.314 +3.489  5  10  493    0.9124  0.0529  0.1315
  +3.489 +3.839  5  10  414    0.8536  0.1050  0.1280
  +3.839 +4.013  5  10  292    0.7560  0.2244  0.2850
  +4.013 +4.583  5  10  245    0.7478  0.1970 -0.0113
  +4.583 +5.191  5  10  139    0.6727  0.1924  0.0623
