{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6652  0.3382  0.5000
  -4.583 -4.013  5  10  245    0.7479  0.3040  0.5000
  -4.013 -3.839  5  10  292    0.7992  0.2454  0.4313
  -3.839 -3.489  5  10  414    0.8984  0.1228  0.1601
  -3.489 -3.314  5  10  493    1.0020 -0.0122 -0.1817
  -3.314 -3.139  5  10  588    1.0092 -0.0132 -0.2468
  -3.139 -2.964  5  10  700    0.9287  0.0876  0.3927
  -2.964 -2.853  5  10  781    0.8919  0.1109  0.2645
  -2.853 -2.650  5  10  956    0.8840  0.1115  0.3092
  -2.650 -2.500  5  10 1108    0.9340  0.0526 -0.1035
  -2.500 -2.322  5  10 1321    0.9708  0.0360 -0.1317
  -2.322 -2.172  5  10 1529    0.9943  0.0017 -0.1678
  -2.172 -1.930  5  10 1933    0.9970  0.0025 -0.1435
  -1.930 -1.653  5  10 2511    1.0103  0.0015 -0.1872
  -1.653 -1.479  5  10 2946    0.9986  0.0136 -0.1093
  -1.479 -1.305  5  10 3435    1.0125  0.0087 -0.0584
  -1.305 -1.044  5  10 4259    1.0098 -0.0181 -0.0833
  -1.044 -0.783  5  10 5141    0.9992 -0.0019  0.0016
  -0.783 -0.522  5  10 5968    1.0003  0.0021  0.0121
  -0.522 -0.261  5  10 6574    1.0022  0.0025  0.0001
  -0.261 -0.000  5  10 6800    0.9936  0.0052  0.0320
  +0.000 +0.261  5  10 6800    0.9936  0.0052  0.0320
  +0.261 +0.522  5  10 6574    1.0022  0.0025  0.0001
  +0.522 +0.783  5  10 5968    1.0003  0.0021  0.0121
  +0.783 +1.044  5  10 5141    0.9992 -0.0019  0.0016
  +1.044 +1.305  5  10 4259    1.0098 -0.0181 -0.0833
  +1.305 +1.479  5  10 3435    1.0125  0.0087 -0.0584
  +1.479 +1.653  5  10 2946    0.9986  0.0136 -0.1093
  +1.653 +1.930  5  10 2511    1.0103  0.0015 -0.1872
  +1.930 +2.172  5  10 1933    0.9970  0.0025 -0.1435
  +2.172 +2.322  5  10 1529    0.9943  0.0017 -0.1678
  +2.322 +2.500  5  10 1321    0.9708  0.0360 -0.1317
  +2.500 +2.650  5  10 1108    0.9340  0.0526 -0.1035
  +2.650 +2.853  5  10  956    0.8840  0.1115  0.3092
  +2.853 +2.964  5  10  781    0.8919  0.1109  0.2645
  +2.964 +3.139  5  10  700    0.9287  0.0876  0.3927
  +3.139 +3.314  5  10  588    1.0092 -0.0132 -0.2468
  +3.314 +3.489  5  10  493    1.0020 -0.0122 -0.1817
  +3.489 +3.839  5  10  414    0.8984  0.1228  0.1601
  +3.839 +4.013  5  10  292    0.7992  0.2454  0.4313
  +4.013 +4.583  5  10  245    0.7479  0.3040  0.5000
  +4.583 +5.191  5  10  139    0.6652  0.3382  0.5000
