{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7155  0.4392  0.5000
  -4.583 -4.013  5  10  245    0.7493  0.2752  0.3038
  -4.013 -3.839  5  10  292    0.7712  0.2998  0.5000
  -3.839 -3.489  5  10  414    0.9076  0.0897  0.0734
  -3.489 -3.314  5  10  493    0.9913 -0.0080 -0.0538
  -3.314 -3.139  5  10  588    1.0031 -0.0174 -0.0984
  -3.139 -2.964  5  10  700    0.9473  0.0560  0.2138
  -2.964 -2.853  5  10  781    0.9011  0.0942  0.1921
  -2.853 -2.650  5  10  956    0.9048  0.0835  0.1200
  -2.650 -2.500  5  10 1108    0.9262  0.0613  0.0587
  -2.500 -2.322  5  10 1321    0.9501  0.0641  0.1133
  -2.322 -2.172  5  10 1529    0.9873  0.0085 -0.0854
  -2.172 -1.930  5  10 1933    0.9947  0.0008 -0.1042
  -1.930 -1.653  5  10 2511    0.9997  0.0110 -0.0920
  -1.653 -1.479  5  10 2946    0.9930  0.0204 -0.0553
  -1.479 -1.305  5  10 3435    1.0077  0.0132 -0.0366
  -1.305 -1.044  5  10 4259    1.0106 -0.0187 -0.1021
  -1.044 -0.783  5  10 5141    1.0006 -0.0035 -0.0093
  -0.783 -0.522  5  10 5968    1.0007  0.0013  0.0076
  -0.522 -0.261  5  10 6574    1.0019  0.0022  0.0071
  -0.261 -0.000  5  10 6800    0.9957  0.0032  0.0220
  +0.000 +0.261  5  10 6800    0.9957  0.0032  0.0220
  +0.261 +0.522  5  10 6574    1.0019  0.0022  0.0071
  +0.522 +0.783  5  10 5968    1.0007  0.0013  0.0076
  +0.783 +1.044  5  10 5141    1.0006 -0.0035 -0.0093
  +1.044 +1.305  5  10 4259    1.0106 -0.0187 -0.1021
  +1.305 +1.479  5  10 3435    1.0077  0.0132 -0.0366
  +1.479 +1.653  5  10 2946    0.9930  0.0204 -0.0553
  +1.653 +1.930  5  10 2511    0.9997  0.0110 -0.0920
  +1.930 +2.172  5  10 1933    0.9947  0.0008 -0.1042
  +2.172 +2.322  5  10 1529    0.9873  0.0085 -0.0854
  +2.322 +2.500  5  10 1321    0.9501  0.0641  0.1133
  +2.500 +2.650  5  10 1108    0.9262  0.0613  0.0587
  +2.650 +2.853  5  10  956    0.9048  0.0835  0.1200
  +2.853 +2.964  5  10  781    0.9011  0.0942  0.1921
  +2.964 +3.139  5  10  700    0.9473  0.0560  0.2138
  +3.139 +3.314  5  10  588    1.0031 -0.0174 -0.0984
  +3.314 +3.489  5  10  493    0.9913 -0.0080 -0.0538
  +3.489 +3.839  5  10  414    0.9076  0.0897  0.0734
  +3.839 +4.013  5  10  292    0.7712  0.2998  0.5000
  +4.013 +4.583  5  10  245    0.7493  0.2752  0.3038
  +4.583 +5.191  5  10  139    0.7155  0.4392  0.5000
