{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.864777     0.00520103   -0.000145208
-4.889  -4.716       5     0   200       0.838516     0.00496343   -0.000136305
-4.716  -4.538       5     0   200       0.825397     0.00484966   -0.000130933
-4.538  -4.363       5     0   200       0.820995     0.00485992   -0.000128936
-4.363  -4.191       5     0   200       0.837564     0.00517651   -0.000134787
-4.191  -4.013       5     0   200       0.867093     0.00573825   -0.000145842
-4.013  -3.839       5     0   200       0.909316     0.00652643   -0.000162645
-3.839  -3.664       5     0   200       0.973788     0.00761962   -0.000187918
-3.664  -3.489       5     0   200        1.03791     0.00881572   -0.000217088
-3.489  -3.314       5     0   200        1.10355      0.0101001   -0.000252774
-3.314  -3.139       5     0   200        1.14445      0.0118279   -0.000293481
-3.139  -2.964       5     0   200        1.05323      0.0103063   -0.000287793
-2.964  -2.853       5     0   200       0.967515     0.00912908   -0.000278417
-2.853   -2.65       5     0   200       0.895236     0.00799889   -0.000260886
-2.65    -2.5       5     0   200        0.83057     0.00683105   -0.000225176
-2.5  -2.322       5     0   200       0.852155       0.006939   -0.000207705
-2.322  -2.172       5     0   200       0.919389     0.00825471   -0.000167367
-2.172  -2.043       5     0   200       0.949165     0.00750379   -7.69115e-05
-2.043   -1.93       5     0   200       0.956665     0.00669325   -1.99248e-05
-1.93   -1.83       5     0   200       0.955991     0.00560252    5.70954e-06
-1.83   -1.74       5     0   200       0.947843     0.00529115    3.21047e-06
-1.74  -1.653       5     0   200       0.954923     0.00504951   -6.62968e-06
-1.653  -1.566       5     0   200       0.958488     0.00502263   -2.15737e-05
-1.566  -1.479       5     0   200       0.966427     0.00510517   -3.74164e-05
-1.479  -1.392       5     0   200       0.979594     0.00507438   -4.83647e-05
-1.392  -1.305       5     0   200       0.995833     0.00491669   -5.31884e-05
-1.305  -1.218       5     0   200        1.01692     0.00449474   -4.96849e-05
-1.218  -1.131       5     0   200        1.03873     0.00396247   -4.03018e-05
-1.131  -1.044       5     0   200        1.05582     0.00351618   -3.18347e-05
-1.044  -0.957       5     0   200        1.06473     0.00287973   -1.93055e-05
-0.957  -0.879       5     0   200        1.05892     0.00281558   -1.56331e-05
-0.879  -0.783       5     0   200        1.06208     0.00284541   -1.62821e-05
-0.783  -0.696       5     0   200        1.05957       0.002867   -1.49813e-05
-0.696  -0.609       5     0   200        1.05615     0.00308129   -1.88497e-05
-0.609  -0.522       5     0   200        1.05664     0.00329071   -2.53616e-05
-0.522  -0.435       5     0   200        1.05922     0.00348042    -3.3307e-05
-0.435  -0.348       5     0   200        1.06503     0.00354915   -4.08562e-05
-0.348  -0.261       5     0   200        1.07355     0.00330122   -4.18585e-05
-0.261  -0.174       5     0   200        1.07514     0.00330865   -4.68117e-05
-0.174  -0.087       5     0   200        1.07367     0.00340452   -5.19994e-05
-0.087       0       5     0   200        1.07271     0.00343771    -5.4794e-05
0   0.087       5     0   200        1.06708     0.00369489    -6.0951e-05
0.087   0.174       5     0   200        1.06198     0.00385337   -6.38158e-05
0.174   0.261       5     0   200         1.0536     0.00400507   -6.27669e-05
0.261   0.348       5     0   200        1.04811     0.00384764   -5.29782e-05
0.348   0.435       5     0   200        1.03817     0.00398677   -5.02352e-05
0.435   0.522       5     0   200        1.03132      0.0040578   -4.79315e-05
0.522   0.609       5     0   200        1.03094     0.00385225    -4.2249e-05
0.609   0.696       5     0   200        1.03189     0.00376922   -4.18561e-05
0.696   0.783       5     0   200        1.03429     0.00373407   -4.28563e-05
0.783   0.879       5     0   200        1.03267     0.00414548   -5.43197e-05
0.879   0.957       5     0   200        1.01742     0.00503452   -7.39271e-05
0.957   1.044       5     0   200        1.02064     0.00554879   -9.07635e-05
1.044   1.131       5     0   200        1.01402     0.00631267   -0.000106314
1.131   1.218       5     0   200        1.00739     0.00621229   -9.97284e-05
1.218   1.305       5     0   200        0.99595     0.00608306   -9.14272e-05
1.305   1.392       5     0   200       0.985018     0.00585486   -7.69884e-05
1.392   1.479       5     0   200       0.974793     0.00550058   -5.59098e-05
1.479   1.566       5     0   200       0.967356     0.00503216    -2.9685e-05
1.566   1.653       5     0   200       0.965436     0.00448002    1.10354e-06
1.653    1.74       5     0   200       0.964806     0.00423698    2.65527e-05
1.74    1.83       5     0   200        0.95306     0.00451418     4.0017e-05
1.83    1.93       5     0   200        0.95402     0.00506183    3.80822e-05
1.93   2.043       5     0   200       0.945293     0.00681374   -3.75817e-06
2.043   2.172       5     0   200       0.928015     0.00879517   -9.12701e-05
2.172   2.322       5     0   200       0.877747       0.011706   -0.000234616
2.322     2.5       5     0   200       0.803009      0.0113637   -0.000303575
2.5    2.65       5     0   200       0.783712      0.0111665   -0.000323625
2.65   2.853       5     0   200       0.847725      0.0114096   -0.000338477
2.853   2.964       5     0   200       0.928487      0.0110982   -0.000323404
2.964   3.139       5     0   200        1.01838      0.0111015    -0.00030792
3.139   3.314       5     0   200        1.10486      0.0119808   -0.000302422
3.314   3.489       5     0   200        1.06815      0.0100347   -0.000257306
3.489   3.664       5     0   200        1.00899     0.00843398   -0.000213906
